イベントID	対象分類コード	対象説明	M1からM2補正_絶対値	M2からM4補正_絶対値	M2からM3補正_絶対値	C1からC2補正_絶対値	C2からC4補正_絶対値	C2からC3補正_絶対値	C4からC5補正_絶対値	C系からC6補正_絶対値	備考
E01	現役区分4,現役区分8,現役区分9	非正規・再就職・就労困難	-0.04	-0.03	+0.06	-0.03	-0.02	+0.07	-0.01	+0.00	自動化ショックで停滞遷移が増える。
E01	現役区分1,現役区分2	正規安定層	-0.01	-0.01	+0.02	-0.01	-0.01	+0.02	+0.00	+0.00	直接影響は限定的。
E02	現役区分3,現役区分4,現役区分5	中小・非正規・自営	-0.03	-0.03	+0.05	-0.05	-0.03	+0.08	-0.01	+0.00	生活コスト上昇で出産側の停滞が増える。
E02	現役区分6,現役区分7	子育て・介護高負荷	-0.02	-0.02	+0.04	-0.06	-0.04	+0.09	-0.02	+0.00	時間と費用の制約が拡大。
E05	現役区分3,現役区分4,現役区分8	景気感応度の高い層	-0.05	-0.04	+0.06	-0.04	-0.03	+0.07	-0.01	+0.00	雇用見通し悪化の影響。
P01	現役区分4,現役区分8	住居不安層	+0.05	+0.04	-0.05	+0.04	+0.02	-0.05	+0.01	-0.00	住居安定化で結婚行動が回復。
P03	現役区分全体	全体	+0.03	+0.03	-0.03	+0.04	+0.02	-0.04	+0.01	-0.00	nat報酬で将来期待が改善。
P03	現役区分7	介護中核	+0.04	+0.03	-0.05	+0.05	+0.03	-0.06	+0.01	-0.00	不可視ケア労働の可視化効果。
P04	現役区分6	子育て・結婚前後	+0.02	+0.03	-0.02	+0.08	+0.07	-0.07	+0.04	+0.00	出生初期費用の直接緩和。
P04	現役区分1,現役区分2,現役区分3	安定〜中間層	+0.01	+0.02	-0.01	+0.05	+0.05	-0.05	+0.03	+0.00	第二子検討を後押し。
P05	現役区分7,現役区分4	ケア責任・非正規層	+0.03	+0.03	-0.04	+0.04	+0.03	-0.05	+0.01	-0.00	ケア就労の賃金改善が効く。
P06	現役区分4,現役区分8,現役区分9	移行雇用対象層	+0.06	+0.05	-0.07	+0.04	+0.03	-0.06	+0.01	-0.00	再就職経路の可視化で停滞減少。
P07	現役区分2,現役区分7	地方層	+0.03	+0.03	-0.03	+0.03	+0.02	-0.04	+0.01	-0.00	地域基盤改善による安定化。
P08	現役区分4,現役区分7,現役区分9	高ストレス層	+0.02	+0.02	-0.03	+0.03	+0.02	-0.05	+0.01	-0.00	心理負荷軽減で継続率改善。
P10	現役区分4,現役区分7,現役区分9	低所得・脆弱層	+0.03	+0.02	-0.04	+0.04	+0.02	-0.05	+0.01	-0.00	再分配で構造支援度が上がる。
