元イベントID	遅延効果ステップ	参照元	適用先	備考
F001	2	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F002	3	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F003	4	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F004	2	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F005	1	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F006	3	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F007	2	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F008	1	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F009	3	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F010	0	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F011	2	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F012	1	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F013	3	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F014	1	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F015	1	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F016	3	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F017	4	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F018	4	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F019	3	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F020	4	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F021	6	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F022	4	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F023	2	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F024	3	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F025	8	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F026	5	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F027	7	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F028	8	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F029	10	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
F030	12	未来転換イベント候補_100年.tsv	未来転換イベント_to_イベント定義マッピング.tsv	既存マッピングに列追加せず外部参照で適用
