順位	年代	イベント名	カテゴリ	要点	日本波及チャネル	影響強度_0to1	持続期間ステップ
1	1453	コンスタンティノープル陥落	戦争・地政学	東地中海の秩序と交易動線が転換し、欧州の外洋進出圧力を高めた。	供給網不安,地政学リスク	0.45	10
2	1492	コロンブスの到達	戦争・地政学	大西洋世界の形成を加速し、植民地経済と帝国競争の基盤を作った。	供給網不安,制度信頼	0.35	8
3	1517	宗教改革開始	体制転換	宗教権威と世俗権力の再編を促し、近代国家形成の土台となった。	制度信頼,社会分断	0.30	8
4	1555	アウクスブルクの和議	体制転換	宗教対立の政治的調停モデルを示し、主権単位の実務を前進させた。	制度信頼	0.25	6
5	1588	アルマダ海戦	戦争・地政学	海洋覇権の重心移動を象徴し、帝国競争の構図を変えた。	地政学リスク,供給網不安	0.30	7
6	1618-1648	三十年戦争	戦争・地政学	欧州全域の破壊と再編を通じて主権秩序の再定義を迫った。	地政学リスク,制度信頼	0.40	10
7	1648	ウェストファリア条約	体制転換	主権国家間秩序の原型を制度化し、国際政治の基本枠組みを与えた。	制度信頼,地政学リスク	0.35	12
8	1688	名誉革命（英）	体制転換	議会主権と金融国家の発展を結びつけ、近代統治モデルを強化した。	制度信頼,財政圧力	0.30	9
9	1701-1714	スペイン継承戦争	戦争・地政学	大国間均衡政治を再編し、欧州の勢力均衡原理を固定化した。	地政学リスク	0.28	7
10	1756-1763	七年戦争	戦争・地政学	欧州外を含む帝国競争を一体化し、世界規模の戦争経済を先行的に示した。	地政学リスク,供給網不安	0.38	9
11	1776	アメリカ独立革命	体制転換	共和制と憲政モデルを拡散させ、近代政治正統性の再定義を促した。	制度信頼,社会安定	0.32	9
12	1789	フランス革命	体制転換	市民革命と国民国家化を加速し、大衆政治の時代を開いた。	制度信頼,社会分断	0.42	11
13	1791	ハイチ革命	体制転換	奴隷制秩序へ決定的衝撃を与え、植民地支配の正統性を揺るがせた。	制度信頼	0.26	6
14	1799-1815	ナポレオン戦争	戦争・地政学	軍制・行政・法制度の標準化を伴う広域秩序再編を引き起こした。	地政学リスク,制度信頼	0.43	10
