軸	状態コード	状態名	定義	排他条件	主な遷移先
結婚	M0	結婚希望なし	現時点で結婚意向を持たない	同時にM1-M4を取らない	M1
結婚	M1	結婚希望あり_未着手	結婚希望はあるが具体行動未開始	同時にM0/M2/M3/M4を取らない	M2,M3
結婚	M2	結婚希望あり_行動中	相手探し・交際・婚約など実行中	同時にM0/M1/M3/M4を取らない	M4,M3
結婚	M3	結婚希望あり_未達停滞	希望はあるが制約で停滞	同時にM0/M1/M2/M4を取らない	M2,M0
結婚	M4	結婚達成_既婚	結婚成立状態	同時にM0-M3を取らない	M4
出産	C0	子ども希望なし	現時点で子ども意向なし	同時にC1-C6を取らない	C1
出産	C1	子ども希望あり_未着手	子ども希望はあるが妊活未開始	同時にC0/C2/C3/C4/C5/C6を取らない	C2,C3
出産	C2	子ども希望あり_妊活中	妊活を実行中	同時にC0/C1/C3/C4/C5/C6を取らない	C4,C3
出産	C3	子ども希望あり_未達停滞	希望はあるが妊活停滞または断念	同時にC0/C1/C2/C4/C5/C6を取らない	C2,C0
出産	C4	妊娠成立	妊娠が成立した状態	同時にC0/C1/C2/C3/C5/C6を取らない	C5
出産	C5	出生達成	出生に到達した状態	同時にC0/C1/C2/C3/C4/C6を取らない	C1,C5
出産	C6	意図しない妊娠	希望とは別に妊娠が成立した状態	同時にC0-C5を取らない	C5
