エージェントID	experience_employment_shock	experience_policy_success	experience_policy_failure	experience_care_burden	experience_housing_instability	experience_confidence_weight	過去経験メモ
A01	0	0	0	0	0	0.95	学校中心でショック経験は少ない
A02	0	0	0	0	0	0.95	学校生活中心で制度接触は限定的
A03	0	0	0	0	0	0.95	技術志向で将来期待がやや高い
A04	0	0	1	0	1	1.10	家計制約と進路制約の実感が強い
A05	0	0	1	0	1	1.10	通学負担と住居依存で不安が残る
A06	0	0	1	0	1	1.10	進路未定で制度不信が生まれやすい
A07	1	0	0	0	0	1.05	早期就業で雇用不安を経験
A08	0	0	0	0	1	1.00	都市部住居費の圧力を体感
A09	0	0	0	0	1	1.00	在学中の生活費不安がある
A10	0	0	1	0	1	1.05	負債と都市単身生活で制度不信が残る
A11	0	0	1	0	1	1.15	奨学金負担重く政策不全感を経験
A12	0	1	0	0	1	1.00	安定就業で一部制度成功体験あり
A13	0	1	0	0	1	1.00	就業と支援活用で成功体験あり
A14	1	0	1	0	1	1.20	非正規で雇用/住居/制度不安が重なる
A15	1	0	1	0	1	1.20	ギグ就労でショック再発リスク高い
A16	1	0	1	0	1	1.25	無業経験で制度不信が強い
A17	0	0	1	1	1	1.20	家族ケアと住居依存で負荷が高い
A18	0	1	0	0	0	0.95	地方正規で比較的安定
A19	0	1	0	0	0	0.95	医療福祉就業で連帯経験がある
A20	0	1	0	0	0	0.95	インフラ就業で制度接点がある
A21	0	1	0	0	0	0.95	行政教育で制度成功体験がある
A22	0	1	0	0	0	0.95	公共系就業で安定感がある
A23	0	0	0	0	0	1.00	中位安定だが政策体験は限定
A24	1	0	1	0	1	1.20	複業非正規で不安経験が累積
A25	1	0	1	0	1	1.25	季節就労でショック頻度が高い
A26	1	0	1	0	1	1.25	地方非正規で住居/所得不安が強い
A27	0	1	0	1	0	1.00	子育て初期で支援活用経験あり
A28	0	1	0	1	0	1.00	地方子育てで一部制度成功体験
A29	1	0	1	0	0	1.30	療養無業で失敗体験が強く残る
A30	0	0	1	1	1	1.20	ケア中核で制度負担感が大きい
