汎用レイヤー	役割	既存ファイル	備考
テーマ定義	何を検証するかを定義する	汎用_施策反応波及シミュレーター設計.md	今回追加した上位設計
ドメインパック作成手順	テーマごとに同じ品質で入力セットを作る	高品質なドメインパックの作り方.md	汎用化時の品質管理ルール
プロダクト実装設計	Pythonパッケージ構成とプロトコルを定義する	プロダクト実装アーキテクチャ.md	sim_core/domain_packs/model_adapters/outputsの正本
施策・イベント定義	施策、ショック、制度介入を定義する	イベント定義.tsv	若者/現役側の既存実行入力
長期イベント候補	未来に起こり得る転換イベント候補を持つ	未来転換イベント候補_100年.tsv	一回限りではなく汎用テーマの背景イベント候補として使える
イベント変換	長期イベントを実行用イベントへ変換する	未来転換イベント_to_イベント定義マッピング.tsv	シナリオ別イベント生成の中核
シナリオ倍率	保守/中位/加速などの強度差を作る	未来転換イベント_シナリオ倍率補助.tsv	感度分析に使う
シナリオ適用規約	倍率や適用ルールを定義する	未来転換イベント_シナリオ適用規約.tsv	再現性の根拠
適用手順	イベント生成手順を管理する	未来転換イベント_最小適用手順メモ.tsv	実装手順の正本
遅延効果	遅れて出る効果を管理する	未来転換イベント_遅延受け皿定義.tsv	副作用・波及の遅延を見る
波及チャネル	イベントがどの社会変数へ効くか正規化する	波及チャネル_正規化辞書.tsv	他テーマ転用時も重要
エージェント設計	対象集団の属性と初期状態を持つ	若者エージェント.tsv / 現役世代エージェント.tsv	テーマパックごとに差し替え可能
分類定義	ペルソナ分類の意味を持つ	分類定義.tsv	ファイル単体で読めるようにする
感情・認知設計	感情分類と認知層を定義する	認知層設計.tsv / LLMエージェント情報設計.md	テーマを超えて再利用可能
行動・状態更新	イベントや施策が状態へどう効くかを持つ	更新係数.tsv	ルールベース・LLM補助の両方で使う
国家/世界圧力	国際・世界状態を作る	国家モデル/国家エージェント初期値.tsv / 国家エージェント目的重み.tsv	世界国家レイヤー
世界圧力接続	国家状態を国内・若者へ翻訳する	国家モデル/国家から若者への接続設計.tsv	国際情勢を生活と感情へ落とす
閉ループ設計	個人反応を社会へ戻す	国家モデル/完全相互創発システム設計.md / 日本社会フィードバックループ設計.md	波及・反作用の中核
row仕様	LLM出力の保存形式	LLM生成rowデータ仕様.tsv	再生UIと監査の入力
証拠対応	現実妥当性の根拠を管理する	Evidence-to-Model対応表.tsv / 出典候補一覧_若者現役.tsv	意思決定利用に必要
