scenario_key,turn,avg_S,avg_horizon_turns,avg_cash_stability,avg_labor_displacement,avg_conflict_risk,avg_war_burden,avg_domestic_burden,avg_economic_stress,avg_legitimacy_stress,avg_protest_pressure,avg_riot_pressure,avg_civil_conflict_pressure,war_events_count,domestic_events_count,gray_zone_events,proxy_events,limited_war_events,stable_stage_count,grievance_stage_count,protest_stage_count,mass_protest_stage_count,riot_stage_count,insurgency_stage_count,civil_conflict_stage_count,grievance_events,protest_events,mass_protest_events,riot_events,insurgency_events,civil_conflict_events
complement,1,0.5665,8.5592,0.7414,0.1733,0.2225,0.0037,0.0359,0.2226,0.2845,0.1659,0.2327,0.1619,2,2,1,1,0,6,2,0,0,0,0,0,2,0,0,0,0,0
complement,2,0.5569,8.4723,0.7269,0.2577,0.2263,0.0035,0.0477,0.2441,0.2877,0.1824,0.245,0.1693,1,2,1,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0
complement,3,0.5484,8.3866,0.7078,0.3168,0.2331,0.0029,0.0418,0.2603,0.292,0.1848,0.2468,0.1722,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
complement,4,0.5329,8.211,0.6799,0.3757,0.2478,0.0034,0.0446,0.2773,0.2953,0.194,0.2568,0.1758,1,4,0,1,0,7,0,1,0,0,0,0,0,1,0,0,0,0
complement,5,0.5255,8.0931,0.6524,0.4345,0.2602,0.0028,0.0438,0.2961,0.3005,0.1955,0.2626,0.1794,0,4,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0
complement,6,0.5116,7.8123,0.6129,0.4934,0.2839,0.0075,0.0479,0.3193,0.3068,0.208,0.2782,0.1879,1,1,0,1,0,4,3,1,0,0,0,0,0,1,0,0,0,0
complement,7,0.5015,7.5774,0.5705,0.5523,0.307,0.0069,0.0417,0.3436,0.3158,0.2149,0.2882,0.1944,1,0,1,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0
complement,8,0.4871,7.2861,0.5256,0.6111,0.3361,0.0102,0.0467,0.3698,0.3269,0.231,0.3096,0.2036,2,3,1,1,0,4,4,0,0,0,0,0,2,0,0,0,0,0
complement,9,0.4756,7.0187,0.4766,0.6699,0.3647,0.0112,0.0488,0.396,0.3376,0.2341,0.3202,0.2111,2,3,2,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0
complement,10,0.4611,6.6671,0.4182,0.7288,0.4007,0.0137,0.0547,0.4268,0.3502,0.2461,0.3402,0.2214,1,2,0,1,0,4,3,1,0,0,0,0,1,1,0,0,0,0
