scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
complement,1,RUS,EU,continental_energy,0.1397,gray_zone,True,0.2169,0.0689,0.4,0.4521,0.2736,0.2047,0.0078,0.1986,0.2251,0.1744
complement,1,CHN,USA,technology_maritime,0.0,proxy,True,0.099,0.0638,0.9,0.5754,0.2595,0.0738,0.002,0.1142,0.0268,0.0446
complement,2,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0642,0.0995,0.88,0.4919,0.2517,0.0677,0.002,0.1107,0.1912,0.0289
complement,4,USA,CHN,technology_maritime,0.0,proxy,True,0.0663,0.1075,0.88,0.4909,0.2531,0.0679,0.002,0.1114,0.015,0.0298
complement,6,RUS,EU,continental_energy,0.1717,proxy,True,0.2886,0.0782,0.4,0.4536,0.3133,0.2442,0.0103,0.234,0.21,0.2243
complement,7,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0917,0.1524,0.88,0.4891,0.2574,0.0728,0.002,0.1132,0.1044,0.0413
complement,8,CHN,JPN,maritime_island_chain,0.2084,proxy,False,0.1793,0.0788,0.86,0.2999,0.5346,0.1726,0.0382,0.3519,0.1589,0.1953
complement,8,USA,CHN,technology_maritime,0.0,gray_zone,True,0.1034,0.1793,0.88,0.4882,0.2592,0.0745,0.002,0.1141,0.2251,0.0465
complement,9,CHN,JPN,maritime_island_chain,0.2171,gray_zone,False,0.1992,0.0921,0.86,0.3031,0.5506,0.1816,0.0412,0.3639,0.4312,0.209
complement,9,USA,CHN,technology_maritime,0.0,gray_zone,True,0.1152,0.1992,0.88,0.4873,0.2591,0.0741,0.002,0.114,0.171,0.0518
complement,10,CHN,JPN,maritime_island_chain,0.2308,proxy,False,0.2439,0.112,0.86,0.3038,0.5696,0.1937,0.0458,0.3799,0.1084,0.2367
