scenario_key,turn,avg_S,avg_horizon_turns,avg_cash_stability,avg_labor_displacement,avg_conflict_risk,avg_war_burden,avg_domestic_burden,avg_economic_stress,avg_legitimacy_stress,avg_protest_pressure,avg_riot_pressure,avg_civil_conflict_pressure,war_events_count,domestic_events_count,gray_zone_events,proxy_events,limited_war_events,stable_stage_count,grievance_stage_count,protest_stage_count,mass_protest_stage_count,riot_stage_count,insurgency_stage_count,civil_conflict_stage_count,grievance_events,protest_events,mass_protest_events,riot_events,insurgency_events,civil_conflict_events
fracture,1,0.5627,8.4971,0.7325,0.1733,0.2287,0.0047,0.0359,0.2331,0.2883,0.1732,0.2418,0.1653,1,2,0,1,0,6,2,0,0,0,0,0,2,0,0,0,0,0
fracture,2,0.5489,8.3257,0.7081,0.2577,0.2404,0.0065,0.047,0.2616,0.2955,0.1935,0.2599,0.1753,2,2,1,1,0,4,4,0,0,0,0,0,2,0,0,0,0,0
fracture,3,0.5346,8.1379,0.6766,0.3168,0.2587,0.0109,0.0407,0.2851,0.3041,0.1997,0.2679,0.1811,2,1,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0
fracture,4,0.5096,7.7707,0.6296,0.3756,0.2935,0.0247,0.0649,0.3103,0.3122,0.2129,0.285,0.1884,2,3,0,1,1,4,2,2,0,0,0,0,1,2,0,0,0,0
fracture,5,0.4936,7.4357,0.5796,0.4344,0.3279,0.0327,0.0692,0.3407,0.3249,0.2276,0.3009,0.1998,2,1,0,2,0,3,3,2,0,0,0,0,1,0,0,0,0,0
fracture,6,0.4784,7.1117,0.5291,0.4932,0.3572,0.0293,0.0606,0.375,0.3383,0.2495,0.3265,0.2145,1,2,1,0,0,3,3,2,0,0,0,0,1,1,0,0,0,0
fracture,7,0.4613,6.7249,0.4667,0.552,0.399,0.0351,0.0656,0.4056,0.3508,0.2551,0.3423,0.222,2,2,1,1,0,4,1,3,0,0,0,0,0,1,0,0,0,0
fracture,8,0.4429,6.2919,0.4025,0.6107,0.4444,0.041,0.0582,0.4426,0.3686,0.2793,0.3735,0.2375,2,3,1,1,0,3,4,1,0,0,0,0,3,0,0,0,0,0
fracture,9,0.4255,5.8503,0.333,0.6694,0.4951,0.0505,0.0636,0.4777,0.3844,0.2847,0.3919,0.2482,2,3,0,2,0,2,5,1,0,0,0,0,2,1,0,0,0,0
fracture,10,0.4093,5.4352,0.2596,0.728,0.5403,0.0464,0.0635,0.5186,0.4035,0.3045,0.4213,0.2645,2,2,2,0,0,1,5,2,0,0,0,0,1,1,0,0,0,0
