scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
fracture,1,CHN,IND,border_himalaya,0.1598,proxy,True,0.0998,0.1194,0.65,0.4411,0.3823,0.1831,0.0062,0.2577,0.155,0.1328
fracture,2,USA,RUS,nuclear_coercion,0.1143,proxy,True,0.0659,0.2256,0.82,0.4203,0.3841,0.1255,0.0035,0.233,0.0479,0.0925
fracture,2,CHN,USA,technology_maritime,0.0442,gray_zone,True,0.1015,0.0659,0.9,0.5668,0.3214,0.0972,0.0029,0.1662,0.2477,0.07
fracture,3,CHN,JPN,maritime_island_chain,0.3477,gray_zone,False,0.1092,0.0728,0.86,0.2829,0.7137,0.3153,0.0922,0.5087,0.6136,0.2404
fracture,3,RUS,EU,continental_energy,0.3086,gray_zone,True,0.2335,0.0731,0.4,0.443,0.4721,0.4205,0.0241,0.3806,0.4651,0.2748
fracture,4,CHN,JPN,maritime_island_chain,0.3545,limited_war,False,0.1172,0.0805,0.86,0.2827,0.7216,0.3232,0.098,0.516,0.0509,0.2477
fracture,4,RUS,EU,continental_energy,0.32,proxy,True,0.2589,0.0783,0.4,0.4427,0.4853,0.4381,0.0264,0.3927,0.0788,0.2925
fracture,5,CHN,JPN,maritime_island_chain,0.3598,proxy,False,0.1421,0.0979,0.86,0.2848,0.726,0.3273,0.1016,0.521,0.1495,0.2618
fracture,5,RUS,EU,continental_energy,0.3299,proxy,True,0.2905,0.0811,0.4,0.4443,0.4965,0.4532,0.0286,0.4032,0.1639,0.3122
fracture,6,CHN,JPN,maritime_island_chain,0.3711,gray_zone,False,0.1629,0.113,0.86,0.2863,0.7397,0.3415,0.1105,0.5333,0.531,0.2774
fracture,7,CHN,JPN,maritime_island_chain,0.3804,gray_zone,False,0.1874,0.1285,0.86,0.2859,0.7487,0.3512,0.1175,0.5425,0.6922,0.2936
fracture,7,RUS,EU,continental_energy,0.3557,proxy,True,0.3593,0.1177,0.4,0.4454,0.525,0.4936,0.034,0.4302,0.4297,0.3573
fracture,8,CHN,JPN,maritime_island_chain,0.4037,gray_zone,False,0.2309,0.1777,0.86,0.2855,0.7728,0.3796,0.1364,0.5661,0.4815,0.3259
fracture,8,RUS,EU,continental_energy,0.3748,proxy,True,0.4108,0.1797,0.4,0.4471,0.5434,0.5214,0.0384,0.449,0.3379,0.391
fracture,9,CHN,JPN,maritime_island_chain,0.4224,proxy,False,0.2925,0.2311,0.86,0.2862,0.7876,0.3989,0.1522,0.5831,0.3488,0.3639
fracture,9,RUS,EU,continental_energy,0.391,proxy,True,0.4524,0.238,0.4,0.4494,0.5592,0.5456,0.0425,0.465,0.3338,0.4186
fracture,10,CHN,JPN,maritime_island_chain,0.4483,gray_zone,False,0.357,0.2934,0.86,0.288,0.8092,0.4281,0.1766,0.6071,0.7767,0.4072
fracture,10,USA,RUS,nuclear_coercion,0.1983,gray_zone,True,0.1741,0.4995,0.82,0.4091,0.5124,0.1918,0.0065,0.3365,0.4363,0.1874
