scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
fracture,High automation / low adaptation,1,USA,United States,0.18,0.82,0.88,0.97,0.4413,0.5719,0.824,0.9359,0.1882,0.3501,0.12,0.1996,0.22,0.7783,0.0,0.0179,0.3048,0.3304,0.1924,0.6784,0.7306,0.2055,0.2528,0.5647,0.2586,0.3033,0.02,stable,0,0.1442,0.1617,0.2174,0.1485,0.2083,0.0647,0.2264,0.3759,0.1219,0.0033,gray_zone,0.0192,0.0131,0.0026,0.0682,0.1533,0.0,0.7871,0.1755,0.6604,0.105,0.0,9.73,0.1306,0.6806,0.1875,0.0079,0.0191,0.5364,0.1177,0.2148
fracture,High automation / low adaptation,1,CHN,China,0.18,0.68,0.7,0.86,0.4012,0.6129,0.7896,0.8911,0.1949,0.3908,0.3637,0.2965,0.3,0.4774,0.0066,0.0372,0.304,0.3691,0.2017,0.7248,0.7198,0.2297,0.2981,0.4821,0.3261,0.3359,0.02,stable,0,0.1667,0.1603,0.2346,0.1748,0.2472,0.0998,0.4978,0.7015,0.3036,0.0838,proxy,0.0183,0.0118,0.0023,0.0649,0.1625,0.0,0.7061,0.2329,0.5594,0.1182,0.0,8.1,0.2297,0.7315,0.0865,0.0073,0.0182,0.5466,0.1324,0.2061
fracture,High automation / low adaptation,1,EU,European Union,0.16,0.56,0.8,0.84,0.5914,0.6636,0.7759,0.815,0.1628,0.2881,0.18,0.1389,0.2,0.7789,0.0,0.0101,0.3084,0.3696,0.1733,0.6008,0.6969,0.2061,0.2201,0.5478,0.2573,0.2456,0.02,stable,0,0.1359,0.1603,0.2049,0.1241,0.1983,0.0,0.0,0.0,0.0,0.0,none,0.0211,0.0144,0.0017,0.0628,0.1256,0.0,0.7568,0.1726,0.6369,0.1719,0.0,9.87,0.1493,0.5853,0.2081,0.0085,0.0176,0.4116,0.1126,0.215
fracture,High automation / low adaptation,1,JPN,Japan,0.07,0.32,0.42,0.88,0.5514,0.703,0.7561,0.7546,0.1718,0.2688,0.14,0.0986,0.18,0.7593,0.0,0.0105,0.3076,0.428,0.1724,0.5752,0.6882,0.215,0.2011,0.5569,0.2459,0.2128,0.02,stable,0,0.1333,0.1633,0.1973,0.1118,0.1932,0.0,0.0,0.0,0.0,0.0,none,0.0207,0.0143,0.0013,0.0618,0.1354,0.0,0.6865,0.1701,0.5791,0.2427,0.0,9.29,0.1991,0.5547,0.215,0.0083,0.0173,0.3706,0.111,0.2165
fracture,High automation / low adaptation,1,IND,India,0.19,0.4847,0.69,0.63,0.3411,0.5997,0.6062,0.4719,0.1731,0.43,0.1,0.2593,0.34,0.5816,0.0159,0.0236,0.2816,0.3943,0.2036,0.53,0.5487,0.2751,0.3404,0.4588,0.3885,0.3116,0.085,grievance,1,0.21,0.2002,0.2812,0.1974,0.2823,0.0,0.0,0.0,0.0,0.0,none,0.014,0.0099,0.0,0.0531,0.1491,0.0,0.5879,0.2456,0.4599,0.2359,0.0,7.19,0.3455,0.5342,0.2362,0.0055,0.0149,0.4243,0.1652,0.1393
fracture,High automation / low adaptation,1,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.3812,0.565,0.7663,0.7349,0.13,0.3366,0.18,0.2954,0.43,0.6173,0.0,0.0192,0.2988,0.4049,0.1728,0.6112,0.6846,0.2257,0.2941,0.3693,0.3055,0.3291,0.085,grievance,1,0.1721,0.1492,0.2279,0.1634,0.2381,0.0,0.0,0.0,0.0,0.0,none,0.0165,0.0113,0.0012,0.04,0.101,0.0,0.641,0.2384,0.505,0.3304,0.0,7.69,0.3281,0.6087,0.0897,0.0066,0.0112,0.4372,0.1362,0.184
fracture,High automation / low adaptation,1,RUS,Russia,0.04,0.88,0.74,0.52,0.241,0.4746,0.5556,0.5908,0.1233,0.4669,0.78,0.4609,0.26,0.2757,0.0,0.0367,0.2844,0.4133,0.1969,0.6276,0.4868,0.2813,0.4881,0.3088,0.5649,0.4854,0.02,stable,0,0.2633,0.199,0.356,0.2714,0.3623,0.2154,0.3674,0.4574,0.4026,0.0218,proxy,0.012,0.0076,0.0002,0.0433,0.1034,0.0,0.5825,0.3389,0.4151,0.2933,0.0,5.83,0.409,0.6482,0.1459,0.0045,0.0121,0.5439,0.2141,0.1156
fracture,High automation / low adaptation,1,BRA,Brazil,0.05,0.79,0.91,0.54,0.3111,0.5436,0.627,0.4422,0.1436,0.4181,0.08,0.2171,0.38,0.4381,0.0,0.0113,0.2756,0.356,0.1931,0.4044,0.5081,0.2624,0.3601,0.4169,0.4048,0.3275,0.02,stable,0,0.2218,0.2068,0.3025,0.1924,0.2894,0.0,0.0,0.0,0.0,0.0,none,0.0129,0.0089,0.0,0.0436,0.1218,0.0,0.6285,0.2162,0.5064,0.1432,0.0,7.57,0.2627,0.397,0.3475,0.005,0.0122,0.3068,0.1752,0.1141
fracture,High automation / low adaptation,2,USA,United States,0.18,0.8186,0.88,0.97,0.4426,0.5585,0.7983,0.9463,0.2815,0.3668,0.1247,0.2124,0.22,0.7766,0.0092,0.0443,0.3049,0.3444,0.22,0.6776,0.7358,0.2343,0.2582,0.5675,0.2601,0.3146,0.02,stable,0,0.165,0.1784,0.2341,0.155,0.2204,0.0659,0.233,0.3841,0.1255,0.0035,gray_zone,0.0192,0.0131,0.0027,0.0932,0.2464,0.0,0.7853,0.1993,0.6434,0.1062,0.0,9.51,0.1502,0.6802,0.2019,0.0079,0.0661,0.5386,0.1312,0.2059
fracture,High automation / low adaptation,2,CHN,China,0.18,0.68,0.7,0.86,0.4024,0.5995,0.7608,0.9018,0.2848,0.4081,0.365,0.3144,0.3,0.4746,0.0068,0.0645,0.3042,0.3851,0.2287,0.724,0.7179,0.2596,0.3053,0.4849,0.3313,0.3507,0.02,stable,0,0.189,0.1779,0.2536,0.1846,0.2607,0.1015,0.5029,0.7072,0.3089,0.0879,proxy,0.0184,0.0118,0.0024,0.0899,0.2523,0.0043,0.7051,0.256,0.5458,0.119,0.0,7.92,0.2457,0.7312,0.1044,0.0073,0.0659,0.5526,0.1486,0.1963
