scenario_key,turn,avg_S,avg_horizon_turns,avg_cash_stability,avg_labor_displacement,avg_conflict_risk,avg_war_burden,avg_domestic_burden,avg_economic_stress,avg_legitimacy_stress,avg_protest_pressure,avg_riot_pressure,avg_civil_conflict_pressure,war_events_count,domestic_events_count,gray_zone_events,proxy_events,limited_war_events,stable_stage_count,grievance_stage_count,protest_stage_count,mass_protest_stage_count,riot_stage_count,insurgency_stage_count,civil_conflict_stage_count,grievance_events,protest_events,mass_protest_events,riot_events,insurgency_events,civil_conflict_events
complement,1,0.5676,8.5482,0.7365,0.128,0.2263,0.0054,0.0381,0.2208,0.2868,0.1665,0.2354,0.1631,2,3,0,2,0,5,3,0,0,0,0,0,3,0,0,0,0,0
complement,2,0.5625,8.4751,0.7212,0.1422,0.2337,0.0099,0.0458,0.2303,0.2911,0.1742,0.2408,0.1691,2,1,1,1,0,4,4,0,0,0,0,0,1,0,0,0,0,0
complement,3,0.5566,8.4038,0.7017,0.1565,0.241,0.0096,0.0646,0.2388,0.2943,0.1798,0.2456,0.1724,1,3,1,0,0,3,3,2,0,0,0,0,1,2,0,0,0,0
complement,4,0.5499,8.2977,0.6778,0.1826,0.2552,0.016,0.0564,0.2516,0.2989,0.1944,0.256,0.178,2,0,0,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0
complement,5,0.5441,8.223,0.6513,0.1968,0.2664,0.0131,0.0673,0.262,0.3032,0.1944,0.2592,0.1802,0,2,0,0,0,2,3,3,0,0,0,0,1,1,0,0,0,0
complement,6,0.5378,8.1274,0.6231,0.2111,0.2807,0.0141,0.0727,0.2734,0.3086,0.2022,0.2668,0.1844,2,2,1,1,0,2,3,3,0,0,0,0,1,1,0,0,0,0
complement,7,0.5303,8.0119,0.5888,0.2253,0.299,0.015,0.0776,0.2855,0.3145,0.207,0.2751,0.1889,2,3,1,1,0,3,0,5,0,0,0,0,0,2,0,0,0,0
complement,8,0.5218,7.8912,0.5539,0.2394,0.3164,0.0138,0.0696,0.2992,0.3225,0.2175,0.2873,0.195,1,1,1,0,0,3,1,4,0,0,0,0,1,0,0,0,0,0
complement,9,0.5111,7.7388,0.5162,0.2536,0.337,0.0151,0.0961,0.3124,0.329,0.2195,0.2948,0.1983,2,3,1,1,0,2,2,2,2,0,0,0,1,0,2,0,0,0
complement,10,0.5011,7.5864,0.4749,0.2677,0.3604,0.0162,0.0995,0.3275,0.3388,0.232,0.3065,0.2063,1,1,1,0,0,2,2,1,3,0,0,0,0,0,1,0,0,0
complement,11,0.4908,7.4213,0.431,0.2819,0.3861,0.0208,0.0956,0.344,0.3496,0.2426,0.3203,0.2134,1,2,0,0,1,1,3,1,2,1,0,0,1,0,0,1,0,0
complement,12,0.4793,7.2314,0.3833,0.296,0.4166,0.0277,0.0917,0.3606,0.3607,0.2515,0.3342,0.2204,2,1,1,1,0,1,3,1,2,1,0,0,0,0,0,1,0,0
complement,13,0.468,7.0604,0.3363,0.3101,0.4437,0.025,0.1051,0.3781,0.3725,0.2597,0.349,0.2283,1,2,1,0,0,1,2,2,2,1,0,0,0,1,0,1,0,0
complement,14,0.4516,6.8018,0.2807,0.3383,0.4801,0.0306,0.1326,0.3996,0.3858,0.2771,0.3701,0.2385,1,5,0,0,1,1,0,4,0,3,0,0,0,2,0,3,0,0
complement,15,0.4392,6.6188,0.2246,0.3524,0.5099,0.0251,0.1322,0.4216,0.4025,0.2897,0.386,0.2501,0,5,0,0,0,1,0,2,2,3,0,0,0,0,2,3,0,0
complement,16,0.4265,6.4092,0.1668,0.3665,0.5432,0.0259,0.125,0.4418,0.4185,0.3029,0.4048,0.259,2,4,1,1,0,1,0,3,1,3,0,0,0,1,0,3,0,0
complement,17,0.4104,6.1296,0.1117,0.3807,0.5854,0.0393,0.1358,0.4626,0.4348,0.3128,0.424,0.2686,2,4,1,0,1,1,1,2,1,2,1,0,1,0,0,2,1,0
complement,18,0.393,5.8427,0.0547,0.3948,0.6274,0.0448,0.146,0.4886,0.4569,0.3347,0.4541,0.2856,1,5,0,1,0,0,2,1,2,2,1,0,1,0,1,2,1,0
complement,19,0.3774,5.5364,0.0251,0.4089,0.6748,0.0636,0.1508,0.5055,0.4752,0.3419,0.4688,0.2967,2,4,0,1,1,0,2,1,1,3,1,0,0,0,0,3,1,0
complement,20,0.3658,5.3246,0.0145,0.423,0.7052,0.0694,0.1481,0.5186,0.493,0.353,0.4865,0.3098,1,5,0,0,1,0,2,0,2,3,1,0,0,0,1,3,1,0
complement,21,0.3542,5.0977,0.01,0.4371,0.7401,0.0714,0.1591,0.5291,0.5086,0.3611,0.5015,0.32,1,7,0,1,0,0,0,2,2,3,1,0,0,2,1,3,1,0
complement,22,0.3409,4.8126,0.008,0.4512,0.7818,0.0871,0.1443,0.5413,0.525,0.3756,0.5218,0.3352,2,4,0,1,1,0,0,2,3,2,1,0,0,0,1,2,1,0
complement,23,0.3317,4.6247,0.0062,0.4652,0.813,0.0805,0.1536,0.5511,0.5415,0.3758,0.5339,0.3454,2,5,2,0,0,0,0,3,1,3,0,1,0,1,0,3,0,1
complement,24,0.3219,4.4144,0.0048,0.4793,0.8468,0.0809,0.1627,0.561,0.5561,0.3837,0.5483,0.3559,1,5,0,1,0,0,0,2,2,2,1,1,0,0,1,2,1,1
complement,25,0.3125,4.2039,0.0023,0.4933,0.8807,0.0862,0.1584,0.5717,0.5706,0.3945,0.5628,0.3676,2,4,1,1,0,0,0,2,2,1,2,1,0,0,0,1,2,1
complement,26,0.2991,3.9124,0.0006,0.5073,0.9259,0.0979,0.1721,0.5822,0.5871,0.4066,0.5814,0.3805,2,6,1,1,0,0,0,2,0,3,2,1,0,0,0,3,2,1
complement,27,0.2895,3.713,0.0001,0.5214,0.952,0.103,0.1679,0.5938,0.6037,0.4146,0.5949,0.3943,2,6,1,1,0,0,0,2,0,3,1,2,0,0,0,3,1,2
complement,28,0.2817,3.5554,0.0004,0.5354,0.9704,0.1007,0.1666,0.6031,0.6173,0.4222,0.6074,0.4049,2,6,1,1,0,0,0,2,0,3,1,2,0,0,0,3,1,2
complement,29,0.2734,3.3851,0.0003,0.5493,0.986,0.1092,0.1717,0.6106,0.6283,0.428,0.6172,0.4136,2,7,0,2,0,0,0,1,1,3,1,2,0,0,1,3,1,2
complement,30,0.2675,3.2747,0.0,0.5633,0.9946,0.1034,0.1697,0.6189,0.6404,0.4354,0.6276,0.4244,2,6,2,0,0,0,0,1,1,3,1,2,0,0,0,3,1,2
complement,31,0.2605,3.1511,0.0001,0.5773,0.9977,0.1084,0.1744,0.6267,0.6516,0.4413,0.6372,0.4327,2,7,1,1,0,0,0,1,0,4,1,2,0,0,0,4,1,2
complement,32,0.2538,3.0219,0.0001,0.5912,0.9993,0.1175,0.1778,0.6338,0.663,0.4483,0.6462,0.4423,2,7,1,1,0,0,0,1,0,2,3,2,0,0,0,2,3,2
complement,33,0.2479,2.9071,0.0001,0.6051,1.0,0.1247,0.1745,0.6397,0.6738,0.455,0.6542,0.4518,2,7,1,1,0,0,0,1,0,3,2,2,0,0,0,3,2,2
complement,34,0.2419,2.7999,0.0,0.619,1.0,0.1247,0.1688,0.6452,0.6829,0.466,0.6665,0.4601,2,8,1,1,0,0,1,0,0,3,2,2,1,0,0,3,2,2
