scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
complement,1,RUS,EU,continental_energy,0.1636,proxy,True,0.2166,0.0696,0.4,0.4464,0.3022,0.2302,0.0093,0.2246,0.2019,0.1875
complement,1,USA,CHN,technology_maritime,0.0,proxy,True,0.0643,0.0995,0.88,0.487,0.2556,0.0692,0.002,0.1125,0.0281,0.0289
complement,2,CHN,JPN,maritime_island_chain,0.2084,proxy,False,0.1001,0.0684,0.86,0.2865,0.5343,0.1737,0.037,0.3518,0.0395,0.1597
complement,2,RUS,EU,continental_energy,0.1693,gray_zone,True,0.2205,0.0705,0.4,0.4474,0.3104,0.2393,0.0099,0.2314,0.274,0.1923
complement,3,CHN,JPN,maritime_island_chain,0.2101,gray_zone,False,0.1012,0.0696,0.86,0.2877,0.5371,0.1754,0.0382,0.354,0.4687,0.1611
complement,4,CHN,JPN,maritime_island_chain,0.213,proxy,False,0.1023,0.0712,0.86,0.2879,0.5418,0.1781,0.0396,0.3577,0.0802,0.1632
complement,4,RUS,EU,continental_energy,0.1823,proxy,True,0.2444,0.0726,0.4,0.447,0.3268,0.2566,0.0111,0.2459,0.153,0.2102
complement,6,CHN,JPN,maritime_island_chain,0.2129,proxy,False,0.1045,0.0735,0.86,0.2893,0.5405,0.1769,0.0399,0.357,0.146,0.1641
complement,6,USA,RUS,nuclear_coercion,0.0,gray_zone,True,0.0675,0.2909,0.82,0.4184,0.2413,0.0699,0.0016,0.1062,0.1465,0.0304
complement,7,CHN,JPN,maritime_island_chain,0.2174,proxy,False,0.1069,0.0752,0.86,0.2906,0.5498,0.182,0.0418,0.3637,0.179,0.1677
complement,7,USA,RUS,nuclear_coercion,0.0015,gray_zone,True,0.0685,0.3157,0.82,0.4169,0.2411,0.0686,0.0016,0.1069,0.1328,0.0317
complement,8,CHN,IND,border_himalaya,0.0519,gray_zone,True,0.1189,0.1302,0.65,0.4422,0.2536,0.1107,0.0032,0.1406,0.2031,0.0821
complement,9,CHN,JPN,maritime_island_chain,0.2253,proxy,False,0.125,0.078,0.86,0.2919,0.5627,0.1898,0.0448,0.3738,0.1187,0.1802
complement,9,USA,RUS,nuclear_coercion,0.014,gray_zone,True,0.071,0.3747,0.82,0.4138,0.2566,0.0755,0.0018,0.1208,0.0949,0.0396
complement,10,RUS,EU,continental_energy,0.2369,gray_zone,True,0.4062,0.0937,0.4,0.4462,0.3948,0.3299,0.0165,0.3064,0.3799,0.3131
complement,11,CHN,JPN,maritime_island_chain,0.2394,limited_war,False,0.1715,0.0812,0.86,0.2936,0.5845,0.2032,0.0493,0.3913,0.0171,0.2088
complement,12,CHN,JPN,maritime_island_chain,0.2497,gray_zone,False,0.2082,0.0961,0.86,0.2956,0.5991,0.213,0.0531,0.4034,0.4416,0.231
complement,12,RUS,EU,continental_energy,0.2661,proxy,True,0.4819,0.1361,0.4,0.445,0.431,0.3731,0.0201,0.3387,0.2163,0.3632
complement,13,CHN,JPN,maritime_island_chain,0.2623,gray_zone,False,0.2421,0.1186,0.86,0.2958,0.617,0.2257,0.0582,0.4184,0.4453,0.2532
complement,14,CHN,JPN,maritime_island_chain,0.2752,limited_war,False,0.2861,0.1416,0.86,0.2959,0.6331,0.2376,0.0631,0.4326,0.0627,0.2801
complement,16,CHN,JPN,maritime_island_chain,0.3061,gray_zone,False,0.3763,0.1971,0.86,0.2986,0.6755,0.2722,0.0774,0.4687,0.4179,0.3377
complement,16,USA,RUS,nuclear_coercion,0.1026,proxy,True,0.2031,0.5245,0.82,0.3896,0.3783,0.1244,0.0033,0.2239,0.0426,0.1478
complement,17,CHN,JPN,maritime_island_chain,0.3186,limited_war,False,0.4155,0.2271,0.86,0.2985,0.6893,0.2842,0.0836,0.4817,0.0435,0.3622
complement,17,USA,CHN,technology_maritime,0.0373,gray_zone,True,0.2416,0.4155,0.88,0.4633,0.3137,0.0984,0.0027,0.1589,0.204,0.1292
complement,18,RUS,EU,continental_energy,0.3115,proxy,True,0.5427,0.3113,0.4,0.4421,0.4855,0.4435,0.027,0.3881,0.3393,0.4155
complement,19,CHN,JPN,maritime_island_chain,0.3384,limited_war,False,0.4526,0.2969,0.86,0.3011,0.714,0.3072,0.0951,0.5036,0.0787,0.3898
complement,19,RUS,EU,continental_energy,0.3185,proxy,True,0.5533,0.3302,0.4,0.4421,0.4932,0.454,0.0286,0.3953,0.2106,0.4242
complement,20,CHN,JPN,maritime_island_chain,0.3449,limited_war,False,0.4694,0.3458,0.86,0.3043,0.7207,0.3139,0.0996,0.5103,0.012,0.4009
complement,21,CHN,IND,border_himalaya,0.2061,proxy,True,0.4861,0.4173,0.65,0.4315,0.457,0.2418,0.0097,0.3165,0.1376,0.3321
complement,22,CHN,JPN,maritime_island_chain,0.3588,limited_war,False,0.5031,0.3886,0.86,0.3066,0.7357,0.3293,0.1097,0.5246,0.0929,0.4237
complement,22,RUS,EU,continental_energy,0.3378,proxy,True,0.5806,0.3631,0.4,0.4375,0.5149,0.4846,0.0321,0.4157,0.1043,0.4471
complement,23,CHN,JPN,maritime_island_chain,0.3626,gray_zone,False,0.5235,0.4103,0.86,0.3098,0.7381,0.3314,0.1129,0.5278,0.3722,0.435
complement,23,USA,RUS,nuclear_coercion,0.1852,gray_zone,True,0.3538,0.5896,0.82,0.3636,0.5013,0.183,0.0059,0.3243,0.365,0.2611
complement,24,CHN,JPN,maritime_island_chain,0.3758,proxy,False,0.537,0.4241,0.86,0.3086,0.7535,0.3485,0.125,0.542,0.3138,0.4483
complement,25,CHN,JPN,maritime_island_chain,0.3828,proxy,False,0.5526,0.439,0.86,0.3103,0.7606,0.3566,0.1321,0.549,0.2828,0.4592
complement,25,USA,CHN,technology_maritime,0.1321,gray_zone,True,0.3775,0.5526,0.88,0.4317,0.4525,0.1513,0.0054,0.2731,0.3032,0.2425
complement,26,RUS,EU,continental_energy,0.3583,gray_zone,True,0.619,0.3934,0.4,0.4334,0.5369,0.5183,0.0359,0.4369,0.534,0.4756
complement,26,CHN,IND,border_himalaya,0.2692,proxy,True,0.5769,0.4986,0.65,0.4162,0.5422,0.3152,0.0158,0.3894,0.2276,0.4077
complement,27,CHN,JPN,maritime_island_chain,0.4009,gray_zone,False,0.5913,0.4603,0.86,0.3103,0.7777,0.3774,0.1503,0.5667,0.6036,0.4866
complement,27,RUS,EU,continental_energy,0.3647,proxy,True,0.63,0.4056,0.4,0.4313,0.5417,0.5253,0.0376,0.4426,0.0691,0.4841
complement,28,CHN,JPN,maritime_island_chain,0.4093,gray_zone,False,0.602,0.4701,0.86,0.3086,0.7854,0.3873,0.1594,0.5748,0.4347,0.496
complement,28,USA,RUS,nuclear_coercion,0.2219,proxy,True,0.4191,0.6391,0.82,0.358,0.5574,0.219,0.0078,0.3695,0.066,0.3106
complement,29,CHN,JPN,maritime_island_chain,0.4178,proxy,False,0.6119,0.4854,0.86,0.3069,0.7927,0.3971,0.1687,0.5828,0.3374,0.5051
complement,29,USA,CHN,technology_maritime,0.1759,proxy,True,0.4307,0.6119,0.88,0.4155,0.5199,0.1854,0.0074,0.3273,0.0927,0.2906
complement,30,CHN,JPN,maritime_island_chain,0.4216,gray_zone,False,0.623,0.4971,0.86,0.3086,0.7955,0.4006,0.1739,0.5861,0.418,0.5122
complement,30,USA,RUS,nuclear_coercion,0.2322,gray_zone,True,0.441,0.6526,0.82,0.358,0.5718,0.2289,0.0085,0.3816,0.2419,0.3262
complement,31,CHN,JPN,maritime_island_chain,0.4306,gray_zone,False,0.63,0.5072,0.86,0.3052,0.8029,0.4109,0.1839,0.5944,0.5472,0.5203
complement,31,RUS,EU,continental_energy,0.3873,proxy,True,0.66,0.4292,0.4,0.4265,0.5642,0.5614,0.0437,0.4651,0.2504,0.51
complement,32,RUS,EU,continental_energy,0.39,proxy,True,0.6655,0.4397,0.4,0.428,0.5665,0.5649,0.045,0.4676,0.2282,0.514
complement,32,CHN,IND,border_himalaya,0.3274,gray_zone,True,0.6369,0.5582,0.65,0.3948,0.6142,0.3907,0.024,0.4536,0.4417,0.4667
complement,33,RUS,EU,continental_energy,0.392,proxy,True,0.6709,0.4471,0.4,0.4296,0.5681,0.5675,0.0461,0.4695,0.299,0.5175
complement,33,CHN,IND,border_himalaya,0.3363,gray_zone,True,0.6436,0.5665,0.65,0.3908,0.6244,0.4028,0.0254,0.4631,0.57,0.4746
complement,34,RUS,EU,continental_energy,0.3941,proxy,True,0.6763,0.4544,0.4,0.4314,0.5699,0.5699,0.0471,0.4715,0.1176,0.5211
complement,34,USA,RUS,nuclear_coercion,0.2462,gray_zone,True,0.4696,0.6763,0.82,0.358,0.593,0.2445,0.0094,0.3988,0.497,0.3467
complement,35,CHN,JPN,maritime_island_chain,0.4571,limited_war,False,0.6557,0.5229,0.86,0.2929,0.8233,0.4408,0.2114,0.6182,0.1901,0.5465
complement,36,CHN,IND,border_himalaya,0.3575,proxy,True,0.6664,0.5888,0.65,0.3783,0.6465,0.4299,0.0285,0.4847,0.3561,0.4965
complement,36,RUS,EU,continental_energy,0.3978,limited_war,True,0.6842,0.4674,0.4,0.4314,0.5731,0.5731,0.0483,0.4749,0.0159,0.5267
complement,37,CHN,JPN,maritime_island_chain,0.4662,gray_zone,False,0.6731,0.5395,0.86,0.2909,0.8287,0.4492,0.2223,0.6257,0.6997,0.5593
complement,37,USA,RUS,nuclear_coercion,0.2551,proxy,True,0.4953,0.6889,0.82,0.358,0.6057,0.2557,0.0099,0.4094,0.0966,0.3632
complement,38,CHN,JPN,maritime_island_chain,0.4739,proxy,False,0.6787,0.5468,0.86,0.2871,0.8337,0.4571,0.2325,0.6322,0.2492,0.5661
complement,38,RUS,EU,continental_energy,0.3991,proxy,True,0.6937,0.485,0.4,0.4332,0.5732,0.5732,0.0486,0.4757,0.5657,0.5317
complement,39,CHN,JPN,maritime_island_chain,0.4769,proxy,False,0.6854,0.5538,0.86,0.2873,0.8354,0.4599,0.2369,0.6346,0.3983,0.5707
complement,39,USA,CHN,technology_maritime,0.2509,proxy,True,0.514,0.6854,0.88,0.3769,0.6267,0.2517,0.0122,0.4162,0.1032,0.3693
complement,40,CHN,JPN,maritime_island_chain,0.4793,limited_war,False,0.6943,0.5607,0.86,0.2876,0.8362,0.4612,0.2412,0.6364,0.0689,0.5761
complement,40,USA,CHN,technology_maritime,0.2608,gray_zone,True,0.5228,0.6943,0.88,0.3755,0.642,0.2641,0.0133,0.4286,0.2829,0.3787
