scenario_key,turn,avg_S,avg_horizon_turns,avg_cash_stability,avg_labor_displacement,avg_conflict_risk,avg_war_burden,avg_domestic_burden,avg_economic_stress,avg_legitimacy_stress,avg_protest_pressure,avg_riot_pressure,avg_civil_conflict_pressure,war_events_count,domestic_events_count,gray_zone_events,proxy_events,limited_war_events,stable_stage_count,grievance_stage_count,protest_stage_count,mass_protest_stage_count,riot_stage_count,insurgency_stage_count,civil_conflict_stage_count,grievance_events,protest_events,mass_protest_events,riot_events,insurgency_events,civil_conflict_events
fracture,1,0.5675,8.5298,0.7333,0.128,0.2305,0.0087,0.02,0.2236,0.2879,0.1685,0.2378,0.164,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
fracture,2,0.5613,8.4586,0.7171,0.1422,0.2351,0.0074,0.0467,0.2345,0.2926,0.1731,0.2444,0.1695,1,2,1,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0
fracture,3,0.5542,8.3658,0.6954,0.1565,0.2438,0.0078,0.0667,0.2451,0.2971,0.1829,0.2507,0.1742,1,3,1,0,0,4,3,1,0,0,0,0,2,1,0,0,0,0
fracture,4,0.5466,8.2569,0.6678,0.1826,0.257,0.009,0.0669,0.2598,0.3028,0.1989,0.2628,0.1807,2,1,1,1,0,4,2,2,0,0,0,0,0,1,0,0,0,0
fracture,5,0.5415,8.1769,0.6392,0.1969,0.2699,0.0079,0.0593,0.2725,0.3088,0.2027,0.268,0.1839,1,0,1,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0
fracture,6,0.5347,8.0754,0.6091,0.211,0.2843,0.0082,0.0627,0.2849,0.3144,0.2077,0.2764,0.1872,1,2,1,0,0,2,4,2,0,0,0,0,2,0,0,0,0,0
fracture,7,0.5284,7.9732,0.5773,0.2253,0.3,0.0091,0.0546,0.2986,0.3211,0.2144,0.2859,0.1921,2,3,2,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0
fracture,8,0.5171,7.8064,0.5415,0.2394,0.3212,0.0143,0.0565,0.3122,0.3284,0.218,0.2977,0.197,2,2,1,1,0,4,1,3,0,0,0,0,1,1,0,0,0,0
fracture,9,0.5109,7.7081,0.5098,0.2536,0.3371,0.0137,0.05,0.3279,0.3364,0.2234,0.307,0.2026,1,2,0,1,0,4,2,1,1,0,0,0,1,0,1,0,0,0
fracture,10,0.4997,7.537,0.4739,0.2677,0.3585,0.0187,0.0731,0.341,0.3428,0.2265,0.3162,0.2068,2,3,1,1,0,3,3,1,1,0,0,0,1,1,1,0,0,0
fracture,11,0.4902,7.3954,0.4381,0.2819,0.3777,0.0189,0.0839,0.3585,0.353,0.2398,0.3298,0.2157,2,3,1,1,0,0,6,1,1,0,0,0,3,0,0,0,0,0
fracture,12,0.4817,7.264,0.399,0.296,0.3989,0.0189,0.0799,0.3749,0.3627,0.2514,0.3425,0.223,2,1,2,0,0,0,5,2,1,0,0,0,0,1,0,0,0,0
fracture,13,0.4703,7.071,0.3541,0.3102,0.4283,0.0251,0.0867,0.3915,0.3723,0.26,0.3554,0.2294,2,2,1,1,0,0,5,2,1,0,0,0,1,1,0,0,0,0
fracture,14,0.4571,6.8523,0.3045,0.3383,0.4606,0.0316,0.0927,0.4139,0.3844,0.2765,0.3761,0.2402,2,2,1,1,0,0,6,1,0,1,0,0,1,0,0,1,0,0
fracture,15,0.4455,6.6608,0.2548,0.3524,0.4911,0.0333,0.0964,0.4346,0.3973,0.2837,0.3891,0.2491,2,2,1,1,0,0,6,0,1,1,0,0,0,0,1,1,0,0
fracture,16,0.4315,6.4079,0.1976,0.3665,0.5317,0.0433,0.0969,0.455,0.4111,0.2962,0.4065,0.2588,2,4,0,2,0,1,3,2,1,1,0,0,0,2,0,1,0,0
fracture,17,0.4197,6.2004,0.1406,0.3806,0.5651,0.039,0.1105,0.4776,0.4251,0.3078,0.4251,0.2699,1,3,0,1,0,0,3,3,1,1,0,0,1,1,0,1,0,0
fracture,18,0.402,5.9064,0.082,0.3947,0.6043,0.0422,0.1498,0.5036,0.442,0.3299,0.4513,0.2835,2,5,1,1,0,0,1,4,1,1,1,0,0,2,1,1,1,0
fracture,19,0.3916,5.6787,0.0481,0.4089,0.6457,0.0449,0.1279,0.5227,0.4605,0.3439,0.467,0.2973,2,3,2,0,0,0,1,5,0,1,1,0,0,1,0,1,1,0
fracture,20,0.3793,5.4314,0.023,0.423,0.6845,0.0454,0.1391,0.5381,0.4761,0.3513,0.4851,0.3069,2,6,2,0,0,0,1,3,2,1,1,0,1,1,2,1,1,0
fracture,21,0.3652,5.1301,0.007,0.4371,0.7264,0.0642,0.145,0.5521,0.4927,0.3613,0.5028,0.3191,2,5,0,1,1,0,0,3,2,2,1,0,0,1,1,2,1,0
fracture,22,0.349,4.8051,0.0012,0.4512,0.7701,0.0824,0.1499,0.5673,0.5117,0.3791,0.5258,0.3369,2,5,0,1,1,0,1,2,1,3,1,0,1,0,0,3,1,0
fracture,23,0.3365,4.5378,0.0004,0.4652,0.8103,0.0916,0.1494,0.5793,0.5312,0.3848,0.541,0.3503,2,6,0,1,1,0,0,2,3,2,1,0,0,1,2,2,1,0
fracture,24,0.325,4.3158,0.0,0.4793,0.8446,0.0844,0.1624,0.5902,0.551,0.3938,0.5599,0.3638,2,6,2,0,0,0,0,1,2,4,1,0,0,0,1,4,1,0
fracture,25,0.3117,4.0058,0.0,0.4934,0.89,0.1071,0.1538,0.601,0.5689,0.4058,0.577,0.3762,2,5,0,0,2,0,0,1,2,4,1,0,0,0,0,4,1,0
fracture,26,0.3012,3.7954,0.0,0.5074,0.9176,0.1107,0.1584,0.6122,0.5867,0.4183,0.5973,0.3916,2,6,1,0,1,0,0,1,1,5,1,0,0,0,0,5,1,0
fracture,27,0.2914,3.5778,0.0001,0.5215,0.9499,0.1129,0.1698,0.621,0.5992,0.4225,0.6057,0.4011,2,6,1,1,0,0,0,1,1,4,2,0,0,0,0,4,2,0
fracture,28,0.2813,3.3673,0.0,0.5355,0.9726,0.1174,0.183,0.63,0.6115,0.4322,0.6177,0.4126,2,8,1,1,0,0,0,0,1,4,3,0,0,0,1,4,3,0
fracture,29,0.2733,3.2086,0.0,0.5495,0.9872,0.1174,0.1743,0.6394,0.6251,0.4436,0.6297,0.4241,2,7,1,1,0,0,0,0,1,4,3,0,0,0,0,4,3,0
fracture,30,0.2647,3.0534,0.0001,0.5635,0.9931,0.1224,0.1824,0.6463,0.6357,0.4493,0.6384,0.432,2,7,1,1,0,0,0,0,2,2,4,0,0,0,1,2,4,0
fracture,31,0.257,2.9097,0.0,0.5775,0.9958,0.1257,0.1891,0.6533,0.647,0.4568,0.6472,0.4415,2,8,1,1,0,0,0,0,0,4,3,1,0,0,0,4,3,1
fracture,32,0.248,2.73,0.0007,0.5915,0.9986,0.1424,0.1984,0.6595,0.6588,0.4652,0.6562,0.4511,2,8,0,2,0,0,0,0,0,3,4,1,0,0,0,3,4,1
fracture,33,0.2401,2.5663,0.0007,0.6053,1.0,0.1574,0.1936,0.6665,0.6716,0.4746,0.6656,0.4624,2,8,0,1,1,0,0,0,0,3,3,2,0,0,0,3,3,2
fracture,34,0.2328,2.4262,0.0008,0.6193,1.0,0.1629,0.1923,0.6718,0.6829,0.4876,0.679,0.4725,2,8,0,2,0,0,0,0,0,3,3,2,0,0,0,3,3,2
fracture,35,0.2267,2.3064,0.0001,0.6332,1.0,0.1618,0.1944,0.6761,0.6938,0.4862,0.681,0.4786,2,8,1,1,0,0,0,0,0,3,2,3,0,0,0,3,2,3
fracture,36,0.2209,2.1936,0.0,0.647,1.0,0.1591,0.205,0.6802,0.7037,0.4915,0.688,0.485,2,8,1,1,0,0,0,0,0,3,1,4,0,0,0,3,1,4
fracture,37,0.2162,2.0922,0.0007,0.6609,1.0,0.1557,0.2016,0.6844,0.7132,0.4987,0.6946,0.491,2,8,1,1,0,0,0,0,0,2,3,3,0,0,0,2,3,3
fracture,38,0.2103,1.9659,0.0002,0.6748,1.0,0.1605,0.2171,0.6877,0.7223,0.5032,0.7006,0.4957,2,8,1,1,0,0,0,0,0,1,3,4,0,0,0,1,3,4
fracture,39,0.2053,1.84,0.0009,0.6886,1.0,0.1707,0.2116,0.6928,0.7329,0.5123,0.7082,0.5032,2,8,0,2,0,0,0,0,0,1,2,5,0,0,0,1,2,5
fracture,40,0.1997,1.703,0.0005,0.7024,1.0,0.1822,0.2106,0.697,0.7427,0.5178,0.7148,0.5092,2,8,0,1,1,0,0,0,0,1,2,5,0,0,0,1,2,5
