scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
fracture,1,CHN,JPN,maritime_island_chain,0.2579,proxy,False,0.0997,0.0684,0.86,0.2824,0.6043,0.2208,0.0514,0.4103,0.1588,0.1867
fracture,1,RUS,EU,continental_energy,0.2166,proxy,True,0.2139,0.0698,0.4,0.4427,0.366,0.2927,0.0134,0.2823,0.0337,0.2154
fracture,2,USA,RUS,nuclear_coercion,0.0298,gray_zone,True,0.0652,0.2189,0.82,0.4194,0.2734,0.0798,0.0019,0.137,0.2101,0.0457
fracture,3,CHN,JPN,maritime_island_chain,0.2598,gray_zone,False,0.1019,0.0708,0.86,0.2833,0.6056,0.2213,0.0533,0.412,0.5217,0.1887
fracture,4,CHN,JPN,maritime_island_chain,0.264,gray_zone,False,0.1032,0.073,0.86,0.2831,0.6123,0.2255,0.0554,0.4172,0.5221,0.1916
fracture,4,USA,RUS,nuclear_coercion,0.0409,proxy,True,0.067,0.2304,0.82,0.417,0.29,0.0856,0.0021,0.1505,0.0638,0.0526
fracture,5,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0681,0.1046,0.88,0.4804,0.2603,0.0714,0.0021,0.1145,0.1035,0.0306
fracture,6,CHN,JPN,maritime_island_chain,0.2734,gray_zone,False,0.1071,0.0765,0.86,0.2826,0.6283,0.2369,0.0605,0.4296,0.4054,0.1986
fracture,7,CHN,JPN,maritime_island_chain,0.2783,gray_zone,False,0.114,0.079,0.86,0.2824,0.6353,0.2422,0.0632,0.4354,0.4554,0.2044
fracture,7,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0703,0.114,0.88,0.4786,0.2614,0.073,0.0021,0.115,0.2513,0.0316
fracture,8,RUS,EU,continental_energy,0.2525,proxy,True,0.2922,0.0766,0.4,0.4419,0.4108,0.343,0.0184,0.3221,0.1122,0.2704
fracture,8,USA,RUS,nuclear_coercion,0.0605,gray_zone,True,0.0716,0.2922,0.82,0.4119,0.317,0.0959,0.0025,0.1734,0.3104,0.0655
fracture,9,CHN,USA,technology_maritime,0.0,proxy,True,0.1307,0.073,0.9,0.5621,0.2723,0.0848,0.0023,0.1198,0.0768,0.0588
fracture,10,RUS,EU,continental_energy,0.265,proxy,True,0.3301,0.0799,0.4,0.443,0.4261,0.3612,0.0204,0.3359,0.1617,0.2943
fracture,10,USA,RUS,nuclear_coercion,0.0695,gray_zone,True,0.0768,0.3301,0.82,0.4088,0.328,0.1,0.0027,0.1832,0.1256,0.0728
fracture,11,CHN,JPN,maritime_island_chain,0.3007,gray_zone,False,0.1659,0.0947,0.86,0.2809,0.6653,0.267,0.0747,0.4611,0.3797,0.24
fracture,11,USA,RUS,nuclear_coercion,0.0841,proxy,True,0.0994,0.3556,0.82,0.4071,0.3507,0.1097,0.003,0.2014,0.0064,0.091
fracture,12,CHN,JPN,maritime_island_chain,0.3106,gray_zone,False,0.1861,0.1211,0.86,0.2805,0.6776,0.2778,0.0803,0.4721,0.3921,0.2546
fracture,12,USA,CHN,technology_maritime,0.0187,gray_zone,True,0.1227,0.1861,0.88,0.4728,0.288,0.0858,0.0024,0.1372,0.275,0.0655
fracture,13,CHN,JPN,maritime_island_chain,0.3211,proxy,False,0.2207,0.145,0.86,0.28,0.6886,0.2876,0.0857,0.4828,0.1993,0.2759
fracture,13,RUS,EU,continental_energy,0.2876,gray_zone,True,0.3976,0.092,0.4,0.4437,0.4537,0.3964,0.0237,0.3607,0.4281,0.3371
fracture,14,CHN,JPN,maritime_island_chain,0.3349,gray_zone,False,0.251,0.1735,0.86,0.2813,0.7065,0.3042,0.0942,0.4984,0.3573,0.2971
fracture,14,RUS,EU,continental_energy,0.2989,proxy,True,0.4212,0.1134,0.4,0.4431,0.4671,0.4135,0.0257,0.3729,0.2711,0.3539
fracture,15,CHN,JPN,maritime_island_chain,0.3479,proxy,False,0.2928,0.2022,0.86,0.2807,0.72,0.3176,0.102,0.5116,0.2873,0.3231
fracture,15,USA,RUS,nuclear_coercion,0.1382,gray_zone,True,0.2218,0.4465,0.82,0.4002,0.4309,0.1461,0.0043,0.267,0.2982,0.1758
fracture,16,CHN,JPN,maritime_island_chain,0.3657,proxy,False,0.3331,0.2484,0.86,0.2822,0.7405,0.3391,0.1145,0.5306,0.1675,0.351
fracture,16,RUS,EU,continental_energy,0.3187,proxy,True,0.4764,0.161,0.4,0.4443,0.4896,0.4434,0.0293,0.3939,0.3994,0.3897
fracture,17,USA,RUS,nuclear_coercion,0.1701,proxy,True,0.2978,0.4987,0.82,0.396,0.4787,0.1699,0.0054,0.3059,0.0732,0.2276
fracture,18,CHN,JPN,maritime_island_chain,0.3942,gray_zone,False,0.4129,0.3329,0.86,0.283,0.7677,0.3704,0.1342,0.5585,0.4464,0.4026
fracture,18,USA,RUS,nuclear_coercion,0.1785,proxy,True,0.3263,0.5078,0.82,0.3954,0.4893,0.1761,0.0057,0.3152,0.1063,0.245
fracture,19,CHN,IND,border_himalaya,0.2393,gray_zone,True,0.4283,0.3597,0.65,0.4263,0.5031,0.2744,0.0124,0.3554,0.4213,0.3244
fracture,19,USA,RUS,nuclear_coercion,0.1873,gray_zone,True,0.3383,0.5165,0.82,0.3949,0.5047,0.186,0.0061,0.327,0.4283,0.2553
fracture,20,CHN,JPN,maritime_island_chain,0.4174,gray_zone,False,0.4436,0.3761,0.86,0.2808,0.79,0.3984,0.1562,0.5813,0.5833,0.4292
fracture,20,USA,RUS,nuclear_coercion,0.1962,gray_zone,True,0.3538,0.5282,0.82,0.3928,0.5177,0.1935,0.0066,0.3377,0.2757,0.2671
