scenario_key,turn,avg_S,avg_horizon_turns,avg_cash_stability,avg_labor_displacement,avg_conflict_risk,avg_war_burden,avg_domestic_burden,avg_economic_stress,avg_legitimacy_stress,avg_protest_pressure,avg_riot_pressure,avg_civil_conflict_pressure,war_events_count,domestic_events_count,gray_zone_events,proxy_events,limited_war_events,stable_stage_count,grievance_stage_count,protest_stage_count,mass_protest_stage_count,riot_stage_count,insurgency_stage_count,civil_conflict_stage_count,grievance_events,protest_events,mass_protest_events,riot_events,insurgency_events,civil_conflict_events
managed_transition,1,0.5669,8.5349,0.7347,0.128,0.2278,0.0062,0.0373,0.2225,0.2875,0.1676,0.2368,0.1636,2,2,1,1,0,6,2,0,0,0,0,0,2,0,0,0,0,0
managed_transition,2,0.5619,8.47,0.7189,0.1422,0.2331,0.0077,0.0467,0.2332,0.2924,0.1758,0.2432,0.1701,2,1,1,1,0,5,3,0,0,0,0,0,1,0,0,0,0,0
managed_transition,3,0.5585,8.4221,0.7023,0.1565,0.2389,0.0079,0.0438,0.2424,0.2959,0.1821,0.2484,0.1734,1,1,0,1,0,4,4,0,0,0,0,0,1,0,0,0,0,0
managed_transition,4,0.552,8.3251,0.6812,0.1826,0.2502,0.0131,0.0396,0.2541,0.2992,0.1912,0.2577,0.1768,2,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0
managed_transition,5,0.5458,8.2221,0.6578,0.1969,0.2644,0.0199,0.0381,0.2646,0.3033,0.1913,0.2607,0.1791,2,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0
managed_transition,6,0.5389,8.1242,0.6356,0.2111,0.2756,0.0204,0.0559,0.2761,0.3082,0.196,0.2681,0.1833,2,2,0,2,0,2,6,0,0,0,0,0,2,0,0,0,0,0
managed_transition,7,0.5312,8.0198,0.6081,0.2253,0.2885,0.0183,0.0763,0.288,0.3138,0.2047,0.2759,0.1886,1,3,1,0,0,2,5,1,0,0,0,0,1,1,0,0,0,0
managed_transition,8,0.522,7.8957,0.5756,0.2394,0.3049,0.0173,0.0762,0.3015,0.3213,0.2166,0.2874,0.1954,2,2,2,0,0,3,3,2,0,0,0,0,0,1,0,0,0,0
managed_transition,9,0.5161,7.7884,0.5418,0.2536,0.3239,0.0187,0.0631,0.3153,0.3282,0.2201,0.2952,0.1996,2,1,0,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0
managed_transition,10,0.5101,7.6989,0.507,0.2677,0.3406,0.0154,0.0617,0.3282,0.3346,0.2224,0.3044,0.2035,0,1,0,0,0,4,1,3,0,0,0,0,0,1,0,0,0,0
managed_transition,11,0.5017,7.5716,0.4697,0.2818,0.3598,0.0146,0.0708,0.3431,0.3421,0.2295,0.3154,0.2084,1,1,1,0,0,3,2,3,0,0,0,0,1,0,0,0,0,0
managed_transition,12,0.495,7.4643,0.4317,0.296,0.3788,0.0124,0.0662,0.359,0.3508,0.239,0.3274,0.2152,1,0,1,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0
managed_transition,13,0.4861,7.3052,0.3922,0.3101,0.4036,0.0197,0.062,0.3745,0.3589,0.2455,0.339,0.2205,2,2,1,1,0,2,4,2,0,0,0,0,2,0,0,0,0,0
managed_transition,14,0.4798,7.2104,0.3577,0.3382,0.4204,0.0166,0.052,0.3945,0.3681,0.2571,0.3567,0.2291,1,1,1,0,0,2,5,1,0,0,0,0,1,0,0,0,0,0
managed_transition,15,0.4694,7.0231,0.3176,0.3524,0.4485,0.0271,0.0589,0.4094,0.3755,0.2559,0.3637,0.2328,2,3,0,2,0,1,6,1,0,0,0,0,2,0,0,0,0,0
managed_transition,16,0.4581,6.835,0.2711,0.3665,0.4788,0.0333,0.0666,0.4275,0.3856,0.2642,0.3776,0.2419,2,3,1,1,0,2,3,3,0,0,0,0,0,2,0,0,0,0
managed_transition,17,0.4484,6.6711,0.2243,0.3806,0.5057,0.0312,0.0687,0.4472,0.3968,0.2738,0.393,0.2515,1,2,1,0,0,3,2,2,1,0,0,0,0,0,1,0,0,0
managed_transition,18,0.4316,6.3897,0.1508,0.3947,0.5431,0.0377,0.0905,0.4721,0.4115,0.2929,0.4173,0.2633,2,3,1,1,0,3,1,2,1,1,0,0,0,1,1,1,0,0
managed_transition,19,0.4175,6.1126,0.1017,0.4089,0.5858,0.0528,0.0925,0.4936,0.4272,0.3035,0.4316,0.2748,2,4,0,1,1,2,2,2,1,1,0,0,2,1,0,1,0,0
managed_transition,20,0.4026,5.8416,0.0568,0.423,0.6251,0.0563,0.1125,0.5144,0.4434,0.3167,0.4513,0.2876,2,4,1,1,0,1,3,1,1,2,0,0,1,0,1,2,0,0
managed_transition,21,0.3887,5.5621,0.0222,0.4371,0.6698,0.0633,0.1122,0.5329,0.4614,0.3325,0.4716,0.3011,2,4,0,2,0,1,4,0,0,3,0,0,1,0,0,3,0,0
managed_transition,22,0.3743,5.278,0.0083,0.4512,0.7149,0.0671,0.1166,0.549,0.4794,0.3485,0.4955,0.3172,1,4,0,0,1,1,3,1,0,2,1,0,0,1,0,2,1,0
managed_transition,23,0.3613,4.9701,0.0077,0.4653,0.7717,0.0792,0.1244,0.5599,0.4956,0.3539,0.5086,0.3281,2,4,0,1,1,1,2,2,0,2,1,0,0,1,0,2,1,0
managed_transition,24,0.3504,4.7173,0.0062,0.4793,0.8128,0.0909,0.1201,0.5709,0.512,0.364,0.5258,0.3415,2,5,0,1,1,0,4,1,0,2,1,0,2,0,0,2,1,0
managed_transition,25,0.3381,4.4642,0.005,0.4934,0.8529,0.0922,0.1408,0.5815,0.5277,0.3699,0.542,0.3537,2,4,1,1,0,0,4,0,1,1,2,0,0,0,1,1,2,0
managed_transition,26,0.325,4.1999,0.0038,0.5074,0.8964,0.0936,0.1519,0.5932,0.5472,0.3872,0.5639,0.3694,2,5,1,1,0,0,3,1,0,2,2,0,0,1,0,2,2,0
managed_transition,27,0.3152,4.0087,0.003,0.5215,0.9202,0.094,0.1604,0.604,0.5634,0.3963,0.5771,0.3814,2,7,1,1,0,1,1,1,2,0,3,0,0,1,2,0,3,0
managed_transition,28,0.3057,3.8029,0.0016,0.5355,0.9509,0.0971,0.1645,0.6127,0.576,0.4055,0.589,0.3917,2,4,1,1,0,0,2,1,2,0,2,1,1,0,0,0,2,1
managed_transition,29,0.2953,3.6039,0.0001,0.5495,0.9685,0.1022,0.1815,0.6213,0.5878,0.4151,0.6004,0.402,2,5,1,1,0,0,2,1,0,2,2,1,0,0,0,2,2,1
managed_transition,30,0.2846,3.3936,0.0001,0.5635,0.9808,0.1222,0.1861,0.6304,0.6008,0.4271,0.6115,0.4132,2,6,0,1,1,0,1,2,0,1,3,1,0,1,0,1,3,1
managed_transition,31,0.2737,3.1841,0.0001,0.5775,0.9921,0.1401,0.2055,0.6389,0.6133,0.4375,0.6219,0.4245,2,5,0,1,1,0,1,2,0,1,1,3,0,0,0,1,1,3
