scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
managed_transition,1,CHN,JPN,maritime_island_chain,0.2291,gray_zone,False,0.0996,0.0682,0.86,0.284,0.5641,0.193,0.0424,0.3765,0.3124,0.1708
managed_transition,1,RUS,EU,continental_energy,0.1878,proxy,True,0.2136,0.0697,0.4,0.4443,0.332,0.2583,0.0111,0.2512,0.0846,0.1994
managed_transition,2,CHN,JPN,maritime_island_chain,0.2323,gray_zone,False,0.1006,0.0699,0.86,0.2839,0.569,0.1961,0.0443,0.3805,0.5217,0.173
managed_transition,2,USA,CHN,technology_maritime,0.0,proxy,True,0.065,0.1006,0.88,0.4843,0.2554,0.0691,0.002,0.1124,0.0468,0.0293
managed_transition,3,CHN,USA,technology_maritime,0.0,proxy,True,0.1017,0.0658,0.9,0.5672,0.2655,0.0761,0.0022,0.1168,0.0099,0.0458
managed_transition,4,CHN,JPN,maritime_island_chain,0.2378,gray_zone,False,0.1028,0.0726,0.86,0.2835,0.5772,0.2013,0.0473,0.3872,0.4725,0.1771
managed_transition,4,RUS,EU,continental_energy,0.199,proxy,True,0.2284,0.0721,0.4,0.4449,0.3462,0.2743,0.0125,0.2638,0.0682,0.2122
managed_transition,5,CHN,JPN,maritime_island_chain,0.2406,limited_war,False,0.1041,0.0747,0.86,0.2833,0.5814,0.204,0.0489,0.3905,0.0301,0.1792
managed_transition,5,RUS,EU,continental_energy,0.2039,gray_zone,True,0.2415,0.0736,0.4,0.4461,0.3524,0.2808,0.0131,0.2692,0.3095,0.2208
managed_transition,6,CHN,JPN,maritime_island_chain,0.2389,proxy,False,0.1061,0.0771,0.86,0.2849,0.5772,0.2008,0.0484,0.3877,0.176,0.1791
managed_transition,6,USA,RUS,nuclear_coercion,0.0185,proxy,True,0.0685,0.2568,0.82,0.4163,0.2624,0.0755,0.0018,0.1258,0.005,0.041
managed_transition,7,CHN,IND,border_himalaya,0.0711,gray_zone,True,0.1077,0.1368,0.65,0.4385,0.2744,0.1182,0.0037,0.1606,0.2346,0.0876
managed_transition,8,CHN,JPN,maritime_island_chain,0.2466,gray_zone,False,0.1209,0.0804,0.86,0.2856,0.5896,0.2084,0.0514,0.3975,0.2431,0.19
managed_transition,8,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0707,0.1209,0.88,0.48,0.2593,0.0701,0.0021,0.1141,0.145,0.0318
managed_transition,9,CHN,JPN,maritime_island_chain,0.2541,proxy,False,0.1276,0.0865,0.86,0.2853,0.6027,0.2171,0.0548,0.4075,0.1175,0.1972
managed_transition,9,USA,RUS,nuclear_coercion,0.0327,proxy,True,0.072,0.3065,0.82,0.4123,0.2808,0.0822,0.0021,0.1418,0.0802,0.0504
managed_transition,11,CHN,JPN,maritime_island_chain,0.2655,gray_zone,False,0.1569,0.098,0.86,0.2862,0.6197,0.2292,0.0595,0.4214,0.4722,0.2166
managed_transition,12,USA,RUS,nuclear_coercion,0.0456,gray_zone,True,0.0761,0.3611,0.82,0.4077,0.2969,0.0881,0.0023,0.1562,0.2012,0.0593
managed_transition,13,CHN,JPN,maritime_island_chain,0.2862,gray_zone,False,0.2038,0.1383,0.86,0.2853,0.6488,0.2519,0.0688,0.4458,0.252,0.2491
managed_transition,13,RUS,EU,continental_energy,0.2549,proxy,True,0.3818,0.0838,0.4,0.443,0.4159,0.3517,0.0191,0.3257,0.1107,0.312
managed_transition,14,USA,RUS,nuclear_coercion,0.0578,gray_zone,True,0.0789,0.4043,0.82,0.4041,0.3138,0.0945,0.0025,0.1705,0.1121,0.0673
managed_transition,15,CHN,JPN,maritime_island_chain,0.3039,proxy,False,0.2451,0.1792,0.86,0.2842,0.6712,0.2713,0.0779,0.4655,0.2383,0.2774
managed_transition,15,RUS,EU,continental_energy,0.2717,proxy,True,0.4287,0.1143,0.4,0.4441,0.4363,0.3762,0.0216,0.3441,0.0517,0.3424
managed_transition,16,CHN,JPN,maritime_island_chain,0.3116,gray_zone,False,0.269,0.2105,0.86,0.2855,0.6794,0.279,0.0825,0.4735,0.4453,0.2924
managed_transition,16,RUS,EU,continental_energy,0.2808,proxy,True,0.4539,0.1389,0.4,0.4459,0.447,0.3895,0.0231,0.3539,0.2186,0.3587
managed_transition,17,CHN,IND,border_himalaya,0.1629,gray_zone,True,0.2952,0.3308,0.65,0.4295,0.3959,0.1899,0.0075,0.2655,0.2642,0.2224
managed_transition,18,CHN,JPN,maritime_island_chain,0.3351,gray_zone,False,0.3241,0.2593,0.86,0.284,0.7075,0.3055,0.0967,0.499,0.688,0.3302
managed_transition,18,RUS,EU,continental_energy,0.2992,proxy,True,0.4949,0.2044,0.4,0.447,0.4686,0.4171,0.026,0.3737,0.0468,0.3873
managed_transition,19,CHN,JPN,maritime_island_chain,0.346,limited_war,False,0.3571,0.2912,0.86,0.2832,0.7184,0.3162,0.1031,0.5099,0.0053,0.351
managed_transition,19,RUS,EU,continental_energy,0.3026,proxy,True,0.5063,0.2424,0.4,0.4489,0.4712,0.4204,0.0266,0.3768,0.1068,0.3943
managed_transition,20,CHN,JPN,maritime_island_chain,0.3608,gray_zone,False,0.3956,0.3385,0.86,0.2857,0.7351,0.3334,0.1132,0.5255,0.4957,0.3765
managed_transition,20,RUS,EU,continental_energy,0.3114,proxy,True,0.5142,0.2845,0.4,0.4508,0.4829,0.437,0.0284,0.3869,0.4172,0.4027
managed_transition,21,CHN,JPN,maritime_island_chain,0.3717,proxy,False,0.4116,0.3723,0.86,0.2848,0.7467,0.3463,0.122,0.5367,0.1441,0.3897
managed_transition,21,RUS,EU,continental_energy,0.3186,proxy,True,0.5208,0.3252,0.4,0.4526,0.4916,0.4489,0.03,0.3947,0.0438,0.4096
managed_transition,22,CHN,JPN,maritime_island_chain,0.3781,limited_war,False,0.4276,0.3864,0.86,0.2863,0.7532,0.3537,0.1276,0.5431,0.0082,0.4004
managed_transition,23,CHN,JPN,maritime_island_chain,0.3809,proxy,False,0.4476,0.4075,0.86,0.289,0.7545,0.3546,0.1291,0.5453,0.3478,0.4109
managed_transition,23,RUS,EU,continental_energy,0.3259,limited_war,True,0.5335,0.3581,0.4,0.4532,0.4994,0.4591,0.0314,0.4022,0.024,0.4193
managed_transition,24,CHN,JPN,maritime_island_chain,0.3894,limited_war,False,0.4589,0.4254,0.86,0.2905,0.7644,0.3658,0.1369,0.5544,0.1142,0.4207
managed_transition,24,RUS,EU,continental_energy,0.3282,proxy,True,0.5441,0.3762,0.4,0.456,0.5015,0.462,0.032,0.4044,0.2091,0.4254
managed_transition,25,CHN,JPN,maritime_island_chain,0.393,gray_zone,False,0.4778,0.4463,0.86,0.2932,0.7667,0.3681,0.1392,0.5574,0.3865,0.4312
managed_transition,25,RUS,EU,continental_energy,0.3318,proxy,True,0.5523,0.3903,0.4,0.4575,0.5055,0.4678,0.0329,0.4083,0.2891,0.431
managed_transition,26,CHN,JPN,maritime_island_chain,0.4058,gray_zone,False,0.4989,0.4623,0.86,0.2916,0.7793,0.3832,0.15,0.5702,0.4924,0.4477
managed_transition,26,RUS,EU,continental_energy,0.3385,proxy,True,0.5678,0.4107,0.4,0.4589,0.5129,0.4784,0.0344,0.4152,0.2862,0.4417
managed_transition,27,CHN,JPN,maritime_island_chain,0.4143,proxy,False,0.5123,0.4777,0.86,0.2899,0.7871,0.3926,0.1572,0.5783,0.2833,0.4584
managed_transition,27,USA,RUS,nuclear_coercion,0.2044,gray_zone,True,0.3981,0.5761,0.82,0.3771,0.5324,0.2044,0.0067,0.3487,0.2319,0.2916
