scenario_key,turn,avg_S,avg_horizon_turns,avg_cash_stability,avg_labor_displacement,avg_conflict_risk,avg_war_burden,avg_domestic_burden,avg_economic_stress,avg_legitimacy_stress,avg_protest_pressure,avg_riot_pressure,avg_civil_conflict_pressure,war_events_count,domestic_events_count,gray_zone_events,proxy_events,limited_war_events,stable_stage_count,grievance_stage_count,protest_stage_count,mass_protest_stage_count,riot_stage_count,insurgency_stage_count,civil_conflict_stage_count,grievance_events,protest_events,mass_protest_events,riot_events,insurgency_events,civil_conflict_events
complement,1,0.5689,8.563,0.7365,0.128,0.226,0.0049,0.0251,0.2208,0.2868,0.1665,0.2354,0.1631,2,1,1,1,0,7,1,0,0,0,0,0,1,0,0,0,0,0
complement,2,0.5625,8.4702,0.7191,0.1542,0.2356,0.0122,0.0269,0.2325,0.2906,0.1762,0.2446,0.169,2,1,1,0,1,6,2,0,0,0,0,0,1,0,0,0,0,0
complement,3,0.5586,8.4211,0.7026,0.1685,0.2409,0.0111,0.038,0.2414,0.294,0.1762,0.2463,0.1714,1,2,1,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0
complement,4,0.5509,8.3123,0.6829,0.1826,0.2525,0.017,0.0345,0.2503,0.2981,0.1834,0.2534,0.1753,2,2,0,2,0,6,2,0,0,0,0,0,1,0,0,0,0,0
complement,5,0.5447,8.2251,0.6622,0.1967,0.2635,0.0203,0.0506,0.2588,0.3013,0.1819,0.2561,0.1775,2,2,1,1,0,4,4,0,0,0,0,0,2,0,0,0,0,0
complement,6,0.5367,8.1093,0.6328,0.2108,0.2793,0.0209,0.0677,0.2701,0.3061,0.1918,0.2633,0.1825,2,3,2,0,0,3,3,2,0,0,0,0,1,2,0,0,0,0
complement,7,0.5284,8.0004,0.605,0.239,0.2924,0.0192,0.0806,0.2864,0.313,0.2093,0.2774,0.1898,2,4,2,0,0,1,6,0,1,0,0,0,3,0,1,0,0,0
complement,8,0.5234,7.9267,0.5762,0.2532,0.3064,0.0175,0.068,0.2989,0.32,0.2126,0.2825,0.194,1,1,0,1,0,2,5,0,1,0,0,0,0,0,0,0,0,0
complement,9,0.5145,7.7969,0.5257,0.2673,0.324,0.018,0.0686,0.3167,0.3288,0.2251,0.2995,0.2003,2,2,1,1,0,2,4,2,0,0,0,0,0,2,0,0,0,0
complement,10,0.5066,7.6834,0.4892,0.2814,0.3426,0.0166,0.0764,0.3303,0.3358,0.2251,0.3044,0.2041,2,2,2,0,0,2,3,2,1,0,0,0,0,1,1,0,0,0
complement,11,0.4958,7.5292,0.4521,0.2956,0.3629,0.0163,0.0809,0.3471,0.3448,0.2404,0.3205,0.2141,2,3,1,1,0,2,3,2,0,1,0,0,1,1,0,1,0,0
complement,12,0.4888,7.4189,0.4142,0.3097,0.3821,0.0133,0.0738,0.3623,0.3542,0.2436,0.3285,0.2194,0,3,0,0,0,3,2,1,1,1,0,0,0,0,1,1,0,0
complement,13,0.4723,7.1529,0.3657,0.3238,0.4209,0.0225,0.1033,0.3772,0.3648,0.2543,0.3448,0.2268,2,4,1,1,0,3,1,1,1,1,1,0,0,1,1,1,1,0
complement,14,0.4606,6.9588,0.3142,0.338,0.452,0.0264,0.1037,0.3975,0.379,0.2671,0.359,0.2379,2,3,1,1,0,3,0,2,1,1,1,0,0,1,0,1,1,0
complement,15,0.4462,6.7158,0.2591,0.3521,0.4893,0.0358,0.1113,0.4158,0.3922,0.2783,0.3751,0.2468,2,4,1,1,0,2,1,1,2,1,1,0,1,0,1,1,1,0
complement,16,0.4332,6.4732,0.2086,0.3662,0.5301,0.0483,0.0946,0.4374,0.4082,0.2918,0.3944,0.2584,2,2,0,1,1,2,1,1,2,2,0,0,0,0,0,2,0,0
complement,17,0.4136,6.1514,0.1646,0.3803,0.5799,0.0547,0.1375,0.4552,0.4253,0.3048,0.4201,0.2708,2,5,1,1,0,1,2,1,0,3,1,0,1,0,0,3,1,0
complement,18,0.4018,5.9547,0.1355,0.3944,0.6142,0.0518,0.1379,0.4742,0.4447,0.3172,0.4356,0.2847,1,4,1,0,0,1,2,1,0,2,1,1,0,0,0,2,1,1
complement,19,0.3888,5.7136,0.1039,0.4085,0.6574,0.0566,0.1399,0.4876,0.461,0.3277,0.4524,0.2945,1,5,0,1,0,1,1,2,0,2,1,1,0,1,0,2,1,1
complement,20,0.3767,5.4691,0.0756,0.4225,0.7023,0.0618,0.1361,0.5043,0.4777,0.34,0.4717,0.3064,2,4,1,1,0,1,1,2,0,2,1,1,0,0,0,2,1,1
