scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
complement,1,RUS,EU,continental_energy,0.1655,proxy,True,0.2134,0.0696,0.4,0.4464,0.3058,0.2336,0.0095,0.2272,0.0156,0.1871
complement,1,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0643,0.0995,0.88,0.487,0.2556,0.0692,0.002,0.1125,0.2133,0.0289
complement,2,CHN,JPN,maritime_island_chain,0.2092,limited_war,False,0.1002,0.0684,0.86,0.2865,0.5353,0.1749,0.0375,0.3527,0.0165,0.1602
complement,2,RUS,EU,continental_energy,0.1674,gray_zone,True,0.2217,0.0706,0.4,0.4474,0.3067,0.2346,0.0098,0.2287,0.2499,0.1918
complement,3,CHN,IND,border_himalaya,0.0339,gray_zone,True,0.1017,0.1207,0.65,0.4436,0.2314,0.0956,0.0027,0.1208,0.1943,0.0644
complement,4,CHN,JPN,maritime_island_chain,0.2125,proxy,False,0.1056,0.0708,0.86,0.2883,0.5404,0.1777,0.0395,0.3568,0.0693,0.1644
complement,4,RUS,EU,continental_energy,0.1774,proxy,True,0.2276,0.0727,0.4,0.447,0.3206,0.2495,0.0108,0.2404,0.1321,0.2
complement,5,CHN,JPN,maritime_island_chain,0.2134,gray_zone,False,0.1069,0.0722,0.86,0.2897,0.542,0.1785,0.0404,0.358,0.2896,0.1655
complement,5,RUS,EU,continental_energy,0.1814,proxy,True,0.2397,0.0739,0.4,0.4484,0.3255,0.2545,0.0113,0.2448,0.0152,0.2076
complement,6,CHN,JPN,maritime_island_chain,0.2158,gray_zone,False,0.1082,0.0741,0.86,0.2898,0.5459,0.1808,0.0416,0.3611,0.2386,0.1674
complement,6,RUS,EU,continental_energy,0.1866,gray_zone,True,0.2552,0.0753,0.4,0.4495,0.3317,0.2607,0.0119,0.2504,0.3291,0.2175
complement,7,CHN,JPN,maritime_island_chain,0.2161,gray_zone,False,0.1089,0.0749,0.86,0.29,0.5449,0.1799,0.0417,0.3607,0.1971,0.1679
complement,7,USA,CHN,technology_maritime,0.0,gray_zone,True,0.068,0.1089,0.88,0.4829,0.2571,0.0696,0.0021,0.1131,0.1972,0.0306
complement,8,CHN,USA,technology_maritime,0.0,proxy,True,0.1129,0.0691,0.9,0.5675,0.2664,0.0792,0.0023,0.1172,0.0367,0.0508
complement,9,CHN,JPN,maritime_island_chain,0.2244,proxy,False,0.1172,0.0781,0.86,0.2902,0.5602,0.1888,0.0449,0.3721,0.1081,0.1762
complement,9,USA,RUS,nuclear_coercion,0.0088,gray_zone,True,0.0724,0.3048,0.82,0.4144,0.2509,0.0714,0.0017,0.1154,0.0729,0.0374
complement,10,CHN,JPN,maritime_island_chain,0.2263,gray_zone,False,0.1227,0.0801,0.86,0.2914,0.5635,0.1907,0.0458,0.3747,0.4397,0.1797
complement,10,USA,RUS,nuclear_coercion,0.0143,gray_zone,True,0.0737,0.3348,0.82,0.4129,0.2574,0.0737,0.0018,0.1213,0.0846,0.041
complement,11,CHN,USA,technology_maritime,0.0,proxy,True,0.1316,0.075,0.9,0.5666,0.2683,0.0815,0.0023,0.1181,0.0532,0.0592
complement,11,USA,CHN,technology_maritime,0.0,gray_zone,True,0.075,0.1316,0.88,0.4793,0.2588,0.07,0.0021,0.1139,0.23,0.0338
complement,13,RUS,EU,continental_energy,0.2539,proxy,True,0.4464,0.1518,0.4,0.446,0.4144,0.3525,0.0185,0.3245,0.2124,0.3405
complement,13,USA,CHN,technology_maritime,0.0,gray_zone,True,0.078,0.1619,0.88,0.4771,0.2597,0.0709,0.0021,0.1143,0.0787,0.0351
complement,14,CHN,JPN,maritime_island_chain,0.2505,proxy,False,0.1947,0.1232,0.86,0.2916,0.5979,0.2131,0.0537,0.4034,0.1112,0.2254
complement,14,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0796,0.1947,0.88,0.4758,0.2602,0.0716,0.0021,0.1145,0.1371,0.0358
complement,15,CHN,JPN,maritime_island_chain,0.2634,gray_zone,False,0.2256,0.149,0.86,0.2932,0.6179,0.2269,0.059,0.4194,0.4517,0.2464
complement,15,RUS,EU,continental_energy,0.2824,proxy,True,0.506,0.2243,0.4,0.4468,0.4507,0.3976,0.0225,0.3565,0.1195,0.383
complement,16,CHN,JPN,maritime_island_chain,0.276,limited_war,False,0.2569,0.1742,0.86,0.2932,0.6353,0.2402,0.0647,0.4341,0.011,0.2674
complement,16,RUS,EU,continental_energy,0.2912,proxy,True,0.5183,0.2724,0.4,0.4486,0.461,0.4107,0.0241,0.3659,0.1385,0.3934
complement,17,CHN,JPN,maritime_island_chain,0.2884,gray_zone,False,0.2972,0.2119,0.86,0.2958,0.6512,0.2528,0.0703,0.448,0.2961,0.2924
complement,17,RUS,EU,continental_energy,0.3024,proxy,True,0.5306,0.331,0.4,0.4486,0.4738,0.4274,0.0261,0.3778,0.0792,0.4051
complement,18,CHN,JPN,maritime_island_chain,0.302,gray_zone,False,0.333,0.2408,0.86,0.2958,0.6688,0.2676,0.0773,0.4634,0.4966,0.316
complement,19,RUS,EU,continental_energy,0.3187,proxy,True,0.5584,0.3622,0.4,0.4461,0.4928,0.4541,0.0286,0.3953,0.3199,0.4266
complement,20,RUS,EU,continental_energy,0.3261,proxy,True,0.5712,0.3817,0.4,0.446,0.5008,0.4653,0.0301,0.403,0.1998,0.4364
complement,20,USA,RUS,nuclear_coercion,0.1103,gray_zone,True,0.1708,0.5712,0.82,0.3784,0.3868,0.1247,0.0035,0.2319,0.3571,0.1375
