scenario_key,turn,avg_S,avg_horizon_turns,avg_cash_stability,avg_labor_displacement,avg_conflict_risk,avg_war_burden,avg_domestic_burden,avg_economic_stress,avg_legitimacy_stress,avg_protest_pressure,avg_riot_pressure,avg_civil_conflict_pressure,war_events_count,domestic_events_count,gray_zone_events,proxy_events,limited_war_events,stable_stage_count,grievance_stage_count,protest_stage_count,mass_protest_stage_count,riot_stage_count,insurgency_stage_count,civil_conflict_stage_count,grievance_events,protest_events,mass_protest_events,riot_events,insurgency_events,civil_conflict_events
fracture,1,0.5659,8.5134,0.7333,0.128,0.2305,0.0087,0.0352,0.2236,0.2879,0.1685,0.2378,0.164,2,2,0,2,0,6,2,0,0,0,0,0,2,0,0,0,0,0
fracture,2,0.5586,8.4266,0.7156,0.1542,0.2367,0.0088,0.0529,0.2383,0.2936,0.1818,0.2495,0.1723,1,3,1,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0
fracture,3,0.5517,8.3178,0.691,0.1685,0.2504,0.0143,0.0566,0.249,0.2982,0.1866,0.2527,0.1758,2,1,1,1,0,3,4,1,0,0,0,0,0,1,0,0,0,0
fracture,4,0.5445,8.2196,0.667,0.1826,0.261,0.0138,0.048,0.2612,0.3043,0.1961,0.2627,0.1812,2,1,2,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0
fracture,5,0.5384,8.124,0.6406,0.1967,0.2754,0.0161,0.048,0.2715,0.3085,0.1964,0.2671,0.183,2,1,2,0,0,3,4,1,0,0,0,0,1,0,0,0,0,0
fracture,6,0.53,7.9877,0.6087,0.2108,0.2947,0.021,0.0543,0.2845,0.3143,0.203,0.2759,0.1875,2,2,1,1,0,3,2,3,0,0,0,0,0,2,0,0,0,0
fracture,7,0.5207,7.8386,0.5784,0.239,0.3145,0.0274,0.0587,0.3024,0.3218,0.2169,0.2913,0.195,2,3,0,2,0,2,5,1,0,0,0,0,3,0,0,0,0,0
fracture,8,0.5135,7.714,0.5478,0.2531,0.3348,0.0329,0.0518,0.3169,0.3288,0.218,0.2976,0.2,2,1,0,2,0,2,6,0,0,0,0,0,1,0,0,0,0,0
fracture,9,0.5036,7.5776,0.4969,0.2673,0.3522,0.0301,0.0599,0.3373,0.3382,0.2318,0.3162,0.2084,2,2,1,1,0,3,4,1,0,0,0,0,0,1,0,0,0,0
fracture,10,0.4967,7.4717,0.4627,0.2814,0.3695,0.0266,0.064,0.3525,0.3459,0.2339,0.3222,0.2131,1,2,1,0,0,3,4,1,0,0,0,0,1,0,0,0,0,0
fracture,11,0.487,7.3239,0.427,0.2955,0.3905,0.027,0.0616,0.3697,0.3538,0.246,0.338,0.2226,2,1,1,1,0,2,5,1,0,0,0,0,1,0,0,0,0,0
fracture,12,0.4762,7.1448,0.3843,0.3097,0.4184,0.0323,0.0745,0.3856,0.362,0.2491,0.3458,0.2277,2,4,1,1,0,2,3,3,0,0,0,0,1,2,0,0,0,0
fracture,13,0.463,6.9414,0.338,0.3238,0.4521,0.0291,0.0941,0.4045,0.3741,0.2651,0.365,0.239,1,3,1,0,0,1,3,3,1,0,0,0,1,1,1,0,0,0
fracture,14,0.4541,6.7902,0.2901,0.3379,0.4793,0.0274,0.0854,0.4242,0.3865,0.2767,0.3781,0.2478,2,1,2,0,0,0,4,3,1,0,0,0,1,0,0,0,0,0
fracture,15,0.441,6.5524,0.2362,0.352,0.5179,0.0387,0.0899,0.4421,0.3976,0.2852,0.3929,0.2551,2,2,0,2,0,1,3,3,0,1,0,0,0,0,0,1,0,0
fracture,16,0.4229,6.2459,0.1746,0.3661,0.5615,0.0516,0.124,0.4644,0.4119,0.2962,0.4117,0.2666,2,4,0,2,0,1,1,4,1,0,1,0,0,2,1,0,1,0
fracture,17,0.4078,5.9633,0.1195,0.3802,0.6093,0.0542,0.1188,0.4901,0.433,0.3243,0.4424,0.2853,2,2,1,1,0,0,2,4,1,0,1,0,1,0,0,0,1,0
fracture,18,0.3936,5.7001,0.0797,0.3943,0.6499,0.0575,0.1301,0.5088,0.4497,0.3298,0.4565,0.2946,2,4,1,1,0,0,2,4,0,1,1,0,1,1,0,1,1,0
fracture,19,0.3813,5.4572,0.0536,0.4084,0.6888,0.0642,0.1212,0.5252,0.4677,0.3407,0.476,0.3072,2,3,1,1,0,0,2,3,1,1,1,0,0,0,1,1,1,0
fracture,20,0.3706,5.2541,0.0258,0.4224,0.7154,0.0633,0.1214,0.5412,0.4853,0.3506,0.4952,0.3185,2,5,1,1,0,0,2,3,0,2,1,0,1,1,0,2,1,0
