scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
fracture,1,CHN,JPN,maritime_island_chain,0.2579,proxy,False,0.0997,0.0684,0.86,0.2824,0.6043,0.2208,0.0514,0.4103,0.1067,0.1867
fracture,1,RUS,EU,continental_energy,0.2166,proxy,True,0.2139,0.0698,0.4,0.4427,0.366,0.2927,0.0134,0.2823,0.0707,0.2154
fracture,2,CHN,JPN,maritime_island_chain,0.2578,gray_zone,False,0.1011,0.07,0.86,0.2835,0.6027,0.2192,0.052,0.4096,0.4821,0.1873
fracture,3,CHN,JPN,maritime_island_chain,0.2637,gray_zone,False,0.1023,0.0722,0.86,0.2833,0.6129,0.2262,0.0552,0.4173,0.4434,0.1911
fracture,3,RUS,EU,continental_energy,0.225,proxy,True,0.226,0.072,0.4,0.4436,0.3767,0.305,0.0146,0.2917,0.1599,0.2255
fracture,4,CHN,JPN,maritime_island_chain,0.2682,gray_zone,False,0.1067,0.0744,0.86,0.2831,0.6195,0.2311,0.0579,0.4228,0.5394,0.1955
fracture,4,USA,RUS,nuclear_coercion,0.0398,gray_zone,True,0.067,0.2311,0.82,0.4171,0.2876,0.0851,0.0021,0.1488,0.0925,0.052
fracture,5,RUS,EU,continental_energy,0.2351,gray_zone,True,0.2468,0.0744,0.4,0.4444,0.3896,0.3195,0.0161,0.3031,0.3678,0.2404
fracture,5,CHN,IND,border_himalaya,0.0958,gray_zone,True,0.108,0.1269,0.65,0.4379,0.3044,0.1331,0.0044,0.1876,0.2695,0.1013
fracture,6,RUS,EU,continental_energy,0.2425,proxy,True,0.263,0.0767,0.4,0.444,0.3986,0.3296,0.0172,0.3111,0.1035,0.2517
fracture,6,CHN,IND,border_himalaya,0.0993,gray_zone,True,0.1094,0.1316,0.65,0.4373,0.309,0.1357,0.0045,0.1915,0.2625,0.1038
fracture,7,CHN,JPN,maritime_island_chain,0.2771,proxy,False,0.1104,0.0783,0.86,0.2822,0.6327,0.2408,0.0633,0.4336,0.1016,0.2021
fracture,7,RUS,EU,continental_energy,0.2489,proxy,True,0.2819,0.0787,0.4,0.4452,0.4064,0.3387,0.0182,0.3182,0.2563,0.2638
fracture,8,CHN,JPN,maritime_island_chain,0.2801,proxy,False,0.1166,0.0854,0.86,0.2832,0.6369,0.244,0.0651,0.4371,0.1615,0.2065
fracture,8,RUS,EU,continental_energy,0.2544,proxy,True,0.3009,0.0809,0.4,0.4465,0.4132,0.3467,0.0191,0.3243,0.3169,0.2753
fracture,9,CHN,JPN,maritime_island_chain,0.2821,gray_zone,False,0.1281,0.0931,0.86,0.2842,0.6381,0.2446,0.0659,0.4388,0.5649,0.2128
fracture,9,USA,CHN,technology_maritime,0.0,proxy,True,0.0745,0.1281,0.88,0.4769,0.2614,0.072,0.0021,0.115,0.06,0.0335
fracture,10,CHN,JPN,maritime_island_chain,0.2909,gray_zone,False,0.1355,0.1114,0.86,0.2838,0.652,0.2552,0.0705,0.4498,0.3503,0.221
fracture,11,CHN,JPN,maritime_island_chain,0.3026,proxy,False,0.1603,0.1378,0.86,0.2833,0.6674,0.2683,0.0766,0.4631,0.2076,0.2386
fracture,11,USA,RUS,nuclear_coercion,0.0748,gray_zone,True,0.0775,0.3589,0.82,0.4068,0.3351,0.1036,0.0028,0.1893,0.2503,0.076
fracture,12,CHN,JPN,maritime_island_chain,0.3141,gray_zone,False,0.1905,0.1765,0.86,0.2844,0.6816,0.2808,0.0828,0.4758,0.5839,0.2585
fracture,12,RUS,EU,continental_energy,0.2874,proxy,True,0.3926,0.1542,0.4,0.4458,0.4518,0.3936,0.0235,0.3597,0.246,0.3347
fracture,13,CHN,JPN,maritime_island_chain,0.3298,gray_zone,False,0.2371,0.2149,0.86,0.2837,0.699,0.2968,0.091,0.4923,0.443,0.2881
fracture,14,CHN,JPN,maritime_island_chain,0.3486,gray_zone,False,0.2753,0.2517,0.86,0.283,0.7221,0.3195,0.1031,0.5129,0.3834,0.3156
