scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
fracture,20-year fracture path,1,USA,United States,0.18,0.82,0.88,0.97,0.4406,0.5732,0.8265,0.9363,0.1364,0.3482,0.12,0.1979,0.22,0.7782,0.0,0.0164,0.3048,0.3292,0.1775,0.6784,0.7307,0.1947,0.2523,0.5623,0.2581,0.3021,0.02,stable,0,0.138,0.1563,0.2128,0.1471,0.2042,0.0646,0.1366,0.2736,0.08,0.0019,gray_zone,0.0064,0.0066,0.0016,0.0164,0.1219,0.0,0.7871,0.1661,0.6667,0.1051,0.0,9.79,0.1249,0.6806,0.1838,0.0035,0.0046,0.536,0.1139,0.215
fracture,20-year fracture path,1,CHN,China,0.18,0.68,0.7,0.86,0.4005,0.6148,0.7924,0.89,0.1455,0.389,0.3652,0.2965,0.3,0.4772,0.0093,0.0399,0.304,0.368,0.1875,0.7248,0.7198,0.2193,0.2976,0.4797,0.3256,0.3347,0.02,stable,0,0.1607,0.1551,0.2302,0.1734,0.2434,0.0997,0.4103,0.6043,0.2208,0.0514,proxy,0.0061,0.0059,0.0014,0.0155,0.1321,0.0,0.706,0.2245,0.564,0.1184,0.0,8.14,0.2262,0.7315,0.0829,0.0031,0.0043,0.5461,0.1283,0.2064
fracture,20-year fracture path,1,EU,European Union,0.16,0.5471,0.8,0.84,0.5906,0.6609,0.765,0.8153,0.1151,0.2867,0.18,0.1601,0.2,0.7848,0.0258,0.0193,0.3084,0.3687,0.1605,0.6008,0.6969,0.1964,0.2197,0.5456,0.257,0.2447,0.085,grievance,1,0.1305,0.1555,0.2009,0.1228,0.1947,0.0,0.0,0.0,0.0,0.0,none,0.007,0.0072,0.001,0.0151,0.0998,0.0,0.7492,0.1786,0.6267,0.1804,0.0,9.68,0.1863,0.5853,0.205,0.0036,0.0042,0.4112,0.1094,0.2147
fracture,20-year fracture path,1,JPN,Japan,0.07,0.3088,0.42,0.88,0.5506,0.7007,0.7469,0.7549,0.1248,0.2674,0.14,0.1169,0.18,0.7644,0.0224,0.0183,0.3076,0.4271,0.1597,0.5752,0.6883,0.2054,0.2007,0.5548,0.2455,0.2119,0.02,stable,0,0.1279,0.1585,0.1933,0.1105,0.1897,0.0,0.0,0.0,0.0,0.0,none,0.0069,0.0072,0.0008,0.0148,0.11,0.0,0.6827,0.1685,0.5768,0.2539,0.0,9.19,0.2111,0.5547,0.2119,0.0036,0.0041,0.3703,0.1079,0.2163
fracture,20-year fracture path,1,IND,India,0.19,0.49,0.69,0.63,0.3405,0.603,0.6163,0.4722,0.1327,0.4284,0.1,0.244,0.34,0.5777,0.0,0.0154,0.2816,0.3933,0.1917,0.53,0.5488,0.2664,0.34,0.4568,0.3882,0.3106,0.02,stable,0,0.205,0.1959,0.2775,0.1962,0.279,0.0,0.0,0.0,0.0,0.0,none,0.0047,0.005,0.0,0.0127,0.123,0.0,0.5934,0.2266,0.4731,0.2312,0.0,7.37,0.3093,0.5342,0.2332,0.0023,0.0036,0.4239,0.1611,0.1396
fracture,20-year fracture path,1,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.3805,0.5652,0.7674,0.7352,0.0994,0.3359,0.18,0.2946,0.43,0.6172,0.0,0.0177,0.2988,0.4044,0.1653,0.6112,0.6846,0.2197,0.294,0.368,0.3053,0.3287,0.02,stable,0,0.1689,0.1463,0.2256,0.1627,0.236,0.0,0.0,0.0,0.0,0.0,none,0.0055,0.0056,0.0007,0.0094,0.0876,0.0,0.6441,0.2259,0.5139,0.3306,0.0,7.78,0.3028,0.6087,0.088,0.0028,0.0026,0.437,0.1339,0.1834
fracture,20-year fracture path,1,RUS,Russia,0.04,0.88,0.74,0.52,0.2404,0.478,0.5586,0.5846,0.0902,0.4656,0.786,0.4662,0.26,0.2755,0.0108,0.0524,0.2844,0.4125,0.1872,0.6276,0.4869,0.2743,0.4878,0.3072,0.5646,0.4846,0.02,stable,0,0.2593,0.1955,0.353,0.2704,0.3597,0.2139,0.2823,0.366,0.2927,0.0134,proxy,0.004,0.0038,0.0001,0.0102,0.0823,0.0,0.5819,0.3353,0.4161,0.2935,0.0,5.81,0.4113,0.6482,0.1435,0.0019,0.0029,0.5436,0.2101,0.1158
fracture,20-year fracture path,1,BRA,Brazil,0.05,0.79,0.91,0.54,0.3104,0.5443,0.6286,0.4424,0.1104,0.4169,0.08,0.216,0.38,0.438,0.0,0.0098,0.2756,0.3552,0.1836,0.4044,0.5081,0.2554,0.3598,0.4153,0.4045,0.3268,0.085,grievance,1,0.2179,0.2033,0.2996,0.1915,0.2868,0.0,0.0,0.0,0.0,0.0,none,0.0043,0.0044,0.0,0.0104,0.1016,0.0,0.6253,0.2173,0.5031,0.1433,0.0,7.53,0.2827,0.397,0.3451,0.0021,0.0029,0.3066,0.1718,0.1141
fracture,20-year fracture path,2,USA,United States,0.18,0.82,0.88,0.97,0.4411,0.5646,0.8107,0.9523,0.1648,0.3585,0.12,0.1974,0.22,0.7763,0.0,0.0304,0.3049,0.3395,0.1855,0.6776,0.7362,0.2074,0.2557,0.5623,0.2581,0.3089,0.02,stable,0,0.149,0.1652,0.2219,0.1509,0.2098,0.0653,0.1413,0.279,0.082,0.002,gray_zone,0.0064,0.0066,0.0016,0.0284,0.1502,0.0,0.787,0.174,0.6613,0.1052,0.0,9.74,0.13,0.6802,0.191,0.0035,0.038,0.5366,0.1207,0.2101
fracture,20-year fracture path,2,CHN,China,0.18,0.68,0.7,0.86,0.4009,0.6076,0.7708,0.9013,0.1729,0.4,0.3686,0.3094,0.3,0.4744,0.0114,0.0747,0.3043,0.3803,0.1954,0.724,0.7182,0.2338,0.3031,0.48,0.3297,0.3454,0.085,grievance,1,0.1737,0.1653,0.2421,0.181,0.2505,0.1011,0.4096,0.6027,0.2192,0.052,proxy,0.0061,0.0059,0.0014,0.0275,0.1595,0.0061,0.7021,0.2425,0.5509,0.1193,0.0,7.97,0.2587,0.7312,0.0942,0.0031,0.0388,0.5513,0.1373,0.2002
