scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
managed_transition,1,CHN,JPN,maritime_island_chain,0.2265,proxy,False,0.0996,0.0682,0.86,0.284,0.5586,0.1893,0.0413,0.3726,0.0945,0.1694
managed_transition,2,USA,RUS,nuclear_coercion,0.0041,proxy,True,0.0651,0.2195,0.82,0.4211,0.2447,0.0695,0.0016,0.11,0.0385,0.0316
managed_transition,4,CHN,JPN,maritime_island_chain,0.2387,proxy,False,0.1055,0.0713,0.86,0.2847,0.5805,0.2023,0.0466,0.3891,0.0865,0.1788
managed_transition,5,CHN,IND,border_himalaya,0.0668,proxy,True,0.1085,0.1254,0.65,0.4399,0.2706,0.1176,0.0035,0.1565,0.0489,0.0856
managed_transition,6,CHN,JPN,maritime_island_chain,0.2452,proxy,False,0.1117,0.0739,0.86,0.2858,0.5912,0.2093,0.0502,0.3974,0.1973,0.1851
managed_transition,6,RUS,EU,continental_energy,0.2099,gray_zone,True,0.2537,0.073,0.4,0.443,0.3593,0.2871,0.0137,0.2757,0.3472,0.2296
managed_transition,7,CHN,JPN,maritime_island_chain,0.2448,gray_zone,False,0.1209,0.0747,0.86,0.2869,0.5878,0.2071,0.0502,0.3957,0.3147,0.189
managed_transition,8,CHN,USA,technology_maritime,0.0,gray_zone,True,0.1246,0.0702,0.9,0.5651,0.27,0.0834,0.0023,0.1188,0.147,0.0561
managed_transition,9,CHN,JPN,maritime_island_chain,0.2542,gray_zone,False,0.1288,0.0786,0.86,0.2864,0.6035,0.2179,0.0548,0.4079,0.4766,0.1978
managed_transition,9,USA,RUS,nuclear_coercion,0.0324,gray_zone,True,0.0738,0.3031,0.82,0.4122,0.2798,0.0819,0.0021,0.1413,0.1602,0.051
managed_transition,10,CHN,JPN,maritime_island_chain,0.2608,gray_zone,False,0.1432,0.0861,0.86,0.2861,0.6131,0.2248,0.0578,0.4158,0.4731,0.2079
managed_transition,10,RUS,EU,continental_energy,0.2363,proxy,True,0.3219,0.0799,0.4,0.4419,0.3924,0.3235,0.0168,0.305,0.2969,0.2748
managed_transition,11,CHN,JPN,maritime_island_chain,0.2699,limited_war,False,0.1659,0.094,0.86,0.2858,0.6258,0.2342,0.0619,0.4265,0.0593,0.2231
managed_transition,12,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0781,0.2021,0.88,0.4745,0.2613,0.0732,0.0021,0.115,0.0805,0.0351
managed_transition,13,CHN,JPN,maritime_island_chain,0.2932,gray_zone,False,0.2395,0.1393,0.86,0.2871,0.6569,0.2583,0.0716,0.4533,0.2755,0.269
managed_transition,14,CHN,JPN,maritime_island_chain,0.3058,gray_zone,False,0.2803,0.1656,0.86,0.2866,0.6716,0.2707,0.0776,0.4668,0.6494,0.2943
managed_transition,15,CHN,JPN,maritime_island_chain,0.3237,gray_zone,False,0.3182,0.1932,0.86,0.2861,0.6953,0.2919,0.0879,0.4872,0.3905,0.3212
managed_transition,16,CHN,JPN,maritime_island_chain,0.3397,proxy,False,0.3581,0.2231,0.86,0.2855,0.7139,0.3101,0.0978,0.5044,0.1904,0.348
managed_transition,17,CHN,JPN,maritime_island_chain,0.3545,proxy,False,0.4007,0.2593,0.86,0.2872,0.7302,0.3269,0.1078,0.5198,0.2803,0.3753
managed_transition,17,USA,RUS,nuclear_coercion,0.0905,gray_zone,True,0.1379,0.4906,0.82,0.3971,0.3585,0.113,0.0031,0.2084,0.2257,0.1118
managed_transition,18,RUS,EU,continental_energy,0.3021,proxy,True,0.4982,0.1562,0.4,0.44,0.473,0.4231,0.026,0.3773,0.2572,0.3903
managed_transition,18,CHN,IND,border_himalaya,0.2022,proxy,True,0.4265,0.3493,0.65,0.4299,0.4505,0.2326,0.0097,0.3115,0.014,0.3031
managed_transition,19,RUS,EU,continental_energy,0.3071,proxy,True,0.5057,0.1913,0.4,0.4423,0.4784,0.4302,0.0271,0.3824,0.4135,0.3965
managed_transition,19,CHN,USA,technology_maritime,0.0823,gray_zone,True,0.4424,0.2062,0.9,0.5569,0.3894,0.1355,0.0043,0.2174,0.2127,0.2443
managed_transition,20,CHN,JPN,maritime_island_chain,0.3831,gray_zone,False,0.455,0.3437,0.86,0.2878,0.7603,0.3599,0.1291,0.5491,0.4236,0.4155
managed_transition,20,RUS,EU,continental_energy,0.3125,proxy,True,0.5133,0.2298,0.4,0.4443,0.4844,0.4384,0.0284,0.3882,0.4261,0.4029
