scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
managed_transition,20-year managed transition,1,USA,United States,0.18,0.82,0.88,0.97,0.4412,0.5746,0.8277,0.9361,0.1364,0.3469,0.12,0.1971,0.22,0.7783,0.0,0.0157,0.3048,0.3285,0.1739,0.6784,0.7307,0.1933,0.2518,0.5618,0.2578,0.301,0.02,stable,0,0.1366,0.1553,0.2117,0.1466,0.2035,0.0645,0.113,0.2567,0.0696,0.002,gray_zone,0.0141,0.0131,0.0026,0.0164,0.1066,0.0,0.7873,0.1656,0.6672,0.105,0.0,9.8,0.1243,0.6806,0.1823,0.007,0.0046,0.5357,0.113,0.2174
managed_transition,20-year managed transition,1,CHN,China,0.18,0.68,0.7,0.86,0.4011,0.6159,0.7934,0.8904,0.1455,0.3877,0.3647,0.2952,0.3,0.4774,0.0085,0.0379,0.304,0.3674,0.1841,0.7248,0.7199,0.2181,0.2972,0.4793,0.3254,0.3337,0.085,grievance,1,0.1595,0.1542,0.2291,0.173,0.2427,0.0996,0.3726,0.5586,0.1893,0.0413,proxy,0.0135,0.0118,0.0023,0.0155,0.1179,0.0,0.703,0.231,0.558,0.1183,0.0,8.08,0.2484,0.7315,0.0815,0.0064,0.0043,0.5459,0.1275,0.2086
managed_transition,20-year managed transition,1,EU,European Union,0.16,0.56,0.8,0.84,0.5912,0.666,0.7793,0.8151,0.1151,0.2852,0.18,0.1366,0.2,0.7789,0.0,0.0079,0.3084,0.368,0.1565,0.6008,0.6969,0.1949,0.2192,0.5451,0.2566,0.2436,0.02,stable,0,0.1291,0.1545,0.1997,0.1224,0.1939,0.0,0.0,0.0,0.0,0.0,none,0.0155,0.0144,0.0017,0.0151,0.0834,0.0,0.7571,0.1635,0.6429,0.1719,0.0,9.93,0.1437,0.5853,0.2034,0.0075,0.0042,0.4109,0.1086,0.2173
managed_transition,20-year managed transition,1,JPN,Japan,0.07,0.3098,0.42,0.88,0.5512,0.7025,0.7492,0.7547,0.1248,0.2659,0.14,0.1142,0.18,0.764,0.0203,0.0168,0.3076,0.4264,0.1558,0.5752,0.6883,0.204,0.2002,0.5543,0.2452,0.2108,0.02,stable,0,0.1266,0.1576,0.1921,0.1101,0.1889,0.0,0.0,0.0,0.0,0.0,none,0.0152,0.0143,0.0013,0.0148,0.094,0.0,0.6833,0.1673,0.578,0.2527,0.0,9.22,0.2089,0.5547,0.2104,0.0073,0.0041,0.37,0.1071,0.2188
managed_transition,20-year managed transition,1,IND,India,0.19,0.49,0.69,0.63,0.341,0.6041,0.6171,0.472,0.1327,0.4274,0.1,0.2434,0.34,0.5778,0.0,0.0148,0.2816,0.3928,0.1892,0.53,0.5488,0.2656,0.3396,0.4565,0.3879,0.3098,0.02,stable,0,0.2041,0.1953,0.2767,0.1959,0.2785,0.0,0.0,0.0,0.0,0.0,none,0.0103,0.0099,0.0,0.0127,0.1125,0.0,0.5936,0.2262,0.4734,0.231,0.0,7.38,0.3088,0.5342,0.2321,0.0048,0.0036,0.4237,0.1604,0.1408
managed_transition,20-year managed transition,1,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.3811,0.5664,0.7684,0.735,0.0994,0.3347,0.18,0.2939,0.43,0.6173,0.0,0.017,0.2988,0.4039,0.1623,0.6112,0.6847,0.2186,0.2936,0.3676,0.3051,0.3278,0.085,grievance,1,0.1678,0.1456,0.2246,0.1624,0.2353,0.0,0.0,0.0,0.0,0.0,none,0.0121,0.0113,0.0012,0.0094,0.0749,0.0,0.6411,0.2327,0.508,0.3305,0.0,7.72,0.3251,0.6087,0.0868,0.0058,0.0026,0.4368,0.1332,0.1852
managed_transition,20-year managed transition,1,RUS,Russia,0.04,0.88,0.74,0.52,0.2409,0.4763,0.558,0.5909,0.0902,0.4648,0.78,0.4592,0.26,0.2757,0.0,0.0345,0.2844,0.4121,0.1851,0.6276,0.4869,0.2736,0.4875,0.3069,0.5644,0.4839,0.085,grievance,1,0.2585,0.195,0.3524,0.2702,0.3592,0.217,0.2486,0.3283,0.2545,0.0108,proxy,0.0088,0.0076,0.0002,0.0102,0.0736,0.0,0.5794,0.3398,0.4125,0.2934,0.0,5.8,0.4283,0.6482,0.1426,0.0039,0.0029,0.5435,0.2093,0.1166
managed_transition,20-year managed transition,1,BRA,Brazil,0.05,0.79,0.91,0.54,0.3109,0.5453,0.6293,0.4423,0.1104,0.416,0.08,0.2155,0.38,0.4381,0.0,0.0091,0.2756,0.3548,0.1813,0.4044,0.5082,0.2546,0.3595,0.4151,0.4043,0.3261,0.02,stable,0,0.217,0.2028,0.2989,0.1912,0.2863,0.0,0.0,0.0,0.0,0.0,none,0.0095,0.0089,0.0,0.0104,0.092,0.0,0.6287,0.2098,0.5097,0.1433,0.0,7.6,0.2594,0.397,0.3442,0.0044,0.0029,0.3064,0.1711,0.1151
managed_transition,20-year managed transition,2,USA,United States,0.18,0.82,0.88,0.97,0.4423,0.5679,0.8134,0.951,0.1648,0.3557,0.1209,0.1967,0.22,0.7766,0.0016,0.0317,0.3049,0.3381,0.1781,0.6776,0.7363,0.205,0.2547,0.5615,0.2574,0.3068,0.02,stable,0,0.1469,0.1638,0.22,0.1501,0.2084,0.0651,0.1131,0.2571,0.0697,0.002,gray_zone,0.0141,0.0132,0.0027,0.0284,0.1348,0.0,0.7873,0.1734,0.662,0.105,0.0,9.75,0.1295,0.6802,0.1881,0.007,0.038,0.5361,0.1193,0.2129
managed_transition,20-year managed transition,2,CHN,China,0.18,0.68,0.7,0.86,0.4021,0.5875,0.7543,0.9051,0.1729,0.3975,0.3647,0.3192,0.3,0.4747,0.0069,0.0572,0.3048,0.379,0.1907,0.7212,0.717,0.2352,0.3056,0.4796,0.3296,0.3477,0.12,protest,2,0.1749,0.1794,0.2434,0.1867,0.2718,0.1008,0.3765,0.5637,0.1919,0.0427,proxy,0.0135,0.0118,0.0024,0.0275,0.1453,0.0055,0.699,0.2486,0.5451,0.1191,0.0,7.9,0.2755,0.7301,0.0972,0.0064,0.0387,0.5506,0.1047,0.2009
