scenario_key,turn,avg_S,avg_horizon_turns,avg_cash_stability,avg_labor_displacement,avg_conflict_risk,avg_war_burden,avg_domestic_burden,avg_economic_stress,avg_legitimacy_stress,avg_protest_pressure,avg_riot_pressure,avg_civil_conflict_pressure,war_events_count,domestic_events_count,gray_zone_events,proxy_events,limited_war_events,stable_stage_count,grievance_stage_count,protest_stage_count,mass_protest_stage_count,riot_stage_count,insurgency_stage_count,civil_conflict_stage_count,grievance_events,protest_events,mass_protest_events,riot_events,insurgency_events,civil_conflict_events
complement,1,0.5665,8.5592,0.7414,0.1733,0.2225,0.0037,0.0359,0.2226,0.2845,0.1659,0.2327,0.1619,2,2,1,1,0,6,2,0,0,0,0,0,2,0,0,0,0,0
complement,2,0.5569,8.4723,0.7269,0.2577,0.2263,0.0035,0.0477,0.2441,0.2877,0.1824,0.245,0.1693,1,2,1,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0
complement,3,0.5484,8.3866,0.7078,0.3168,0.2331,0.0029,0.0418,0.2603,0.292,0.1848,0.2468,0.1722,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
complement,4,0.5329,8.211,0.6799,0.3757,0.2478,0.0034,0.0446,0.2773,0.2953,0.194,0.2568,0.1758,1,4,0,1,0,7,0,1,0,0,0,0,0,1,0,0,0,0
complement,5,0.5255,8.0931,0.6524,0.4345,0.2602,0.0028,0.0438,0.2961,0.3005,0.1955,0.2626,0.1794,0,4,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0
complement,6,0.5116,7.8123,0.6129,0.4934,0.2839,0.0075,0.0479,0.3193,0.3068,0.208,0.2782,0.1879,1,1,0,1,0,4,3,1,0,0,0,0,0,1,0,0,0,0
complement,7,0.5015,7.5774,0.5705,0.5523,0.307,0.0069,0.0417,0.3436,0.3158,0.2149,0.2882,0.1944,1,0,1,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0
complement,8,0.4871,7.2861,0.5256,0.6111,0.3361,0.0102,0.0467,0.3698,0.3269,0.231,0.3096,0.2036,2,3,1,1,0,4,4,0,0,0,0,0,2,0,0,0,0,0
complement,9,0.4756,7.0187,0.4766,0.6699,0.3647,0.0112,0.0488,0.396,0.3376,0.2341,0.3202,0.2111,2,3,2,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0
complement,10,0.4611,6.6671,0.4182,0.7288,0.4007,0.0137,0.0547,0.4268,0.3502,0.2461,0.3402,0.2214,1,2,0,1,0,4,3,1,0,0,0,0,1,1,0,0,0,0
complement,11,0.4448,6.2961,0.3514,0.7876,0.4396,0.012,0.0756,0.4599,0.3654,0.2628,0.3625,0.2337,1,2,1,0,0,3,3,2,0,0,0,0,1,1,0,0,0,0
complement,12,0.4287,5.9048,0.2745,0.8465,0.4857,0.0126,0.0753,0.4964,0.3834,0.2836,0.3881,0.2484,1,1,1,0,0,3,2,3,0,0,0,0,0,1,0,0,0,0
complement,13,0.4127,5.5172,0.1917,0.8989,0.5372,0.0147,0.0715,0.5339,0.4028,0.3024,0.4157,0.263,1,1,1,0,0,2,3,3,0,0,0,0,1,0,0,0,0,0
complement,14,0.3962,5.1321,0.1078,0.936,0.5953,0.0252,0.0654,0.5699,0.4237,0.3189,0.4443,0.2785,2,2,1,1,0,2,3,3,0,0,0,0,1,1,0,0,0,0
complement,15,0.3814,4.8394,0.0318,0.9538,0.6467,0.0281,0.0824,0.6022,0.4453,0.3314,0.4725,0.295,2,3,1,1,0,0,4,4,0,0,0,0,2,1,0,0,0,0
complement,16,0.3661,4.495,0.0095,0.9706,0.7129,0.0427,0.0933,0.6243,0.4682,0.3474,0.4988,0.3126,2,2,0,2,0,0,3,4,1,0,0,0,0,1,1,0,0,0
complement,17,0.3555,4.2588,0.0043,0.9786,0.7714,0.0398,0.0981,0.6398,0.4914,0.3607,0.5237,0.3312,1,2,1,0,0,0,2,4,2,0,0,0,0,1,1,0,0,0
complement,18,0.3431,3.9912,0.0015,0.9842,0.8324,0.0469,0.1203,0.6511,0.5115,0.3711,0.5451,0.346,2,3,1,1,0,0,1,5,0,2,0,0,0,1,0,2,0,0
complement,19,0.3364,3.824,0.0,0.9899,0.8773,0.0445,0.1039,0.6615,0.5309,0.3839,0.565,0.3622,2,3,2,0,0,0,2,4,0,2,0,0,1,0,0,2,0,0
complement,20,0.3291,3.6468,0.0,0.9956,0.9212,0.0449,0.1073,0.6685,0.5435,0.3857,0.5789,0.3717,2,6,2,0,0,0,2,2,2,2,0,0,1,1,2,2,0,0
complement,21,0.3213,3.4507,0.0001,0.9985,0.9699,0.0536,0.1203,0.6746,0.5531,0.39,0.5897,0.3819,2,5,1,1,0,0,1,3,0,4,0,0,0,1,0,4,0,0
complement,22,0.3154,3.3212,0.0,0.9998,0.9988,0.0613,0.1283,0.6798,0.5609,0.3986,0.5982,0.3925,1,5,0,0,1,0,1,2,1,3,1,0,0,0,1,3,1,0
complement,23,0.3093,3.2587,0.0006,1.0,1.0,0.0663,0.1462,0.6836,0.5694,0.4059,0.605,0.4015,2,7,1,1,0,0,0,1,4,2,1,0,0,1,3,2,1,0
complement,24,0.3033,3.1932,0.0001,1.0,1.0,0.0741,0.1522,0.686,0.5792,0.4151,0.6116,0.4108,2,5,1,1,0,0,1,0,3,2,1,1,1,0,0,2,1,1
complement,25,0.2954,3.0874,0.0001,1.0,1.0,0.0936,0.1638,0.6874,0.5888,0.4204,0.6179,0.4195,2,7,0,1,1,1,0,0,1,4,1,1,0,0,0,4,1,1
complement,26,0.2894,3.0166,0.0007,1.0,1.0,0.1029,0.1548,0.69,0.6003,0.4282,0.6254,0.4304,2,6,0,2,0,1,0,0,1,3,2,1,0,0,0,3,2,1
complement,27,0.2833,2.9662,0.0,1.0,1.0,0.0976,0.1692,0.6911,0.6101,0.4329,0.6315,0.4383,1,7,1,0,0,1,0,0,0,2,4,1,0,0,0,2,4,1
complement,28,0.2761,2.885,0.0001,1.0,1.0,0.1028,0.1805,0.6925,0.6205,0.4404,0.6385,0.4471,2,8,1,1,0,0,1,0,0,3,1,3,1,0,0,3,1,3
complement,29,0.2701,2.8123,0.0007,1.0,1.0,0.1124,0.1766,0.6946,0.6309,0.4476,0.6454,0.4561,2,8,0,2,0,0,0,1,0,3,1,3,0,1,0,3,1,3
complement,30,0.261,2.6897,0.0001,1.0,1.0,0.1324,0.2031,0.6961,0.6404,0.4539,0.6515,0.4633,2,8,0,1,1,0,0,0,1,1,2,4,0,0,1,1,2,4
