scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
complement,1,RUS,EU,continental_energy,0.1397,gray_zone,True,0.2169,0.0689,0.4,0.4521,0.2736,0.2047,0.0078,0.1986,0.2251,0.1744
complement,1,CHN,USA,technology_maritime,0.0,proxy,True,0.099,0.0638,0.9,0.5754,0.2595,0.0738,0.002,0.1142,0.0268,0.0446
complement,2,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0642,0.0995,0.88,0.4919,0.2517,0.0677,0.002,0.1107,0.1912,0.0289
complement,4,USA,CHN,technology_maritime,0.0,proxy,True,0.0663,0.1075,0.88,0.4909,0.2531,0.0679,0.002,0.1114,0.015,0.0298
complement,6,RUS,EU,continental_energy,0.1717,proxy,True,0.2886,0.0782,0.4,0.4536,0.3133,0.2442,0.0103,0.234,0.21,0.2243
complement,7,USA,CHN,technology_maritime,0.0,gray_zone,True,0.0917,0.1524,0.88,0.4891,0.2574,0.0728,0.002,0.1132,0.1044,0.0413
complement,8,CHN,JPN,maritime_island_chain,0.2084,proxy,False,0.1793,0.0788,0.86,0.2999,0.5346,0.1726,0.0382,0.3519,0.1589,0.1953
complement,8,USA,CHN,technology_maritime,0.0,gray_zone,True,0.1034,0.1793,0.88,0.4882,0.2592,0.0745,0.002,0.1141,0.2251,0.0465
complement,9,CHN,JPN,maritime_island_chain,0.2171,gray_zone,False,0.1992,0.0921,0.86,0.3031,0.5506,0.1816,0.0412,0.3639,0.4312,0.209
complement,9,USA,CHN,technology_maritime,0.0,gray_zone,True,0.1152,0.1992,0.88,0.4873,0.2591,0.0741,0.002,0.114,0.171,0.0518
complement,10,CHN,JPN,maritime_island_chain,0.2308,proxy,False,0.2439,0.112,0.86,0.3038,0.5696,0.1937,0.0458,0.3799,0.1084,0.2367
complement,11,USA,RUS,nuclear_coercion,0.0396,gray_zone,True,0.1873,0.4729,0.82,0.417,0.2888,0.0894,0.0021,0.1493,0.1644,0.1061
complement,12,CHN,JPN,maritime_island_chain,0.2667,gray_zone,False,0.347,0.2013,0.86,0.3063,0.6211,0.2293,0.0586,0.4226,0.2474,0.3028
complement,13,CHN,IND,border_himalaya,0.1229,gray_zone,True,0.4032,0.3951,0.65,0.4609,0.3422,0.1603,0.0054,0.2194,0.2157,0.249
complement,14,CHN,JPN,maritime_island_chain,0.3079,gray_zone,False,0.4519,0.3023,0.86,0.3067,0.6754,0.2734,0.0778,0.4696,0.5369,0.3727
complement,14,RUS,EU,continental_energy,0.282,proxy,True,0.577,0.3144,0.4,0.4545,0.4486,0.3936,0.022,0.3553,0.1089,0.4147
complement,15,CHN,JPN,maritime_island_chain,0.3253,gray_zone,False,0.4994,0.3543,0.86,0.3066,0.6953,0.2913,0.0869,0.4881,0.3633,0.4036
complement,15,USA,RUS,nuclear_coercion,0.1236,proxy,True,0.3959,0.5939,0.82,0.409,0.4089,0.1386,0.0038,0.2491,0.0766,0.2461
complement,16,RUS,EU,continental_energy,0.3022,proxy,True,0.6116,0.3933,0.4,0.4553,0.472,0.4238,0.0254,0.3769,0.279,0.4414
complement,16,CHN,USA,technology_maritime,0.0687,proxy,True,0.5201,0.4146,0.9,0.5668,0.366,0.1243,0.0038,0.1995,0.0392,0.2718
complement,17,CHN,USA,technology_maritime,0.0746,gray_zone,True,0.5346,0.4289,0.9,0.5673,0.3738,0.1281,0.004,0.2063,0.1399,0.2816
complement,18,CHN,IND,border_himalaya,0.1908,proxy,True,0.54,0.521,0.65,0.4555,0.4376,0.2264,0.0088,0.2994,0.1653,0.3479
complement,18,USA,RUS,nuclear_coercion,0.1508,gray_zone,True,0.4466,0.6439,0.82,0.4048,0.4481,0.1592,0.0046,0.2816,0.2319,0.2839
complement,19,CHN,JPN,maritime_island_chain,0.3631,gray_zone,False,0.5434,0.4367,0.86,0.3033,0.7401,0.3357,0.1128,0.5289,0.5434,0.4442
complement,19,USA,RUS,nuclear_coercion,0.1617,gray_zone,True,0.4519,0.66,0.82,0.4028,0.4669,0.1697,0.0051,0.296,0.1817,0.2923
complement,20,CHN,JPN,maritime_island_chain,0.3697,gray_zone,False,0.5447,0.4602,0.86,0.3019,0.7469,0.3434,0.1187,0.5357,0.4072,0.4485
complement,20,USA,CHN,technology_maritime,0.0955,gray_zone,True,0.4583,0.5447,0.88,0.4698,0.3978,0.1335,0.0042,0.2285,0.3782,0.2588
complement,21,RUS,EU,continental_energy,0.339,proxy,True,0.68,0.4378,0.4,0.4509,0.5147,0.4842,0.0318,0.4163,0.0839,0.4925
complement,21,CHN,USA,technology_maritime,0.1081,gray_zone,True,0.5486,0.4634,0.9,0.5535,0.426,0.1514,0.0052,0.248,0.2822,0.3063
complement,22,CHN,JPN,maritime_island_chain,0.3824,limited_war,False,0.5537,0.4866,0.86,0.2953,0.7577,0.3558,0.1287,0.5476,0.1233,0.4595
complement,23,CHN,JPN,maritime_island_chain,0.388,proxy,False,0.56,0.5047,0.86,0.2962,0.764,0.3627,0.1337,0.5535,0.2321,0.4654
complement,23,RUS,EU,continental_energy,0.3421,gray_zone,True,0.6865,0.4501,0.4,0.4504,0.5168,0.4869,0.0324,0.4189,0.5164,0.4971
complement,24,CHN,JPN,maritime_island_chain,0.3919,gray_zone,False,0.5641,0.5151,0.86,0.2961,0.7677,0.3672,0.1376,0.5573,0.6161,0.4694
complement,24,RUS,EU,continental_energy,0.3487,proxy,True,0.6926,0.454,0.4,0.4486,0.5241,0.4983,0.034,0.4259,0.0865,0.5035
complement,25,CHN,JPN,maritime_island_chain,0.3971,limited_war,False,0.5706,0.5245,0.86,0.2927,0.7715,0.3716,0.1414,0.5618,0.0777,0.4752
complement,25,RUS,EU,continental_energy,0.3532,proxy,True,0.698,0.4586,0.4,0.4502,0.5302,0.5083,0.0354,0.4311,0.2812,0.5084
complement,26,CHN,JPN,maritime_island_chain,0.4032,proxy,False,0.578,0.544,0.86,0.2938,0.778,0.3793,0.147,0.5681,0.2152,0.4819
