scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
complement,High automation / high adaptation,1,USA,United States,0.18,0.8173,0.88,0.97,0.4465,0.5831,0.832,0.9221,0.1882,0.3385,0.12,0.1974,0.22,0.7804,0.0053,0.0166,0.3047,0.3245,0.1622,0.6784,0.7309,0.1937,0.2487,0.5612,0.2559,0.2946,0.02,stable,0,0.1329,0.1539,0.2078,0.1449,0.2019,0.0638,0.1113,0.2529,0.0682,0.002,gray_zone,0.0735,0.0756,0.0117,0.0682,0.0276,0.0,0.7875,0.1729,0.6625,0.1052,0.0,9.75,0.1289,0.6806,0.1752,0.0382,0.0191,0.5341,0.1108,0.2362
complement,High automation / high adaptation,1,CHN,China,0.18,0.68,0.7,0.86,0.406,0.6228,0.7988,0.8864,0.1949,0.3802,0.3612,0.2875,0.3,0.4782,0.0022,0.0265,0.3039,0.3638,0.1739,0.7248,0.7201,0.219,0.2944,0.4789,0.3236,0.3279,0.085,grievance,1,0.1564,0.1532,0.2258,0.1715,0.2414,0.099,0.3149,0.4871,0.1476,0.0294,proxy,0.0703,0.0676,0.0104,0.0649,0.0465,0.0,0.7046,0.2353,0.5569,0.1172,0.0,8.11,0.246,0.7315,0.0752,0.035,0.0182,0.5444,0.1255,0.225
complement,High automation / high adaptation,1,EU,European Union,0.16,0.5575,0.8,0.84,0.5989,0.675,0.7792,0.8087,0.1628,0.2763,0.1852,0.1451,0.2,0.7813,0.0113,0.0152,0.3083,0.3638,0.1411,0.6008,0.6972,0.1939,0.2157,0.5441,0.2546,0.2362,0.02,stable,0,0.1236,0.1518,0.1945,0.1202,0.1916,0.0,0.0,0.0,0.0,0.0,none,0.0808,0.083,0.0079,0.0628,0.0,0.0,0.7573,0.1728,0.6371,0.1747,0.0,9.85,0.1524,0.5853,0.195,0.0447,0.0176,0.4092,0.1054,0.2401
complement,High automation / high adaptation,1,JPN,Japan,0.07,0.3223,0.42,0.88,0.5615,0.7183,0.7668,0.7505,0.1718,0.2566,0.14,0.0914,0.18,0.7638,0.0,0.0069,0.3075,0.422,0.1408,0.5752,0.6886,0.2024,0.1964,0.5537,0.2431,0.2024,0.02,stable,0,0.1201,0.1543,0.1861,0.1076,0.1863,0.0,0.0,0.0,0.0,0.0,none,0.0794,0.0824,0.006,0.0618,0.004,0.0,0.6902,0.1654,0.585,0.2379,0.0,9.39,0.1912,0.5547,0.2014,0.0486,0.0173,0.368,0.1035,0.2445
complement,High automation / high adaptation,1,IND,India,0.19,0.4915,0.69,0.63,0.3515,0.6143,0.6211,0.4704,0.1731,0.4218,0.1,0.2406,0.34,0.5834,0.0,0.0134,0.2816,0.3903,0.1828,0.53,0.549,0.2666,0.3369,0.457,0.3866,0.3038,0.02,stable,0,0.2002,0.1938,0.273,0.1944,0.2775,0.0,0.0,0.0,0.0,0.0,none,0.0537,0.057,0.0,0.0531,0.0624,0.0,0.597,0.2307,0.474,0.2274,0.0,7.41,0.307,0.5342,0.2265,0.0376,0.0149,0.4224,0.1573,0.1547
complement,High automation / high adaptation,1,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.3877,0.576,0.7746,0.7312,0.13,0.3271,0.18,0.2898,0.43,0.6196,0.0,0.0156,0.2987,0.4002,0.1478,0.6112,0.6849,0.2161,0.2906,0.3666,0.3033,0.3214,0.02,stable,0,0.1624,0.1425,0.2196,0.1603,0.2328,0.0,0.0,0.0,0.0,0.0,none,0.0632,0.0647,0.0054,0.04,0.0,0.0,0.6463,0.2278,0.5147,0.3281,0.0,7.81,0.3003,0.6087,0.0793,0.0352,0.0112,0.4353,0.1295,0.2016
complement,High automation / high adaptation,1,RUS,Russia,0.04,0.88,0.74,0.52,0.2447,0.484,0.5613,0.5866,0.1233,0.4603,0.7831,0.457,0.26,0.2765,0.0035,0.0471,0.2844,0.41,0.1799,0.6276,0.487,0.2752,0.4857,0.3069,0.5633,0.4802,0.085,grievance,1,0.2572,0.1948,0.3506,0.2693,0.3588,0.2169,0.1986,0.2736,0.2047,0.0078,proxy,0.0462,0.0436,0.0009,0.0433,0.0325,0.0,0.5804,0.3444,0.4113,0.2922,0.0,5.8,0.4293,0.6482,0.1388,0.0216,0.0121,0.5426,0.208,0.1228
complement,High automation / high adaptation,1,BRA,Brazil,0.05,0.79,0.91,0.54,0.3186,0.5537,0.6333,0.4409,0.1436,0.4107,0.08,0.2128,0.38,0.4417,0.0,0.0077,0.2756,0.3524,0.1742,0.4044,0.5083,0.255,0.3571,0.4152,0.4031,0.3209,0.02,stable,0,0.2137,0.2014,0.2956,0.1898,0.2852,0.0,0.0,0.0,0.0,0.0,none,0.0495,0.051,0.0,0.0436,0.0431,0.0,0.631,0.2135,0.5097,0.1415,0.0,7.62,0.2583,0.397,0.3391,0.0305,0.0122,0.3052,0.1683,0.1245
complement,High automation / high adaptation,2,USA,United States,0.18,0.8173,0.88,0.97,0.4529,0.5816,0.8191,0.9232,0.2815,0.3436,0.1205,0.1954,0.22,0.7795,0.005,0.0309,0.3048,0.3327,0.1595,0.6776,0.7365,0.2157,0.2506,0.5603,0.2547,0.2985,0.085,grievance,1,0.1488,0.1669,0.2191,0.1496,0.2091,0.0642,0.1107,0.2517,0.0677,0.002,gray_zone,0.0738,0.0758,0.0117,0.0932,0.1201,0.0033,0.7851,0.1975,0.6444,0.1044,0.0,9.59,0.1616,0.6802,0.1786,0.0384,0.0667,0.5354,0.1206,0.2298
complement,High automation / high adaptation,2,CHN,China,0.18,0.6794,0.7,0.86,0.412,0.6194,0.7788,0.8935,0.2848,0.3867,0.3621,0.3009,0.3,0.4763,0.0037,0.0474,0.3045,0.3743,0.175,0.7212,0.7174,0.245,0.3008,0.4787,0.3264,0.3385,0.0714,grievance,1,0.1762,0.1821,0.2418,0.1845,0.2727,0.0995,0.3214,0.4964,0.152,0.0309,proxy,0.0708,0.0679,0.0106,0.0899,0.1355,0.0015,0.7056,0.2547,0.5469,0.1176,0.0,7.98,0.2561,0.7301,0.0871,0.0352,0.0654,0.5473,0.1063,0.2161
