scenario_key,turn,avg_S,avg_horizon_turns,avg_cash_stability,avg_labor_displacement,avg_conflict_risk,avg_war_burden,avg_domestic_burden,avg_economic_stress,avg_legitimacy_stress,avg_protest_pressure,avg_riot_pressure,avg_civil_conflict_pressure,war_events_count,domestic_events_count,gray_zone_events,proxy_events,limited_war_events,stable_stage_count,grievance_stage_count,protest_stage_count,mass_protest_stage_count,riot_stage_count,insurgency_stage_count,civil_conflict_stage_count,grievance_events,protest_events,mass_protest_events,riot_events,insurgency_events,civil_conflict_events
fracture,1,0.5627,8.4971,0.7325,0.1733,0.2287,0.0047,0.0359,0.2331,0.2883,0.1732,0.2418,0.1653,1,2,0,1,0,6,2,0,0,0,0,0,2,0,0,0,0,0
fracture,2,0.5489,8.3257,0.7081,0.2577,0.2404,0.0065,0.047,0.2616,0.2955,0.1935,0.2599,0.1753,2,2,1,1,0,4,4,0,0,0,0,0,2,0,0,0,0,0
fracture,3,0.5346,8.1379,0.6766,0.3168,0.2587,0.0109,0.0407,0.2851,0.3041,0.1997,0.2679,0.1811,2,1,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0
fracture,4,0.5096,7.7707,0.6296,0.3756,0.2935,0.0247,0.0649,0.3103,0.3122,0.2129,0.285,0.1884,2,3,0,1,1,4,2,2,0,0,0,0,1,2,0,0,0,0
fracture,5,0.4936,7.4357,0.5796,0.4344,0.3279,0.0327,0.0692,0.3407,0.3249,0.2276,0.3009,0.1998,2,1,0,2,0,3,3,2,0,0,0,0,1,0,0,0,0,0
fracture,6,0.4784,7.1117,0.5291,0.4932,0.3572,0.0293,0.0606,0.375,0.3383,0.2495,0.3265,0.2145,1,2,1,0,0,3,3,2,0,0,0,0,1,1,0,0,0,0
fracture,7,0.4613,6.7249,0.4667,0.552,0.399,0.0351,0.0656,0.4056,0.3508,0.2551,0.3423,0.222,2,2,1,1,0,4,1,3,0,0,0,0,0,1,0,0,0,0
fracture,8,0.4429,6.2919,0.4025,0.6107,0.4444,0.041,0.0582,0.4426,0.3686,0.2793,0.3735,0.2375,2,3,1,1,0,3,4,1,0,0,0,0,3,0,0,0,0,0
fracture,9,0.4255,5.8503,0.333,0.6694,0.4951,0.0505,0.0636,0.4777,0.3844,0.2847,0.3919,0.2482,2,3,0,2,0,2,5,1,0,0,0,0,2,1,0,0,0,0
fracture,10,0.4093,5.4352,0.2596,0.728,0.5403,0.0464,0.0635,0.5186,0.4035,0.3045,0.4213,0.2645,2,2,2,0,0,1,5,2,0,0,0,0,1,1,0,0,0,0
fracture,11,0.388,4.8847,0.171,0.7867,0.6071,0.0657,0.0663,0.5589,0.4231,0.3232,0.4501,0.2791,2,2,0,1,1,1,4,2,1,0,0,0,0,1,1,0,0,0
fracture,12,0.368,4.3813,0.0933,0.8453,0.669,0.0705,0.0793,0.6037,0.4472,0.3452,0.4841,0.2993,2,2,1,1,0,0,5,2,0,1,0,0,1,0,0,1,0,0
fracture,13,0.3504,3.9201,0.0454,0.8974,0.7313,0.071,0.092,0.6394,0.4723,0.3656,0.5165,0.3188,2,4,1,1,0,1,3,2,1,0,1,0,0,1,1,0,1,0
fracture,14,0.3336,3.4939,0.0253,0.9342,0.7939,0.0811,0.1002,0.6662,0.4996,0.3819,0.5481,0.3385,2,4,1,0,1,1,2,2,1,1,1,0,0,1,1,1,1,0
fracture,15,0.3198,3.1789,0.0064,0.9533,0.8446,0.0829,0.1054,0.689,0.5266,0.3997,0.5771,0.3576,2,4,1,1,0,1,1,2,2,1,1,0,0,1,1,1,1,0
fracture,16,0.3088,2.9202,0.0041,0.9701,0.8801,0.0951,0.1269,0.7035,0.5415,0.4115,0.5945,0.3709,2,5,1,0,1,0,2,2,0,3,1,0,1,0,0,3,1,0
fracture,17,0.3024,2.7372,0.0017,0.9785,0.9125,0.1056,0.123,0.7164,0.5524,0.4252,0.6072,0.3842,2,5,1,0,1,0,1,3,1,1,2,0,0,1,1,1,2,0
fracture,18,0.296,2.5549,0.0005,0.9842,0.9484,0.1146,0.1271,0.7259,0.5602,0.4312,0.617,0.3939,2,4,0,1,1,0,1,2,2,1,2,0,0,0,1,1,2,0
fracture,19,0.2902,2.4314,0.0,0.9898,0.972,0.1034,0.1422,0.735,0.5691,0.4401,0.627,0.4043,2,7,2,0,0,0,1,2,0,3,2,0,1,1,0,3,2,0
fracture,20,0.2841,2.284,0.0002,0.9954,0.9879,0.1219,0.1265,0.7415,0.5773,0.4484,0.6354,0.4127,2,6,0,1,1,0,2,1,0,3,1,1,1,0,0,3,1,1
fracture,21,0.2769,2.1453,0.0002,0.9985,0.9998,0.1401,0.1323,0.7461,0.5857,0.4516,0.643,0.4213,2,6,0,1,1,1,1,1,0,2,3,0,0,0,0,2,3,0
fracture,22,0.2705,2.0646,0.0002,0.9998,1.0,0.1406,0.1559,0.7505,0.5955,0.4565,0.6504,0.4314,2,7,1,1,0,0,1,2,0,1,3,1,1,1,0,1,3,1
fracture,23,0.2626,1.9448,0.0002,1.0,1.0,0.16,0.1695,0.7545,0.6051,0.4682,0.658,0.4413,2,6,0,1,1,0,1,1,1,0,4,1,0,0,1,0,4,1
fracture,24,0.2582,1.8809,0.0009,1.0,1.0,0.165,0.1519,0.7592,0.617,0.4795,0.6666,0.453,2,6,0,2,0,0,2,0,1,1,3,1,1,0,0,1,3,1
fracture,25,0.2519,1.8158,0.0005,1.0,1.0,0.1553,0.1796,0.7614,0.626,0.4823,0.673,0.4599,2,7,1,1,0,0,1,1,0,2,2,2,0,1,0,2,2,2
fracture,26,0.2473,1.7487,0.0009,1.0,1.0,0.1619,0.1666,0.7652,0.6368,0.4934,0.6813,0.4696,2,6,0,2,0,0,1,1,0,2,2,2,0,0,0,2,2,2
fracture,27,0.2415,1.6678,0.0012,1.0,1.0,0.167,0.1778,0.7678,0.6456,0.4979,0.6875,0.4757,2,7,0,2,0,0,0,2,0,2,2,2,0,1,0,2,2,2
fracture,28,0.2378,1.6207,0.0002,1.0,1.0,0.1654,0.1744,0.7716,0.6553,0.5053,0.6946,0.4836,2,6,1,1,0,0,0,2,0,2,2,2,0,0,0,2,2,2
fracture,29,0.2339,1.5767,0.0006,1.0,1.0,0.1573,0.1775,0.7743,0.6627,0.5094,0.7,0.4878,2,6,1,1,0,0,0,2,0,1,3,2,0,0,0,1,3,2
fracture,30,0.2291,1.5173,0.0006,1.0,1.0,0.1535,0.1882,0.777,0.6705,0.5145,0.7057,0.4923,2,6,1,1,0,0,0,2,0,0,4,2,0,0,0,0,4,2
