scenario_key,turn,actor,target,domain,score,mode,nuclear_pair,survival_pressure,target_fragility,gray_zone_bias,deterrence,gray_zone_probability,proxy_probability,limited_war_probability,war_pressure,sample_draw,intensity
fracture,1,CHN,IND,border_himalaya,0.1598,proxy,True,0.0998,0.1194,0.65,0.4411,0.3823,0.1831,0.0062,0.2577,0.155,0.1328
fracture,2,USA,RUS,nuclear_coercion,0.1143,proxy,True,0.0659,0.2256,0.82,0.4203,0.3841,0.1255,0.0035,0.233,0.0479,0.0925
fracture,2,CHN,USA,technology_maritime,0.0442,gray_zone,True,0.1015,0.0659,0.9,0.5668,0.3214,0.0972,0.0029,0.1662,0.2477,0.07
fracture,3,CHN,JPN,maritime_island_chain,0.3477,gray_zone,False,0.1092,0.0728,0.86,0.2829,0.7137,0.3153,0.0922,0.5087,0.6136,0.2404
fracture,3,RUS,EU,continental_energy,0.3086,gray_zone,True,0.2335,0.0731,0.4,0.443,0.4721,0.4205,0.0241,0.3806,0.4651,0.2748
fracture,4,CHN,JPN,maritime_island_chain,0.3545,limited_war,False,0.1172,0.0805,0.86,0.2827,0.7216,0.3232,0.098,0.516,0.0509,0.2477
fracture,4,RUS,EU,continental_energy,0.32,proxy,True,0.2589,0.0783,0.4,0.4427,0.4853,0.4381,0.0264,0.3927,0.0788,0.2925
fracture,5,CHN,JPN,maritime_island_chain,0.3598,proxy,False,0.1421,0.0979,0.86,0.2848,0.726,0.3273,0.1016,0.521,0.1495,0.2618
fracture,5,RUS,EU,continental_energy,0.3299,proxy,True,0.2905,0.0811,0.4,0.4443,0.4965,0.4532,0.0286,0.4032,0.1639,0.3122
fracture,6,CHN,JPN,maritime_island_chain,0.3711,gray_zone,False,0.1629,0.113,0.86,0.2863,0.7397,0.3415,0.1105,0.5333,0.531,0.2774
fracture,7,CHN,JPN,maritime_island_chain,0.3804,gray_zone,False,0.1874,0.1285,0.86,0.2859,0.7487,0.3512,0.1175,0.5425,0.6922,0.2936
fracture,7,RUS,EU,continental_energy,0.3557,proxy,True,0.3593,0.1177,0.4,0.4454,0.525,0.4936,0.034,0.4302,0.4297,0.3573
fracture,8,CHN,JPN,maritime_island_chain,0.4037,gray_zone,False,0.2309,0.1777,0.86,0.2855,0.7728,0.3796,0.1364,0.5661,0.4815,0.3259
fracture,8,RUS,EU,continental_energy,0.3748,proxy,True,0.4108,0.1797,0.4,0.4471,0.5434,0.5214,0.0384,0.449,0.3379,0.391
fracture,9,CHN,JPN,maritime_island_chain,0.4224,proxy,False,0.2925,0.2311,0.86,0.2862,0.7876,0.3989,0.1522,0.5831,0.3488,0.3639
fracture,9,RUS,EU,continental_energy,0.391,proxy,True,0.4524,0.238,0.4,0.4494,0.5592,0.5456,0.0425,0.465,0.3338,0.4186
fracture,10,CHN,JPN,maritime_island_chain,0.4483,gray_zone,False,0.357,0.2934,0.86,0.288,0.8092,0.4281,0.1766,0.6071,0.7767,0.4072
fracture,10,USA,RUS,nuclear_coercion,0.1983,gray_zone,True,0.1741,0.4995,0.82,0.4091,0.5124,0.1918,0.0065,0.3365,0.4363,0.1874
fracture,11,CHN,JPN,maritime_island_chain,0.4766,limited_war,False,0.4235,0.3709,0.86,0.2871,0.8291,0.4578,0.2061,0.6317,0.132,0.4527
fracture,11,RUS,EU,continental_energy,0.4299,proxy,True,0.5495,0.3551,0.4,0.4503,0.5941,0.5941,0.0521,0.5021,0.2025,0.4837
fracture,12,CHN,JPN,maritime_island_chain,0.5043,gray_zone,False,0.5033,0.4652,0.86,0.2905,0.8456,0.4839,0.2364,0.6544,0.7945,0.5039
fracture,12,RUS,EU,continental_energy,0.4473,proxy,True,0.589,0.4198,0.4,0.4524,0.6084,0.6084,0.0575,0.5182,0.3186,0.5111
fracture,13,CHN,JPN,maritime_island_chain,0.5249,proxy,False,0.5467,0.5037,0.86,0.2893,0.857,0.5031,0.2627,0.6711,0.4699,0.5347
fracture,13,USA,RUS,nuclear_coercion,0.2643,gray_zone,True,0.3417,0.6068,0.82,0.4029,0.6074,0.2558,0.01,0.4153,0.5484,0.2991
fracture,14,CHN,JPN,maritime_island_chain,0.5386,limited_war,False,0.5679,0.5457,0.86,0.2898,0.8639,0.5149,0.2818,0.6817,0.0184,0.5518
fracture,14,USA,RUS,nuclear_coercion,0.2842,gray_zone,True,0.3885,0.6284,0.82,0.4009,0.6341,0.2772,0.0116,0.4381,0.3785,0.3311
fracture,15,RUS,EU,continental_energy,0.4773,proxy,True,0.6521,0.4881,0.4,0.4511,0.6306,0.6306,0.066,0.5448,0.2151,0.556
fracture,15,USA,RUS,nuclear_coercion,0.3026,gray_zone,True,0.4394,0.6521,0.82,0.3988,0.6562,0.2959,0.0131,0.4582,0.3386,0.3642
fracture,16,CHN,JPN,maritime_island_chain,0.5502,gray_zone,False,0.5796,0.5878,0.86,0.2886,0.8693,0.5244,0.2961,0.6906,0.6769,0.5634
fracture,16,RUS,EU,continental_energy,0.4892,limited_war,True,0.6802,0.5083,0.4,0.4531,0.6389,0.6389,0.0704,0.5551,0.0688,0.5752
fracture,17,CHN,JPN,maritime_island_chain,0.5584,limited_war,False,0.5819,0.6024,0.86,0.2852,0.8729,0.5311,0.3101,0.6968,0.1861,0.569
fracture,17,USA,CHN,technology_maritime,0.2489,gray_zone,True,0.4472,0.5819,0.88,0.4626,0.6204,0.2451,0.0121,0.4124,0.5503,0.3381
fracture,18,CHN,JPN,maritime_island_chain,0.5603,limited_war,False,0.5929,0.609,0.86,0.2875,0.8733,0.5316,0.3166,0.698,0.2162,0.575
fracture,18,USA,RUS,nuclear_coercion,0.3312,proxy,True,0.4569,0.7152,0.82,0.3875,0.6901,0.3274,0.0161,0.4891,0.2226,0.3878
fracture,19,CHN,JPN,maritime_island_chain,0.562,gray_zone,False,0.5988,0.614,0.86,0.2901,0.8741,0.533,0.3215,0.6994,0.6097,0.5786
fracture,19,USA,RUS,nuclear_coercion,0.3393,gray_zone,True,0.4687,0.7336,0.82,0.3863,0.6994,0.3362,0.017,0.4978,0.6016,0.3975
fracture,20,CHN,JPN,maritime_island_chain,0.5673,limited_war,False,0.6004,0.6182,0.86,0.287,0.8761,0.5371,0.3313,0.7031,0.073,0.5822
fracture,20,RUS,EU,continental_energy,0.5141,proxy,True,0.75,0.5235,0.4,0.4515,0.6552,0.6552,0.0771,0.5762,0.5752,0.6203
fracture,21,CHN,JPN,maritime_island_chain,0.5674,limited_war,False,0.6074,0.623,0.86,0.2896,0.876,0.5368,0.3329,0.7032,0.1812,0.5854
fracture,21,RUS,EU,continental_energy,0.5171,proxy,True,0.7613,0.5309,0.4,0.4539,0.657,0.657,0.0789,0.5787,0.0865,0.627
fracture,22,CHN,JPN,maritime_island_chain,0.5661,gray_zone,False,0.6167,0.6304,0.86,0.2921,0.8749,0.5344,0.3304,0.702,0.6005,0.5889
fracture,22,RUS,EU,continental_energy,0.5181,proxy,True,0.765,0.5407,0.4,0.4564,0.6575,0.6575,0.08,0.5794,0.2167,0.6292
fracture,23,CHN,JPN,maritime_island_chain,0.5747,limited_war,False,0.622,0.6346,0.86,0.2889,0.8788,0.5413,0.3425,0.7085,0.3125,0.596
fracture,23,RUS,EU,continental_energy,0.5185,proxy,True,0.7671,0.5486,0.4,0.4591,0.6578,0.6578,0.0809,0.5798,0.0924,0.6304
fracture,24,CHN,JPN,maritime_island_chain,0.5778,proxy,False,0.6304,0.6378,0.86,0.2919,0.8805,0.5442,0.3479,0.711,0.5441,0.6015
fracture,24,RUS,EU,continental_energy,0.5183,proxy,True,0.7693,0.5542,0.4,0.4619,0.6578,0.6578,0.0814,0.5797,0.1701,0.6313
fracture,25,CHN,JPN,maritime_island_chain,0.5785,gray_zone,False,0.6392,0.6406,0.86,0.2932,0.8806,0.5441,0.3487,0.7114,0.7563,0.6058
fracture,25,USA,RUS,nuclear_coercion,0.3816,proxy,True,0.5036,0.7715,0.82,0.364,0.7449,0.3855,0.0218,0.5415,0.3144,0.4365
fracture,26,CHN,JPN,maritime_island_chain,0.5888,proxy,False,0.6434,0.6437,0.86,0.2904,0.8852,0.5529,0.3648,0.7192,0.3749,0.6134
fracture,26,RUS,EU,continental_energy,0.5186,proxy,True,0.7745,0.5564,0.4,0.4631,0.6578,0.6578,0.0814,0.5799,0.2322,0.6338
fracture,27,CHN,IND,border_himalaya,0.4748,proxy,True,0.6501,0.6557,0.65,0.383,0.7402,0.5604,0.0524,0.5916,0.1096,0.5537
fracture,27,USA,RUS,nuclear_coercion,0.3916,proxy,True,0.5172,0.7766,0.82,0.3598,0.7539,0.3962,0.0233,0.551,0.1684,0.4481
fracture,28,CHN,JPN,maritime_island_chain,0.5972,gray_zone,False,0.6557,0.6455,0.86,0.2886,0.8884,0.559,0.3772,0.7253,0.5852,0.6235
fracture,28,RUS,EU,continental_energy,0.5199,proxy,True,0.7796,0.5591,0.4,0.4643,0.6585,0.6585,0.0817,0.5809,0.2672,0.6368
fracture,29,CHN,JPN,maritime_island_chain,0.6043,gray_zone,False,0.66,0.6518,0.86,0.2852,0.8908,0.564,0.388,0.7304,0.5962,0.6294
fracture,29,USA,RUS,nuclear_coercion,0.4015,proxy,True,0.5305,0.7817,0.82,0.3557,0.7627,0.4071,0.0248,0.5604,0.2328,0.4596
fracture,30,CHN,JPN,maritime_island_chain,0.6089,gray_zone,False,0.6683,0.6554,0.86,0.2817,0.8919,0.566,0.3928,0.7334,0.8723,0.6356
fracture,30,USA,RUS,nuclear_coercion,0.4058,proxy,True,0.5384,0.7847,0.82,0.3553,0.7663,0.4115,0.0257,0.5644,0.3022,0.4655
