step	scenario_mode	event_id	event_type	event_name	start_step	end_step	intensity_0to1	probability_0to1	target	direction	description
4	birth_grant_only	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
5	birth_grant_only	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
6	birth_grant_only	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
6	birth_grant_only	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
7	birth_grant_only	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
7	birth_grant_only	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
8	birth_grant_only	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
8	birth_grant_only	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
8	birth_grant_only	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
9	birth_grant_only	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
9	birth_grant_only	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
9	birth_grant_only	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
10	birth_grant_only	E01	ショック	生成AI・認知労働自動化急加速	4	20	0.80	1.00	全体	雇用安定↓ 希望↓	事務・文章・開発・企画・分析などの認知労働が短期に再編され、初期キャリア層の不安が増える。
10	birth_grant_only	E02	ショック	生活コスト上昇	6	30	0.70	0.90	全体	可処分所得↓ 子ども意向↓	住居費・エネルギー・食費が同時上昇し、家計余力が縮小する。
10	birth_grant_only	E06	ショック	SNS悲観バイアス増幅	8	40	0.55	0.85	SNS高感受層	希望↓ 分断感↑	悲観情報が拡散しやすくなり、希望指数と相互信頼を押し下げる。
