step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	feedback_summary
1	20	75.0	48.9	45.4	60.3	0.0	26.4	63.3	10.3	3.4	1.7	0.6	3.5	0.0	47.1	9.6	情報過敏47.1、ケア9.6、学習移行3.5
2	20	75.0	46.4	43.8	63.7	0.0	17.5	72.2	10.3	6.1	1.8	7.5	0.3	0.0	44.3	9.5	情報過敏44.3、ケア9.5、生活防衛7.5
3	20	75.0	43.4	41.6	67.6	0.0	0.0	89.7	10.3	11.6	1.7	10.2	0.4	0.0	37.0	9.5	情報過敏37.0、撤退11.6、生活防衛10.2
4	20	75.0	38.9	38.5	72.7	0.0	0.0	89.7	10.3	6.2	1.8	9.7	8.7	0.0	38.1	9.6	情報過敏38.1、生活防衛9.7、ケア9.6
5	20	75.0	34.6	35.6	74.6	0.0	0.0	85.2	14.8	7.1	7.7	14.1	5.6	0.0	34.0	9.7	情報過敏34.0、生活防衛14.1、ケア9.7
6	20	75.0	31.6	32.3	73.2	0.0	0.0	85.2	14.8	9.9	2.9	19.1	17.8	0.0	19.1	10.1	生活防衛19.1、情報過敏19.1、学習移行17.8
7	20	75.0	28.0	29.4	76.4	0.0	0.0	79.4	20.6	12.5	0.0	13.5	8.1	0.0	33.2	10.4	情報過敏33.2、生活防衛13.5、撤退12.5
8	20	75.0	25.3	26.9	76.7	0.0	0.0	74.9	25.1	16.2	0.0	23.6	12.5	0.0	18.7	10.3	生活防衛23.6、情報過敏18.7、撤退16.2
9	20	75.0	22.0	24.5	78.5	0.0	0.0	66.1	33.9	19.3	0.0	21.6	5.4	0.0	32.4	10.7	情報過敏32.4、生活防衛21.6、撤退19.3
10	20	75.0	19.1	21.7	80.1	0.0	0.0	66.1	33.9	18.9	0.0	18.5	6.5	0.0	34.9	10.5	情報過敏34.9、撤退18.9、生活防衛18.5
11	20	75.0	18.4	20.8	77.3	0.0	0.0	66.1	33.9	21.9	0.0	12.7	0.4	0.0	36.8	10.0	情報過敏36.8、撤退21.9、生活防衛12.7
12	21	76.67	17.2	19.3	76.2	0.0	0.0	56.8	43.2	24.5	3.9	14.4	12.6	0.0	21.9	6.3	撤退24.5、情報過敏21.9、生活防衛14.4
13	21	76.67	15.6	17.6	77.6	0.0	0.0	56.8	43.2	23.4	1.7	20.2	3.8	0.0	29.6	6.4	情報過敏29.6、撤退23.4、生活防衛20.2
14	21	76.67	14.2	16.5	77.8	0.0	0.0	51.1	48.9	28.4	5.2	19.0	12.4	0.0	12.7	6.5	撤退28.4、生活防衛19.0、情報過敏12.7
15	21	76.67	12.3	14.9	78.3	0.0	0.0	45.4	54.6	19.9	0.0	19.4	12.3	0.0	25.6	6.4	情報過敏25.6、撤退19.9、生活防衛19.4
16	21	76.67	10.6	12.6	78.7	0.0	0.0	39.7	60.3	16.2	10.3	26.2	11.7	0.0	19.6	6.2	生活防衛26.2、情報過敏19.6、撤退16.2
17	21	76.67	9.4	11.4	78.3	0.0	0.0	31.0	69.0	39.2	0.0	4.4	5.1	0.0	39.4	13.2	情報過敏39.4、撤退39.2、ケア13.2
18	21	76.67	9.3	10.6	74.8	0.0	0.0	26.6	73.4	37.9	2.5	13.2	11.4	0.0	18.1	12.6	撤退37.9、情報過敏18.1、生活防衛13.2
19	21	76.67	9.3	10.3	74.0	0.0	0.0	22.3	77.7	33.1	0.0	15.7	4.5	0.0	28.3	9.0	撤退33.1、情報過敏28.3、生活防衛15.7
20	21	76.67	8.4	9.4	75.8	0.0	0.0	16.6	83.4	42.2	0.5	16.1	3.4	0.0	24.3	9.4	撤退42.2、情報過敏24.3、生活防衛16.1
21	21	76.67	8.9	9.2	74.9	0.0	0.0	20.1	79.9	36.3	0.0	26.9	3.2	0.0	9.5	9.7	撤退36.3、生活防衛26.9、ケア9.7
22	21	76.67	9.1	9.7	73.6	0.0	0.0	20.1	79.9	31.9	1.2	7.3	1.3	0.0	24.7	17.3	撤退31.9、情報過敏24.7、ケア17.3
23	21	76.67	9.3	9.3	73.2	0.0	0.0	20.1	79.9	42.6	0.0	16.9	7.9	0.0	14.6	9.8	撤退42.6、生活防衛16.9、情報過敏14.6
24	22	80.35	11.1	9.6	71.4	0.0	0.0	23.8	76.2	33.3	1.7	19.3	7.1	0.0	8.8	12.7	撤退33.3、生活防衛19.3、ケア12.7
25	22	80.35	10.0	9.0	72.1	0.0	0.0	23.8	76.2	33.7	0.0	8.5	5.4	0.0	27.0	15.6	撤退33.7、情報過敏27.0、ケア15.6
26	22	80.35	9.0	8.1	73.2	0.0	0.0	23.8	76.2	27.4	0.0	16.5	3.7	0.0	24.1	12.1	撤退27.4、情報過敏24.1、生活防衛16.5
27	22	80.35	8.4	7.5	72.9	0.0	0.0	23.8	76.2	29.8	3.2	19.9	0.7	0.0	26.5	11.1	撤退29.8、情報過敏26.5、生活防衛19.9
28	22	80.35	7.1	6.4	72.6	0.0	0.0	23.8	76.2	28.8	3.1	14.8	7.3	0.0	20.4	13.1	撤退28.8、情報過敏20.4、生活防衛14.8
29	22	80.35	7.3	6.7	72.4	0.0	0.0	23.8	76.2	23.7	6.0	20.1	4.4	0.0	28.5	10.4	情報過敏28.5、撤退23.7、生活防衛20.1
30	22	80.35	6.4	5.9	71.7	0.0	0.0	15.0	85.0	30.3	0.0	27.7	1.5	0.0	8.7	14.8	撤退30.3、生活防衛27.7、ケア14.8
31	22	80.35	6.2	5.8	72.5	0.0	0.0	15.0	85.0	38.9	0.0	7.9	3.6	0.0	13.5	18.0	撤退38.9、ケア18.0、情報過敏13.5
32	22	80.35	5.9	5.6	70.9	0.0	0.0	9.6	90.4	33.5	0.6	4.6	5.6	0.0	23.4	14.7	撤退33.5、情報過敏23.4、ケア14.7
33	22	80.35	5.9	5.7	71.5	0.0	0.0	9.6	90.4	39.5	0.0	4.7	1.2	0.0	20.7	12.0	撤退39.5、情報過敏20.7、ケア12.0
