step	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	dominant_world_pressure	high_risk_countries	world_context_for_agents
1	59.2	52.8	42.8	35.4	45.2	50.9	54.6	49.5	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ1: 地政学リスクが59.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は49.5。
2	60.6	53.6	49.4	44.2	47.5	52.2	61.3	46.6	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: SNS不安増幅が61.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.6。
3	68.1	56.3	54.0	53.6	50.9	62.3	68.1	42.1	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが68.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は42.1。
4	70.2	68.3	56.7	54.0	56.2	68.0	72.7	38.2	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: SNS不安増幅が72.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、中国(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は38.2。
5	73.2	66.4	60.8	61.6	59.2	74.4	75.5	35.3	SNS不安増幅	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: SNS不安増幅が75.5。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は35.3。
6	72.4	65.9	62.2	60.2	64.0	72.8	76.2	31.7	SNS不安増幅	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ6: SNS不安増幅が76.2。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は31.7。
7	71.7	69.6	63.9	63.5	66.2	73.4	79.0	29.5	SNS不安増幅	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ7: SNS不安増幅が79.0。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は29.5。
8	71.8	69.6	69.9	63.8	67.1	72.8	83.0	27.2	SNS不安増幅	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ8: SNS不安増幅が83.0。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は27.2。
9	72.2	69.9	74.2	65.5	68.2	73.8	85.9	25.6	SNS不安増幅	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ9: SNS不安増幅が85.9。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は25.6。
10	71.9	71.4	75.2	64.7	71.0	73.3	86.7	23.8	SNS不安増幅	ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ10: SNS不安増幅が86.7。高リスク国: ウクライナ(限定戦争)、中国(間接衝突)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は23.8。
