step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	side_effect_pressure	policy_fatigue_pressure	fairness_gap_pressure	coercion_pressure	fiscal_anxiety_pressure	feedback_summary
1	20	75.0	48.7	44.4	57.2	0.0	36.7	57.5	5.8	1.8	2.8	27.1	0.3	0.0	22.3	4.9	77.8	41.8	53.7	0.0	63.1	公平感欠損53.7、政策疲労41.8、生活防衛27.1
2	20	75.0	47.5	46.7	57.3	0.0	36.7	57.5	5.8	1.8	9.7	10.9	0.6	0.0	35.0	4.7	91.1	47.0	54.8	0.0	32.3	公平感欠損54.8、政策疲労47.0、情報過敏35.0
3	20	75.0	47.4	47.7	59.8	0.0	26.4	73.6	0.0	0.0	6.0	25.3	0.3	0.0	24.1	5.4	95.6	52.2	54.2	0.0	32.3	公平感欠損54.2、政策疲労52.2、生活防衛25.3
4	20	75.0	43.9	46.8	64.8	0.0	0.0	100.0	0.0	0.0	15.4	14.9	8.2	0.0	28.1	5.5	100.0	56.3	55.9	0.0	38.1	政策疲労56.3、公平感欠損55.9、情報過敏28.1
5	20	75.0	41.6	45.3	67.1	0.0	0.0	100.0	0.0	0.0	4.3	10.9	19.8	0.0	25.0	5.6	100.0	61.4	57.4	0.0	35.0	政策疲労61.4、公平感欠損57.4、情報過敏25.0
6	20	75.0	38.1	39.8	71.5	0.0	0.0	94.2	5.8	2.0	2.5	46.0	4.1	0.0	11.1	6.1	100.0	67.5	61.0	0.0	42.5	政策疲労67.5、公平感欠損61.0、生活防衛46.0
7	20	75.0	36.0	40.6	72.4	0.0	0.0	94.2	5.8	2.0	13.1	25.9	2.6	0.0	32.3	6.1	100.0	70.0	60.2	0.0	25.0	政策疲労70.0、公平感欠損60.2、情報過敏32.3
8	20	75.0	35.7	44.3	71.3	0.0	0.0	100.0	0.0	0.0	11.6	38.4	0.4	0.0	25.3	5.9	100.0	68.2	56.8	0.0	51.5	政策疲労68.2、公平感欠損56.8、生活防衛38.4
9	20	75.0	35.3	44.3	72.6	0.0	0.0	100.0	0.0	0.0	9.1	30.9	3.8	0.0	25.5	6.2	100.0	71.6	57.8	0.0	19.2	政策疲労71.6、公平感欠損57.8、生活防衛30.9
10	20	75.0	34.4	45.4	72.7	0.0	0.0	100.0	0.0	0.0	9.8	29.6	7.0	0.0	24.2	6.4	100.0	73.5	58.4	0.0	14.7	政策疲労73.5、公平感欠損58.4、生活防衛29.6
11	20	75.0	33.3	44.4	72.1	0.0	0.0	100.0	0.0	0.0	8.3	36.7	3.0	0.0	21.7	6.2	100.0	75.5	59.7	0.0	30.9	政策疲労75.5、公平感欠損59.7、生活防衛36.7
12	21	76.67	30.5	39.7	74.1	0.0	0.0	89.9	10.1	5.7	6.1	48.7	7.2	0.0	8.2	6.3	100.0	79.5	62.6	0.0	30.2	政策疲労79.5、公平感欠損62.6、生活防衛48.7
