step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	side_effect_pressure	policy_fatigue_pressure	fairness_gap_pressure	coercion_pressure	fiscal_anxiety_pressure	feedback_summary
1	20	75.0	49.2	48.7	56.1	5.8	35.3	58.9	0.0	0.0	2.2	22.3	0.8	0.3	25.7	4.8	58.9	45.9	52.5	0.0	4.4	公平感欠損52.5、政策疲労45.9、情報過敏25.7
2	20	75.0	49.2	49.3	58.0	0.0	32.2	67.8	0.0	2.2	5.0	18.8	0.6	0.0	25.3	4.7	89.7	51.0	53.4	0.0	17.5	公平感欠損53.4、政策疲労51.0、情報過敏25.3
3	20	75.0	47.2	47.3	61.6	0.0	16.1	83.9	0.0	0.0	7.3	36.4	3.7	0.0	11.2	4.8	95.6	56.4	55.5	0.0	33.7	政策疲労56.4、公平感欠損55.5、生活防衛36.4
4	20	75.0	43.4	43.4	66.3	0.0	0.0	100.0	0.0	0.0	5.4	20.5	7.5	0.0	25.4	5.6	100.0	61.5	58.4	0.0	26.4	政策疲労61.5、公平感欠損58.4、情報過敏25.4
5	20	75.0	45.0	47.3	65.2	0.0	0.0	100.0	0.0	0.0	12.3	14.3	0.0	0.0	36.0	5.3	100.0	61.2	57.1	0.0	23.4	政策疲労61.2、公平感欠損57.1、情報過敏36.0
6	20	75.0	43.3	48.7	67.5	0.0	0.0	100.0	0.0	0.0	9.9	31.0	1.2	0.0	21.9	5.4	100.0	64.6	57.4	0.0	29.2	政策疲労64.6、公平感欠損57.4、生活防衛31.0
7	20	75.0	41.4	49.8	68.8	0.0	0.0	100.0	0.0	0.0	14.2	38.9	0.5	0.0	17.3	5.7	100.0	66.4	58.8	0.0	35.0	政策疲労66.4、公平感欠損58.8、生活防衛38.9
8	20	75.0	39.9	49.6	68.7	0.0	0.0	100.0	0.0	0.0	10.5	46.8	0.8	0.0	10.3	5.9	100.0	68.2	59.4	0.0	35.0	政策疲労68.2、公平感欠損59.4、生活防衛46.8
9	20	75.0	37.6	48.5	69.6	0.0	0.0	100.0	0.0	0.0	3.6	30.2	0.8	0.0	26.3	5.8	100.0	70.4	59.2	0.0	23.4	政策疲労70.4、公平感欠損59.2、生活防衛30.2
10	20	75.0	38.8	51.1	68.8	0.0	0.0	100.0	0.0	0.0	10.9	18.3	6.2	0.0	31.7	5.4	100.0	70.7	56.1	0.0	17.5	政策疲労70.7、公平感欠損56.1、情報過敏31.7
11	20	75.0	37.0	46.9	69.2	0.0	0.0	94.2	5.8	2.0	6.7	31.8	10.9	0.0	16.6	5.6	100.0	72.3	58.2	0.0	23.4	政策疲労72.3、公平感欠損58.2、生活防衛31.8
12	21	76.67	37.1	48.2	69.0	0.0	4.3	89.9	5.7	2.0	11.0	42.3	0.5	0.0	15.3	5.6	100.0	72.6	57.5	0.0	11.4	政策疲労72.6、公平感欠損57.5、生活防衛42.3
