step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	side_effect_pressure	policy_fatigue_pressure	fairness_gap_pressure	coercion_pressure	fiscal_anxiety_pressure	feedback_summary
1	20	75.0	49.2	46.3	56.0	0.0	41.1	53.0	5.8	2.0	11.2	18.0	2.5	0.0	24.6	5.1	70.6	48.1	52.5	0.0	10.3	公平感欠損52.5、政策疲労48.1、情報過敏24.6
2	20	75.0	48.6	47.5	57.8	0.0	35.3	64.7	0.0	0.0	9.6	19.4	2.0	0.0	27.5	4.9	89.7	53.8	53.4	0.0	5.8	政策疲労53.8、公平感欠損53.4、情報過敏27.5
3	20	75.0	49.6	49.6	58.0	0.0	30.8	69.2	0.0	0.0	12.7	27.7	0.4	0.0	20.4	4.6	95.6	54.3	52.0	0.0	16.1	政策疲労54.3、公平感欠損52.0、生活防衛27.7
4	20	75.0	46.3	49.3	62.7	0.0	14.7	85.3	0.0	0.0	15.2	18.7	4.2	0.0	27.0	5.3	100.0	57.0	54.2	0.0	51.4	政策疲労57.0、公平感欠損54.2、情報過敏27.0
5	20	75.0	43.8	49.3	64.9	0.0	4.4	95.6	0.0	0.0	7.4	11.8	3.3	0.0	35.2	5.5	100.0	58.7	55.5	0.0	30.8	政策疲労58.7、公平感欠損55.5、情報過敏35.2
6	20	75.0	41.3	47.4	67.7	0.0	4.4	95.6	0.0	0.0	10.8	23.6	2.7	0.0	31.7	5.6	100.0	63.3	56.8	0.0	30.9	政策疲労63.3、公平感欠損56.8、情報過敏31.7
7	20	75.0	38.4	46.1	69.9	0.0	0.0	100.0	0.0	0.0	11.3	42.3	2.9	0.0	14.5	5.8	100.0	67.2	59.0	0.0	26.4	政策疲労67.2、公平感欠損59.0、生活防衛42.3
8	20	75.0	43.1	52.1	64.6	0.0	17.8	82.2	0.0	0.0	13.3	17.6	1.8	0.0	30.8	5.9	95.6	64.2	56.4	0.0	16.1	政策疲労64.2、公平感欠損56.4、情報過敏30.8
9	20	75.0	43.8	53.2	65.1	0.0	13.3	86.7	0.0	0.0	11.7	24.6	2.5	0.0	25.2	5.8	95.6	66.4	55.8	0.0	17.5	政策疲労66.4、公平感欠損55.8、情報過敏25.2
10	20	75.0	45.8	56.3	62.8	0.0	28.0	72.0	0.0	0.0	20.3	27.8	2.6	0.0	20.9	5.4	100.0	66.1	55.0	0.0	17.5	政策疲労66.1、公平感欠損55.0、生活防衛27.8
