イベントID	step	区分	イベント名	強度_0to1	対象	主な影響方向	発生源	関連国	日本社会状態	若者への入力文
OE001	1	組織判断	企業・組織の採用育成判断	0.40	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は絞り込み、中途で即戦力を増やす / 首都圏業務支援株式会社: 新卒は絞り、AI運用・品質管理の中途を優先 / 東京湾岸工科専門学校: 教員は維持し、企業出向経験者を中途で補う	未来通信システム株式会社: 採用枠縮小で不安増、AI適応者は機会拡大 / 首都圏業務支援株式会社: 新卒枠縮小で不安増、AI運用職は機会増 / 東京湾岸工科専門学校: 不安下でも就職見通しが増え、学習動機が安定 現役側には 未来通信システム株式会社: 業務再設計と再学習負荷増、異動の摩擦も増える / 首都圏業務支援株式会社: 自動化で単純業務減、監督・営業へ再配置圧 / 東京湾岸工科専門学校: 企業側の再教育需要が増え、学び直し受入が拡大
PL001_02	1	政策探索	副作用監査+異議申立+非強制説明(政策AI同梱)	0.50	全住民（特に未婚/非出産選択者、制度不信層、現役納税層）	強制感↓ 対象外反発↓ 制度信頼↑ 政策疲労↓ 補正速度↑	LLM政策探索/構造持続あり+伴走支援	日本	地政学・物価・雇用不安が先行し、家族形成は費用/手続き/ケア負担で詰まりやすい。	支援はありがたいが、押しつけや監視っぽさがあると一気に距離を置きたくなる。
WE001	1	戦争	世界限定戦争発生	0.95	全体	将来予見性↓ 生活防衛↑ 制度信頼↓	国家LLMリスク段階	ウクライナ	ステップ1: 地政学リスクが64.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は49.3。	ウクライナが限定戦争段階に入り、長期計画と生活安心感が揺らぐ。
WE002	1	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	北朝鮮、ロシア	ステップ1: 地政学リスクが64.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は49.3。	北朝鮮、ロシアの間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE003	1	世界イベント	供給網不安拡大	0.20	全体	物価不安↑ 雇用安定↓	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ1: 地政学リスクが64.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は49.3。	供給網の不安定化により、物価と企業採用への不安が残る。
FB001	2	社会反応	生活防衛シフト	0.25	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	公平感欠損52.5、政策疲労48.1、情報過敏24.6	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB001	2	社会反応	生活防衛シフト	0.25	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	公平感欠損52.5、政策疲労48.1、情報過敏24.6	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
OE002	2	組織判断	企業・組織の採用育成判断	0.48	若者・現役世代	育成経路↑ 地域接続↑	組織運営LLM	日本	未来通信システム株式会社: 新卒は厳選維持、中途はクラウド/セキュリティ優先 / さくら在宅ケア株式会社: 新卒は抑制、資格者・復職者・紹介を厚く / 桐野市産業雇用課: 採用維持補助は継続しつつ、供給網不安業種へ重点配分	未来通信システム株式会社: 採用厳選で不安増、研修明確化は安心材料 / さくら在宅ケア株式会社: 安心志向が強まり、資格取得と職場安定を重視 / 桐野市産業雇用課: 不安増で進路迷いが増えるが、実習で自己効力感を下支え 現役側には 未来通信システム株式会社: セキュリティ/BCP対応で負荷増、再配置機会は増える / さくら在宅ケア株式会社: 現場負荷は軽減するが不安増、配置転換が進む / 桐野市産業雇用課: 再配置・再訓練が増え負担も増すが、地域雇用の急落は抑制
PL001_01	2	政策探索	初期費用緩衝ワンストップ	0.65	妊娠前後〜0歳の世帯/単身で家族形成検討中	費用不安↓ 手続き摩擦↓ 子ども希望↑ 制度信頼↑	LLM政策探索/構造持続あり+伴走支援	日本	地政学・物価・雇用不安が先行し、家族形成は費用/手続き/ケア負担で詰まりやすい。	物価も仕事も先が読めず、子ども以前に出費と手続きの想像で止まる。
WE004	2	世界イベント	間接衝突拡大	0.72	全体	地政学リスク↑ SNS不安↑	国家LLMリスク段階	イスラエル	ステップ2: 地政学リスクが66.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.9。	イスラエルの間接衝突化により、SNS上の不安と将来予見性の低下が強まる。
WE005	2	世界イベント	AI雇用不安増幅	0.20	全体	希望経路↓ 自己効力感↓	雇用不確実性	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが66.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.9。	AIと景気の不確実性により、努力が報われる経路が見えにくくなる。
WE006	2	世界イベント	地政学SNS不安拡散	0.20	全体	不安↑ 怒り↑ 逃避行動↑	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが66.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.9。	危機情報がSNSで増幅し、不安と怒りが日常会話に入り込む。
FB002	3	社会反応	生活防衛シフト	0.28	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労53.8、公平感欠損53.4、情報過敏27.5	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB002	3	社会反応	生活防衛シフト	0.28	全体	生活コスト不安↑ 子ども意向↓	若者・現役行動フィードバック	日本国内	政策疲労53.8、公平感欠損53.4、情報過敏27.5	家計防衛が優先され、将来投資や子どもを迎える判断が後回しになる。
FB003	3	社会反応	情報過敏の拡大	0.30	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労53.8、公平感欠損53.4、情報過敏27.5	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
FB003	3	社会反応	情報過敏の拡大	0.30	全体	SNS不安↑ 地政学体感リスク↑	若者・現役行動フィードバック	日本国内	政策疲労53.8、公平感欠損53.4、情報過敏27.5	ニュースやSNSの確認が増え、外圧が日常の不安として体感されやすくなる。
