step	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	dominant_world_pressure	high_risk_countries	world_context_for_agents
1	64.2	56.3	51.1	44.0	50.8	56.6	57.3	49.3	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)	ステップ1: 地政学リスクが64.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)。日本の緩衝政策余力は49.3。
2	66.2	57.6	56.9	52.0	53.9	60.0	61.5	46.9	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが66.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は46.9。
3	71.5	60.1	60.1	59.4	56.8	70.3	66.9	43.7	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.5。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は43.7。
4	73.6	71.3	61.9	60.3	60.8	72.8	70.5	40.4	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが73.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は40.4。
5	76.8	70.7	64.9	66.9	64.2	78.2	73.4	37.6	供給網不安	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ5: 供給網不安が78.2。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は37.6。
6	76.9	69.8	66.9	68.1	67.4	78.1	75.1	34.1	供給網不安	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ6: 供給網不安が78.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は34.1。
7	77.2	73.3	69.0	72.0	69.5	79.1	77.6	31.8	供給網不安	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ7: 供給網不安が79.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は31.8。
8	77.2	71.6	74.2	73.0	71.6	78.8	80.9	29.6	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ8: SNS不安増幅が80.9。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は29.6。
9	77.2	70.1	78.3	73.5	73.4	79.1	83.6	27.5	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ9: SNS不安増幅が83.6。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は27.5。
10	77.3	72.4	79.0	74.4	76.1	79.5	84.5	25.7	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ10: SNS不安増幅が84.5。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は25.7。
11	70.4	67.5	74.2	71.7	74.0	75.4	80.6	29.1	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ11: SNS不安増幅が80.6。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は29.1。
12	70.2	66.0	76.4	72.4	75.1	75.2	82.0	28.0	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ12: SNS不安増幅が82.0。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は28.0。
13	71.0	65.0	78.3	72.9	77.3	75.4	83.8	26.1	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ13: SNS不安増幅が83.8。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は26.1。
14	68.8	61.7	74.0	63.6	75.3	65.6	80.3	29.2	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ14: SNS不安増幅が80.3。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は29.2。
15	69.8	61.9	73.2	64.4	76.6	66.0	75.1	28.0	財政圧力	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ15: 財政圧力が76.6。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は28.0。
