step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	feedback_summary
1	20	75.0	48.0	44.5	58.1	0.0	32.2	57.5	10.3	3.4	4.0	24.8	0.5	0.0	27.7	5.0	情報過敏27.7、生活防衛24.8、ケア5.0
2	20	75.0	44.4	42.6	63.8	0.0	5.8	83.9	10.3	6.8	1.7	18.9	0.6	0.0	29.8	5.8	情報過敏29.8、生活防衛18.9、撤退6.8
3	20	75.0	40.8	39.8	68.2	0.0	0.0	89.7	10.3	5.6	4.1	37.8	5.1	0.0	15.8	6.0	生活防衛37.8、情報過敏15.8、ケア6.0
4	20	75.0	36.4	37.0	72.4	0.0	0.0	89.7	10.3	3.6	2.0	18.3	18.2	0.0	24.3	6.3	情報過敏24.3、生活防衛18.3、学習移行18.2
5	20	75.0	33.5	35.4	74.4	0.0	0.0	89.7	10.3	3.6	0.7	20.0	3.9	0.0	34.3	6.5	情報過敏34.3、生活防衛20.0、ケア6.5
6	20	75.0	29.8	31.8	78.2	0.0	0.0	89.7	10.3	3.7	6.2	56.4	7.7	0.0	6.6	6.7	生活防衛56.4、学習移行7.7、ケア6.7
7	20	75.0	26.3	29.5	80.2	0.0	0.0	89.7	10.3	3.7	4.5	41.1	20.8	0.0	6.0	6.7	生活防衛41.1、学習移行20.8、ケア6.7
8	20	75.0	27.7	33.6	76.9	0.0	0.0	94.2	5.8	2.1	11.6	33.5	7.1	0.0	22.3	6.6	生活防衛33.5、情報過敏22.3、制度要求11.6
9	20	75.0	28.3	36.1	75.2	0.0	0.0	94.2	5.8	2.0	5.1	22.0	4.1	0.0	34.1	6.6	情報過敏34.1、生活防衛22.0、ケア6.6
10	20	75.0	30.0	39.7	72.7	0.0	0.0	94.2	5.8	1.9	19.7	43.0	7.7	0.0	12.3	6.4	生活防衛43.0、制度要求19.7、情報過敏12.3
11	20	75.0	31.5	42.4	71.7	0.0	0.0	94.2	5.8	2.0	27.4	35.3	9.4	0.0	16.5	6.4	生活防衛35.3、制度要求27.4、情報過敏16.5
12	21	76.67	30.7	41.5	72.2	0.0	0.0	89.9	10.1	3.5	16.3	33.8	3.1	0.0	19.8	6.4	生活防衛33.8、情報過敏19.8、制度要求16.3
13	21	76.67	30.9	43.0	72.1	0.0	0.0	89.9	10.1	3.4	10.4	25.9	9.2	0.0	26.3	6.3	情報過敏26.3、生活防衛25.9、制度要求10.4
14	21	76.67	32.5	45.9	70.3	0.0	0.0	89.9	10.1	3.4	15.3	27.0	9.8	0.0	22.1	6.2	生活防衛27.0、情報過敏22.1、制度要求15.3
15	21	76.67	32.1	46.0	71.0	0.0	0.0	89.9	10.1	3.3	12.3	25.9	5.0	0.0	25.0	6.1	生活防衛25.9、情報過敏25.0、制度要求12.3
16	21	76.67	30.8	41.1	74.0	0.0	0.0	89.9	10.1	3.5	16.0	32.2	8.0	0.0	17.7	6.2	生活防衛32.2、情報過敏17.7、制度要求16.0
17	21	76.67	30.0	41.1	74.7	0.0	0.0	89.9	10.1	3.5	14.4	40.1	7.7	0.0	16.3	6.1	生活防衛40.1、情報過敏16.3、制度要求14.4
18	21	76.67	29.6	39.3	74.2	0.0	0.0	89.9	10.1	3.3	15.6	32.5	4.7	0.0	22.8	6.0	生活防衛32.5、情報過敏22.8、制度要求15.6
19	21	76.67	29.5	40.3	74.0	0.0	0.0	89.9	10.1	3.5	13.6	30.7	6.9	0.0	21.8	6.3	生活防衛30.7、情報過敏21.8、制度要求13.6
20	21	76.67	29.8	40.6	74.4	0.0	0.0	89.9	10.1	3.5	8.9	39.1	7.2	0.0	16.2	6.3	生活防衛39.1、情報過敏16.2、制度要求8.9
21	21	76.67	30.7	42.1	72.2	0.0	0.0	89.9	10.1	3.4	12.0	38.0	2.7	0.0	21.2	6.1	生活防衛38.0、情報過敏21.2、制度要求12.0
22	21	76.67	32.1	43.1	71.3	0.0	0.0	89.9	10.1	3.3	28.4	47.1	2.5	0.0	10.3	6.0	生活防衛47.1、制度要求28.4、情報過敏10.3
23	21	76.67	32.0	42.6	71.6	0.0	0.0	89.9	10.1	3.4	22.7	37.5	2.6	0.0	19.7	6.3	生活防衛37.5、制度要求22.7、情報過敏19.7
24	22	80.35	30.7	39.5	73.7	0.0	0.0	90.4	9.6	3.3	7.6	37.8	2.6	0.0	19.8	6.1	生活防衛37.8、情報過敏19.8、制度要求7.6
25	22	80.35	29.7	40.1	74.4	0.0	0.0	85.0	15.0	5.1	15.4	32.4	2.3	0.0	26.2	6.3	生活防衛32.4、情報過敏26.2、制度要求15.4
26	22	80.35	28.4	39.1	75.7	0.0	0.0	89.1	10.9	3.8	13.9	45.0	0.3	0.0	18.2	6.3	生活防衛45.0、情報過敏18.2、制度要求13.9
27	22	80.35	28.1	39.5	75.2	0.0	0.0	89.1	10.9	3.8	6.8	29.1	2.3	0.0	29.5	6.3	情報過敏29.5、生活防衛29.1、制度要求6.8
