step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	feedback_summary
1	20	75.0	47.1	44.0	61.4	0.0	10.3	83.9	5.8	1.9	3.8	22.6	4.3	0.0	24.0	5.6	情報過敏24.0、生活防衛22.6、ケア5.6
2	20	75.0	43.6	41.4	65.3	0.0	0.0	94.2	5.8	2.0	3.9	35.2	9.6	0.0	12.5	5.8	生活防衛35.2、情報過敏12.5、学習移行9.6
3	20	75.0	40.4	39.0	68.7	0.0	0.0	94.2	5.8	2.1	1.9	38.6	6.3	0.0	16.6	6.1	生活防衛38.6、情報過敏16.6、学習移行6.3
4	20	75.0	35.8	36.7	72.9	0.0	0.0	89.7	10.3	3.6	1.3	3.8	7.7	0.0	45.0	6.3	情報過敏45.0、学習移行7.7、ケア6.3
5	20	75.0	31.8	34.6	76.0	0.0	0.0	89.7	10.3	3.7	1.4	22.8	10.8	0.0	29.2	6.5	情報過敏29.2、生活防衛22.8、学習移行10.8
6	20	75.0	28.5	31.7	78.2	0.0	0.0	89.7	10.3	3.5	6.3	43.7	4.5	0.0	16.3	6.6	生活防衛43.7、情報過敏16.3、ケア6.6
7	20	75.0	25.6	30.0	80.2	0.0	0.0	89.7	10.3	3.6	4.5	27.7	7.8	0.0	30.0	6.7	情報過敏30.0、生活防衛27.7、学習移行7.8
8	20	75.0	32.9	39.9	73.2	0.0	0.0	94.2	5.8	1.9	11.5	23.2	0.4	0.0	34.0	6.2	情報過敏34.0、生活防衛23.2、制度要求11.5
9	20	75.0	36.4	45.1	70.5	0.0	0.0	100.0	0.0	0.0	14.5	26.0	6.1	0.0	25.9	6.2	生活防衛26.0、情報過敏25.9、制度要求14.5
10	20	75.0	38.3	48.4	68.5	0.0	0.0	100.0	0.0	0.0	20.1	34.1	8.4	0.0	15.5	5.8	生活防衛34.1、制度要求20.1、情報過敏15.5
