step	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	dominant_world_pressure	high_risk_countries	world_context_for_agents
1	62.1	54.8	50.5	41.9	51.9	52.9	55.2	51.2	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ1: 地政学リスクが62.1。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は51.2。
2	64.7	55.8	57.0	50.7	54.4	55.6	61.2	47.7	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが64.7。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は47.7。
3	70.6	57.0	59.7	57.8	57.2	64.8	67.0	44.8	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが70.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は44.8。
4	73.9	69.1	62.6	59.4	60.5	68.2	70.8	41.2	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが73.9。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は41.2。
5	76.4	66.8	65.6	67.2	63.3	74.2	74.2	38.1	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: 地政学リスクが76.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は38.1。
6	76.4	66.2	67.1	68.5	67.7	74.7	75.9	34.1	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ6: 地政学リスクが76.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は34.1。
7	76.5	69.2	69.5	73.9	70.1	76.3	78.4	31.4	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ7: SNS不安増幅が78.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は31.4。
8	76.2	68.1	75.1	74.5	71.5	76.6	81.2	29.8	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ8: SNS不安増幅が81.2。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は29.8。
9	76.4	67.2	79.5	75.8	73.0	77.3	83.4	28.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ9: SNS不安増幅が83.4。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は28.1。
10	76.2	71.0	78.9	76.4	75.2	77.2	84.3	26.1	SNS不安増幅	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ10: SNS不安増幅が84.3。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は26.1。
11	68.3	65.5	72.8	72.3	72.5	72.7	78.8	29.3	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ11: SNS不安増幅が78.8。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は29.3。
