step	agent_count	population_weight_total	average_pathway	average_support	average_intensity	良好_share	中立_share	注意_share	危険_share	withdrawal_pressure	institution_demand_pressure	livelihood_defense_pressure	learning_transition_pressure	solidarity_pressure	information_overload_pressure	care_pressure	feedback_summary
1	20	75.0	47.6	44.4	59.3	0.0	16.1	78.0	5.8	1.9	3.4	27.0	4.3	0.0	19.0	4.9	生活防衛27.0、情報過敏19.0、ケア4.9
2	20	75.0	44.6	42.6	63.6	0.0	5.8	88.3	5.8	2.0	3.5	30.1	3.4	0.0	20.7	5.6	生活防衛30.1、情報過敏20.7、ケア5.6
3	20	75.0	41.8	40.3	67.7	0.0	0.0	94.2	5.8	3.9	5.2	36.8	2.6	0.0	17.7	6.0	生活防衛36.8、情報過敏17.7、ケア6.0
4	20	75.0	37.8	37.9	72.0	0.0	0.0	89.7	10.3	5.8	8.4	30.4	7.4	0.0	20.2	6.3	生活防衛30.4、情報過敏20.2、制度要求8.4
5	20	75.0	34.1	35.7	75.5	0.0	0.0	89.7	10.3	3.7	2.0	31.0	8.1	0.0	25.8	6.6	生活防衛31.0、情報過敏25.8、学習移行8.1
6	20	75.0	30.4	32.6	78.1	0.0	0.0	85.2	14.8	5.3	3.3	50.8	4.5	0.0	12.7	6.8	生活防衛50.8、情報過敏12.7、ケア6.8
7	20	75.0	27.2	30.3	79.8	0.0	0.0	85.2	14.8	5.4	4.7	38.2	12.1	0.0	17.4	6.9	生活防衛38.2、情報過敏17.4、学習移行12.1
8	20	75.0	29.0	35.5	76.1	0.0	0.0	89.7	10.3	3.7	17.4	36.4	10.7	0.0	18.6	6.7	生活防衛36.4、情報過敏18.6、制度要求17.4
9	20	75.0	28.4	37.5	76.1	0.0	0.0	89.7	10.3	3.6	5.8	32.1	7.5	0.0	22.4	6.6	生活防衛32.1、情報過敏22.4、学習移行7.5
10	20	75.0	29.8	41.1	73.7	0.0	0.0	94.2	5.8	2.0	12.3	30.3	3.1	0.0	24.5	6.7	生活防衛30.3、情報過敏24.5、制度要求12.3
11	20	75.0	30.7	43.2	73.0	0.0	0.0	94.2	5.8	2.1	12.6	20.3	7.0	0.0	31.1	6.5	情報過敏31.1、生活防衛20.3、制度要求12.6
12	21	76.67	29.8	40.7	74.3	0.0	0.0	94.3	5.7	2.0	9.6	30.6	4.3	0.0	24.1	6.5	生活防衛30.6、情報過敏24.1、制度要求9.6
13	21	76.67	29.6	41.1	75.2	0.0	0.0	100.0	0.0	0.0	13.6	28.2	7.9	0.0	26.7	6.3	生活防衛28.2、情報過敏26.7、制度要求13.6
14	21	76.67	29.9	43.9	74.8	0.0	0.0	100.0	0.0	0.0	15.8	32.4	6.6	0.0	21.9	6.5	生活防衛32.4、情報過敏21.9、制度要求15.8
15	21	76.67	29.7	45.7	75.1	0.0	0.0	94.3	5.7	2.0	11.1	34.4	0.4	0.0	24.4	6.5	生活防衛34.4、情報過敏24.4、制度要求11.1
16	21	76.67	28.2	41.2	76.4	0.0	0.0	89.9	10.1	3.0	8.1	25.3	6.3	0.0	25.6	6.5	情報過敏25.6、生活防衛25.3、制度要求8.1
17	21	76.67	29.9	43.0	74.7	0.0	0.0	95.6	4.4	1.5	15.8	28.9	1.3	0.0	29.6	6.2	情報過敏29.6、生活防衛28.9、制度要求15.8
18	21	76.67	27.7	40.8	76.2	0.0	0.0	89.9	10.1	3.5	22.6	42.0	1.6	0.0	18.5	6.3	生活防衛42.0、制度要求22.6、情報過敏18.5
19	21	76.67	28.7	41.8	74.4	0.0	0.0	94.3	5.7	2.0	15.8	36.1	2.7	0.0	20.4	6.2	生活防衛36.1、情報過敏20.4、制度要求15.8
20	21	76.67	29.7	42.4	73.7	0.0	0.0	94.3	5.7	1.9	9.3	31.6	2.2	0.0	25.4	6.3	生活防衛31.6、情報過敏25.4、制度要求9.3
