step	geopolitical_risk	energy_price_pressure	labor_market_uncertainty	compute_supply_constraint	fiscal_pressure	supply_chain_fragility	sns_anxiety_amplification	japan_policy_buffer	dominant_world_pressure	high_risk_countries	world_context_for_agents
1	63.6	57.2	50.4	42.2	51.8	53.3	56.0	50.2	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ1: 地政学リスクが63.6。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は50.2。
2	65.0	56.4	56.8	49.3	54.8	56.6	61.1	48.1	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ2: 地政学リスクが65.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は48.1。
3	71.0	58.3	60.1	58.0	57.7	67.6	67.0	45.2	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ3: 地政学リスクが71.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は45.2。
4	73.0	71.9	61.9	59.5	60.9	71.2	70.7	42.4	地政学リスク	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ4: 地政学リスクが73.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は42.4。
5	75.1	71.2	64.4	67.1	63.7	76.0	74.1	39.4	供給網不安	ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ5: 供給網不安が76.0。高リスク国: ウクライナ(限定戦争)、北朝鮮(間接衝突)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は39.4。
6	75.3	70.0	67.0	67.8	67.8	76.2	76.5	35.1	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ6: SNS不安増幅が76.5。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は35.1。
7	75.6	73.1	68.8	72.5	70.2	76.7	79.1	32.5	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ7: SNS不安増幅が79.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は32.5。
8	75.4	71.6	74.8	73.4	71.8	76.2	81.7	31.1	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ8: SNS不安増幅が81.7。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は31.1。
9	75.7	70.4	79.2	74.0	73.9	75.3	84.1	29.2	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ9: SNS不安増幅が84.1。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は29.2。
10	76.5	72.6	79.8	74.7	75.4	76.2	84.9	27.7	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)	ステップ10: SNS不安増幅が84.9。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)、イスラエル(間接衝突)。日本の緩衝政策余力は27.7。
11	68.6	66.6	75.0	71.3	73.0	72.2	79.6	30.8	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ11: SNS不安増幅が79.6。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は30.8。
12	67.8	64.6	77.3	71.3	73.7	71.7	80.6	29.8	SNS不安増幅	ウクライナ(限定戦争)、ロシア(間接衝突)	ステップ12: SNS不安増幅が80.6。高リスク国: ウクライナ(限定戦争)、ロシア(間接衝突)。日本の緩衝政策余力は29.8。
